Time (in s),Queue Density,Dynamic Density
0.266667,0.113531,0.0933275
0.466667,0.113586,0.0894647
0.666667,0.125771,0.0854302
0.866667,0.139314,0.0842207
1.06667,0.142295,0.0852429
1.26667,0.148347,0.0700883
1.46667,0.148733,0.0613677
1.66667,0.150314,0.0622925
1.86667,0.15132,0.064575
2.06667,0.1634,0.0695577
2.26667,0.167922,0.0749109
2.46667,0.173795,0.0788128
2.66667,0.180131,0.0826795
2.86667,0.182429,0.0806661
3.06667,0.184938,0.0795658
3.26667,0.18797,0.0832413
3.46667,0.190112,0.0781729
3.66667,0.190401,0.0791756
3.86667,0.195259,0.0862379
4.06667,0.202165,0.0922077
4.26667,0.201345,0.0936162
4.46667,0.205762,0.0733151
4.66667,0.200389,0.0642239
4.86667,0.203288,0.0587574
5.06667,0.200214,0.0659836
5.26667,0.211369,0.0647662
5.46667,0.21721,0.0648638
5.66667,0.221904,0.070022
5.86667,0.23716,0.0797453
6.06667,0.252732,0.098911
6.26667,0.266982,0.113648
6.46667,0.268066,0.123465
6.66667,0.282144,0.10776
6.86667,0.287486,0.109723
7.06667,0.281582,0.110488
7.26667,0.277302,0.111756
7.46667,0.278945,0.114979
7.66667,0.28898,0.114877
7.86667,0.295699,0.121116
8.06667,0.305134,0.133052
8.26667,0.308805,0.142947
8.46667,0.307962,0.151664
8.66667,0.31449,0.162187
8.86667,0.319598,0.162561
9.06667,0.321541,0.146236
9.26667,0.330893,0.1445
9.46667,0.337054,0.141355
9.66667,0.336719,0.123805
9.86667,0.338213,0.111537
10.0667,0.332247,0.100273
10.2667,0.328342,0.0850557
10.4667,0.323269,0.0890706
10.6667,0.319449,0.0776929
10.8667,0.314697,0.0855083
11.0667,0.311696,0.0724801
11.2667,0.309437,0.0647194
11.4667,0.307284,0.0776266
11.6667,0.303717,0.0682076
11.8667,0.29957,0.0707477
12.0667,0.29923,0.0521282
12.2667,0.296136,0.0441334
12.4667,0.293904,0.0430721
12.6667,0.295761,0.0222286
12.8667,0.294294,0.0257208
13.0667,0.291204,0.0158492
13.2667,0.290853,0.0151312
13.4667,0.28781,0.0168051
13.6667,0.288582,0.0103281
13.8667,0.287919,0.00901709
14.0667,0.287642,0.00566543
14.2667,0.288582,0.0157516
14.4667,0.285539,0.0102071
14.6667,0.291602,0.00829136
14.8667,0.291134,0.0109563
15.0667,0.290295,0.00701936
15.2667,0.291235,0.00745247
15.4667,0.291071,0.0131023
15.6667,0.29374,0.0199812
15.8667,0.290771,0.0232431
16.0667,0.289803,0.0245541
16.2667,0.291676,0.0182488
16.4667,0.288949,0.0160911
16.6667,0.289796,0.0155214
16.8667,0.288176,0.00829916
17.0667,0.292457,0.00854107
17.2667,0.293811,0.00857229
17.4667,0.293054,0.00674234
17.6667,0.29216,0.00557179
17.8667,0.289917,0.00797531
