Time,Queue Density,Moving Density
0.533333,0.140063,0.140063
1,0.140723,0.118486
1.46667,0.147399,0.115927
1.93333,0.157325,0.0945644
2.4,0.176444,0.103476
2.86667,0.183151,0.110796
3.33333,0.188181,0.106855
3.8,0.196086,0.104553
4.26667,0.201361,0.128834
4.73333,0.201072,0.118237
5.2,0.210675,0.0800301
5.66667,0.221674,0.0884658
6.13333,0.259389,0.125931
6.6,0.278773,0.164376
7.06667,0.283779,0.151504
7.53333,0.282932,0.175367
8,0.302691,0.161469
8.46667,0.307982,0.192075
8.93333,0.322399,0.218904
9.4,0.334721,0.202617
9.86667,0.336204,0.181114
10.3333,0.327729,0.147547
10.8,0.31666,0.114729
11.2667,0.309074,0.113227
11.7333,0.29973,0.106617
12.2,0.297314,0.088103
12.6667,0.294778,0.0708062
13.1333,0.293323,0.0509226
13.6,0.289004,0.0248585
14.0667,0.287934,0.0188146
14.5333,0.286678,0.0251589
15,0.290287,0.0200982
15.4667,0.290771,0.0160872
15.9333,0.291758,0.0300245
16.4,0.287263,0.0286471
16.8667,0.287817,0.0143002
17.3333,0.294486,0.0113231
17.8,0.291676,0.0141012
18.2667,0.28779,0.0187599
18.7333,0.284594,0.0193959
19.2,0.303877,0.0393147
19.6667,0.31472,0.0498535
20.1333,0.292484,0.0589993
20.6,0.284692,0.0410627
21.0667,0.298902,0.0393381
21.5333,0.286608,0.0356275
22,0.288765,0.0156151
22.4667,0.288539,0.0133091
22.9333,0.289433,0.018003
23.4,0.299609,0.0279682
23.8667,0.299531,0.0341253
24.3333,0.301415,0.0360333
24.8,0.303565,0.0309531
25.2667,0.300576,0.0313043
25.7333,0.298212,0.0321275
26.2,0.311696,0.0528111
26.6667,0.326211,0.0691363
27.1333,0.333258,0.0854419
27.6,0.364863,0.115349
28.0667,0.395991,0.151387
28.5333,0.426117,0.176042
29,0.458253,0.182406
29.4667,0.474632,0.183257
29.9333,0.489042,0.195337
30.4,0.499526,0.201341
30.8667,0.50351,0.214397
31.3333,0.508211,0.205415
31.8,0.512999,0.148839
32.2667,0.517486,0.136911
32.7333,0.517065,0.0920009
33.2,0.521353,0.0605171
33.6667,0.52799,0.0161613
34.1333,0.551143,0.0374925
34.6,0.572849,0.0697645
35.0667,0.596634,0.0974166
35.5333,0.596275,0.113125
36,0.599783,0.12828
36.4667,0.589389,0.142939
36.9333,0.589408,0.134156
37.4,0.58407,0.126029
37.8667,0.581526,0.153271
38.3333,0.577168,0.106153
38.8,0.584831,0.0454327
39.2667,0.599795,0.0560964
39.7333,0.610197,0.058098
40.2,0.624427,0.0597953
40.6667,0.644252,0.0671424
41.1333,0.664366,0.0876426
41.6,0.681101,0.100671
42.0667,0.689696,0.0969718
42.5333,0.694129,0.0986184
43,0.693493,0.0816689
43.4667,0.699997,0.0474188
43.9333,0.698967,0.0607474
44.4,0.707192,0.0628855
44.8667,0.714157,0.086472
45.3333,0.713919,0.0802135
45.8,0.708737,0.0836666
46.2667,0.708628,0.0744466
46.7333,0.708968,0.0758357
