Time,Queue Density,Moving Density
0.266667,0.164965,0.153741
0.466667,0.17535,0.136818
0.666667,0.187343,0.0976573
0.866667,0.209825,0.0912937
1.06667,0.228951,0.0945105
1.26667,0.228112,0.107413
1.46667,0.231399,0.108392
1.66667,0.24014,0.108706
1.86667,0.236853,0.109126
2.06667,0.247972,0.122867
2.26667,0.262762,0.128846
2.46667,0.262413,0.13507
2.66667,0.255979,0.130769
2.86667,0.263007,0.128671
3.06667,0.268881,0.133322
3.26667,0.259091,0.127657
3.46667,0.26458,0.0933566
3.66667,0.262937,0.0851748
3.86667,0.287972,0.076958
4.06667,0.311643,0.0775175
4.26667,0.315664,0.0585315
4.46667,0.311469,0.0699301
4.66667,0.303811,0.059965
4.86667,0.269406,0.0659091
5.06667,0.261049,0.0754895
5.26667,0.267867,0.0347552
5.46667,0.286503,0.0344755
5.66667,0.293462,0.00923077
5.86667,0.323112,0.0448951
6.06667,0.329301,0.0573776
6.26667,0.341678,0.101224
6.46667,0.358846,0.0991608
6.66667,0.384441,0.107168
6.86667,0.383322,0.13
7.06667,0.399441,0.132343
7.26667,0.371923,0.116294
7.46667,0.398531,0.132867
7.66667,0.411329,0.14
7.86667,0.407238,0.151888
8.06667,0.402483,0.176783
8.26667,0.415035,0.189126
8.46667,0.413706,0.191364
8.66667,0.424266,0.190734
8.86667,0.426748,0.188951
9.06667,0.426888,0.162937
9.26667,0.412657,0.113811
9.46667,0.412238,0.122308
9.66667,0.407028,0.111958
9.86667,0.41542,0.113951
10.0667,0.392238,0.110699
10.2667,0.387902,0.0857692
10.4667,0.386224,0.0781119
10.6667,0.381748,0.0700699
10.8667,0.381818,0.0715734
11.0667,0.368007,0.0705594
11.2667,0.363182,0.0635315
11.4667,0.36514,0.0497203
11.6667,0.370385,0.0385664
11.8667,0.361713,0.0161538
12.0667,0.35965,0
12.2667,0.365175,0
12.4667,0.353601,0
12.6667,0.35507,0
12.8667,0.352657,0
13.0667,0.352867,0
13.2667,0.353427,0
13.4667,0.353881,0
13.6667,0.354056,0
13.8667,0.356364,0
14.0667,0.351329,0
14.2667,0.356189,0
14.4667,0.352587,0
14.6667,0.363287,0
14.8667,0.362587,0
15.0667,0.362902,0
15.2667,0.364336,0
15.4667,0.361818,0
15.6667,0.365,0
15.8667,0.363427,0
16.0667,0.365035,0
16.2667,0.363497,0
16.4667,0.355944,0
16.6667,0.353986,0
16.8667,0.353252,0
17.0667,0.351399,0
17.2667,0.353636,0.0154196
17.4667,0.354266,0
17.6667,0.352448,0
17.8667,0.351573,0
18.0667,0.347203,0
18.2667,0.352762,0
18.4667,0.355594,0.0168531
18.6667,0.352622,0.0161538
18.8667,0.367832,0.0167483
19.0667,0.376818,0.0238462
19.2667,0.38458,0.0307343
19.4667,0.389301,0.0362937
19.6667,0.402168,0.043042
19.8667,0.390979,0.0422378
20.0667,0.389371,0.0318881
20.2667,0.359685,0.0281469
20.4667,0.35465,0.0270629
20.6667,0.355839,0.0223077
20.8667,0.359825,0.0266434
21.0667,0.367762,0
21.2667,0.361818,0.00874126
21.4667,0.350629,0.00923077
21.6667,0.35042,0
21.8667,0.34979,0
22.0667,0.350245,0
22.2667,0.348427,0
22.4667,0.349266,0
22.6667,0.34951,0
22.8667,0.348287,0
23.0667,0.350629,0
23.2667,0.366189,0.0155245
23.4667,0.373182,0.0240559
23.6667,0.365804,0.0308392
23.8667,0.365944,0.0322727
24.0667,0.364336,0.031958
24.2667,0.363287,0.018951
24.4667,0.363776,0.0294406
24.6667,0.376573,0.0237413
24.8667,0.373217,0.0173776
25.0667,0.368776,0.0164336
25.2667,0.366154,0.0158392
25.4667,0.363042,0.0158392
25.6667,0.361958,0.0158042
25.8667,0.381783,0.0253846
26.0667,0.380315,0.0209091
26.2667,0.370594,0.0433916
26.4667,0.393881,0.0523077
26.6667,0.398951,0.0646853
26.8667,0.401469,0.0663287
27.0667,0.402413,0.0734965
27.2667,0.417797,0.0920629
27.4667,0.430944,0.111259
27.6667,0.449336,0.123671
27.8667,0.45479,0.140175
28.0667,0.457832,0.158846
28.2667,0.466504,0.156643
28.4667,0.47993,0.153636
28.6667,0.494685,0.14972
28.8667,0.516049,0.127762
29.0667,0.530699,0.125839
29.2667,0.549336,0.0887063
29.4667,0.53479,0.0706294
29.6667,0.530035,0.0820979
29.8667,0.545944,0.0947552
30.0667,0.543357,0.0840559
30.2667,0.547972,0.0587413
30.4667,0.552483,0.0809441
30.6667,0.552972,0.0215035
30.8667,0.560734,0.0529371
31.0667,0.541573,0.0201399
31.2667,0.557413,0
31.4667,0.547168,0
31.6667,0.548287,0.0107692
31.8667,0.553846,0.01
32.0667,0.57007,0
32.2667,0.587308,0.00846154
32.4667,0.582133,0
32.6667,0.564161,0
32.8667,0.560664,0
33.0667,0.562308,0
33.2667,0.567028,0
33.4667,0.567448,0
33.6667,0.564476,0.0174476
33.8667,0.58965,0.0306993
34.0667,0.603566,0.0439161
34.2667,0.612622,0.0575874
34.4667,0.624266,0.0777273
34.6667,0.68035,0.085035
34.8667,0.695175,0.0938462
35.0667,0.691119,0.109336
35.2667,0.688881,0.098951
35.4667,0.68042,0.101538
35.6667,0.684755,0.103951
35.8667,0.677203,0.121608
36.0667,0.669196,0.123916
36.2667,0.674301,0.123147
36.4667,0.665699,0.108252
36.6667,0.657867,0.0864336
36.8667,0.659965,0.0762238
37.0667,0.646049,0.0678322
37.2667,0.667203,0.0536364
37.4667,0.648427,0.0161538
37.6667,0.651399,0
37.8667,0.646364,0
38.0667,0.643636,0
38.2667,0.631119,0
38.4667,0.630175,0
38.6667,0.647378,0.0175874
38.8667,0.652238,0.0248951
39.0667,0.661189,0.0306294
39.2667,0.67035,0.0304545
39.4667,0.686294,0.0295105
39.6667,0.684755,0.0480769
39.8667,0.693042,0.0517483
40.0667,0.699021,0.0572028
40.2667,0.708916,0.0604895
40.4667,0.706993,0.0640909
40.6667,0.715944,0.0672378
40.8667,0.718706,0.0753147
41.0667,0.720559,0.0748252
41.2667,0.724021,0.0811888
41.4667,0.730944,0.0593706
41.6667,0.729231,0.0429371
41.8667,0.73007,0.0581818
42.0667,0.730944,0.039021
42.2667,0.732797,0.0314685
42.4667,0.731783,0.0318182
42.6667,0.731643,0.0346853
42.8667,0.72951,0.0373077
43.0667,0.733147,0.0393007
43.2667,0.732902,0.0440559
43.4667,0.733392,0.0454545
43.6667,0.733252,0.0407343
43.8667,0.729371,0.0372727
44.0667,0.72993,0.0274476
44.2667,0.730524,0.0337762
44.4667,0.73521,0.0293357
44.6667,0.748706,0.0292657
44.8667,0.749091,0.0169231
45.0667,0.740769,0.0257343
45.2667,0.740524,0.0285315
45.4667,0.74007,0.0176224
45.6667,0.742552,0
45.8667,0.742413,0.0168881
46.0667,0.741608,0
46.2667,0.739196,0.0161538
46.4667,0.736748,0
46.6667,0.736294,0
46.8667,0.735035,0
47.0667,0.733846,0
47.2667,0.739895,0
47.4667,0.740175,0
47.6667,0.741853,0
47.8667,0.751643,0
48.0667,0.739161,0
48.2667,0.74042,0
