Time, Moving Output, Moving Baseline
0.266667,0.091827,0.0931558
0.466667,0.0851039,0.0895584
0.666667,0.0830705,0.0856019
0.866667,0.0792419,0.0849308
1.06667,0.0843268,0.0852195
1.26667,0.0659852,0.0701039
1.46667,0.057819,0.0613599
1.66667,0.0589589,0.0626007
1.86667,0.0598199,0.0644463
2.06667,0.0662343,0.0677082
2.26667,0.0695864,0.0745793
2.46667,0.0734502,0.0787776
2.66667,0.0764584,0.0827302
2.86667,0.0759142,0.0811929
3.06667,0.0764097,0.0794292
3.26667,0.0774738,0.0832023
3.46667,0.0728843,0.0778607
3.66667,0.073017,0.0790547
3.86667,0.0816787,0.0856136
4.06667,0.0866689,0.0917239
4.26667,0.0873458,0.0932261
4.46667,0.0773763,0.0718675
4.66667,0.0741677,0.0657261
4.86667,0.0624436,0.0588277
5.06667,0.0629012,0.0659173
5.26667,0.063941,0.0650823
5.46667,0.062866,0.0633069
5.66667,0.0685575,0.0701663
5.86667,0.0766046,0.0796516
6.06667,0.0953848,0.0986145
6.26667,0.10716,0.113781
6.46667,0.120579,0.123957
6.66667,0.108162,0.109536
6.86667,0.10439,0.109582
7.06667,0.109337,0.111319
7.26667,0.109039,0.112025
7.46667,0.109261,0.113777
7.66667,0.112075,0.114979
7.86667,0.113109,0.121155
8.06667,0.127692,0.133403
8.26667,0.136763,0.142401
8.46667,0.145996,0.1518
8.66667,0.154828,0.162191
8.86667,0.154834,0.16255
9.06667,0.143578,0.147504
9.26667,0.137115,0.143996
9.46667,0.135041,0.141308
9.66667,0.122253,0.12448
9.86667,0.109733,0.1097
10.0667,0.106205,0.0986886
10.2667,0.0894145,0.083491
10.4667,0.0900724,0.0908381
10.6667,0.0739051,0.0778334
10.8667,0.0827049,0.0850479
11.0667,0.0723428,0.0725738
11.2667,0.0663806,0.0644268
11.4667,0.076388,0.076101
11.6667,0.0685331,0.0683403
11.8667,0.0700359,0.0708413
12.0667,0.0623191,0.0522687
12.2667,0.0479821,0.0440632
12.4667,0.0455236,0.0431151
12.6667,0.0284357,0.0193374
12.8667,0.027136,0.0256271
13.0667,0.0185392,0.0158492
13.2667,0.0150247,0.0152327
13.4667,0.0150545,0.0168246
13.6667,0.0101807,0.0102579
13.8667,0.00827726,0.00893516
14.0667,0.0085372,0.00574737
14.2667,0.0171556,0.0140621
14.4667,0.00972585,0.0102071
14.6667,0.0134786,0.00820942
14.8667,0.0109226,0.0109563
15.0667,0.00672578,0.00701936
15.2667,0.0105111,0.00728859
15.4667,0.0125418,0.0130087
15.6667,0.0185338,0.0200046
15.8667,0.02295,0.0232353
16.0667,0.0237379,0.024558
16.2667,0.0171177,0.0182449
16.4667,0.0163515,0.0163837
16.6667,0.0145644,0.0148581
16.8667,0.00875652,0.00830306
17.0667,0.00880255,0.00854107
17.2667,0.00790361,0.00857229
17.4667,0.00652813,0.00674234
17.6667,0.0096365,0.00557179
17.8667,0.00963921,0.00797921
18.0667,0.0122602,0.00956725
18.2667,0.0106058,0.00830696
18.4667,0.0150003,0.0137188
18.6667,0.00954173,0.00909903
18.8667,0.017134,0.0194818
19.0667,0.026562,0.0287564
19.2667,0.0390659,0.038308
19.4667,0.0378718,0.0392718
19.6667,0.0377933,0.0370399
19.8667,0.0457646,0.0437393
20.0667,0.0287741,0.0297006
20.2667,0.0220673,0.0233797
20.4667,0.0187315,0.0176986
20.6667,0.0212902,0.022494
20.8667,0.02784,0.029845
21.0667,0.0236702,0.0190018
21.2667,0.0166655,0.0153927
21.4667,0.017134,0.013711
21.6667,0.0133785,0.0135354
21.8667,0.00838557,0.00592295
22.0667,0.00795776,0.00749148
22.2667,0.00781155,0.00508016
22.4667,0.00646585,0.006239
22.6667,0.00835037,0.00759293
22.8667,0.0123523,0.0135081
23.0667,0.0180329,0.017527
23.2667,0.0167928,0.0174918
23.4667,0.024274,0.0262436
23.6667,0.0216395,0.0221974
23.8667,0.0226332,0.0243824
24.0667,0.0217613,0.023407
24.2667,0.0213958,0.0217409
24.4667,0.0212983,0.022572
24.6667,0.0224897,0.0228763
24.8667,0.0211981,0.0233407
25.0667,0.0230962,0.0249911
25.2667,0.0230908,0.0250262
25.4667,0.0247018,0.0263958
25.6667,0.021561,0.0232821
25.8667,0.0256739,0.0270279
26.0667,0.0358979,0.0360216
26.2667,0.0465498,0.0507821
26.4667,0.0489433,0.04848
26.6667,0.0524822,0.0519683
26.8667,0.0552982,0.0520463
27.0667,0.0486699,0.0506104
27.2667,0.0605321,0.0627607
27.4667,0.0802924,0.084884
27.6667,0.0914696,0.091997
27.8667,0.105392,0.107491
28.0667,0.115316,0.114585
28.2667,0.124793,0.122759
28.4667,0.134551,0.135366
28.6667,0.138691,0.137508
28.8667,0.145446,0.147141
29.0667,0.150556,0.147773
29.2667,0.153085,0.151898
29.4667,0.155773,0.155788
29.6667,0.167243,0.164824
29.8667,0.154739,0.154485
30.0667,0.157092,0.155175
30.2667,0.161746,0.154317
30.4667,0.165302,0.153244
30.6667,0.159404,0.140407
30.8667,0.145742,0.1297
31.0667,0.129249,0.109118
31.2667,0.103145,0.0886765
31.4667,0.101374,0.0802837
31.6667,0.0797942,0.0619998
31.8667,0.0711812,0.0520385
32.0667,0.0620537,0.0491941
32.2667,0.047029,0.0358577
32.4667,0.0323401,0.0187365
32.6667,0.022116,0.00422176
32.8667,0.0158451,0.00513869
33.0667,0.0140283,0.00565373
33.2667,0.00650376,0.00229037
33.4667,0,0
33.6667,0.00862384,0.0066565
33.8667,0.0175997,0.0169105
34.0667,0.028747,0.0291661
34.2667,0.0384945,0.0391001
34.4667,0.0492006,0.0514376
34.6667,0.0611034,0.0611141
34.8667,0.0646802,0.0678487
35.0667,0.0744277,0.0721328
35.2667,0.0749502,0.0728976
35.4667,0.0814946,0.0824453
35.6667,0.0845136,0.0829214
35.8667,0.0905381,0.0949858
36.0667,0.0934786,0.0906509
36.2667,0.0884506,0.0929139
