Time, Queue Output, Queue Baseline
0.266667,0.187492,0.113781
0.466667,0.199625,0.114066
0.666667,0.213696,0.125116
0.866667,0.238024,0.138413
1.06667,0.22389,0.14173
1.26667,0.260851,0.14647
1.46667,0.259662,0.147399
1.66667,0.265791,0.150329
1.86667,0.263164,0.151543
2.06667,0.279675,0.16347
2.26667,0.286241,0.16779
2.46667,0.28818,0.174325
2.66667,0.292996,0.179936
2.86667,0.293809,0.183151
3.06667,0.30863,0.185375
3.26667,0.297561,0.187147
3.46667,0.313321,0.189062
3.66667,0.301251,0.191587
3.86667,0.314196,0.196394
4.06667,0.302877,0.202016
4.26667,0.320325,0.201361
4.46667,0.333646,0.206039
4.66667,0.314759,0.20124
4.86667,0.296748,0.203807
5.06667,0.298311,0.202055
5.26667,0.292245,0.211065
5.46667,0.313946,0.217553
5.66667,0.324453,0.221674
5.86667,0.340088,0.238178
6.06667,0.37192,0.252888
6.26667,0.384803,0.267649
6.46667,0.381801,0.269409
6.66667,0.402627,0.282468
6.86667,0.378299,0.28923
7.06667,0.434084,0.283779
7.26667,0.38449,0.277251
7.46667,0.407817,0.279405
7.66667,0.41157,0.289522
7.86667,0.437586,0.295305
8.06667,0.454909,0.306757
8.26667,0.432896,0.309152
8.46667,0.430457,0.307982
8.66667,0.4399,0.315259
8.86667,0.461476,0.319933
9.06667,0.443089,0.322965
9.26667,0.430331,0.332005
9.46667,0.421826,0.337308
9.66667,0.410006,0.337718
9.86667,0.418949,0.336204
10.0667,0.398874,0.333012
10.2667,0.388993,0.32737
10.4667,0.389806,0.322754
10.6667,0.387555,0.318314
10.8667,0.384053,0.314272
11.0667,0.38843,0.311021
11.2667,0.381488,0.309074
11.4667,0.379425,0.307299
11.6667,0.380926,0.303319
11.8667,0.377861,0.299187
12.0667,0.379174,0.299035
12.2667,0.370356,0.295527
12.4667,0.366917,0.293939
12.6667,0.372795,0.294778
12.8667,0.364978,0.294977
13.0667,0.404378,0.292921
13.2667,0.376298,0.292328
13.4667,0.375109,0.28985
13.6667,0.375922,0.28946
13.8667,0.373546,0.288629
14.0667,0.375047,0.287934
14.2667,0.372108,0.289
14.4667,0.401814,0.28644
14.6667,0.374547,0.29248
14.8667,0.373171,0.291189
15.0667,0.375235,0.290947
15.2667,0.373233,0.290943
15.4667,0.374672,0.290771
15.6667,0.374734,0.293003
15.8667,0.373734,0.290974
16.0667,0.373546,0.290077
16.2667,0.373483,0.291704
16.4667,0.372045,0.288883
16.6667,0.37192,0.287872
16.8667,0.373108,0.287817
17.0667,0.373046,0.293214
17.2667,0.371232,0.292983
17.4667,0.371857,0.294049
17.6667,0.371795,0.29406
17.8667,0.371795,0.28985
18.0667,0.374922,0.290026
18.2667,0.375547,0.28779
18.4667,0.375109,0.28644
18.6667,0.376548,0.282273
18.8667,0.395184,0.290673
19.0667,0.3995,0.299273
19.2667,0.401876,0.305426
19.4667,0.406879,0.310026
19.6667,0.437711,0.31472
19.8667,0.421513,0.303963
20.0667,0.404065,0.296085
20.2667,0.395247,0.287966
20.4667,0.375172,0.285687
20.6667,0.388555,0.28699
20.8667,0.393684,0.295083
21.0667,0.393934,0.298902
21.2667,0.375547,0.295738
21.4667,0.380488,0.289651
21.6667,0.378111,0.288968
21.8667,0.375922,0.288613
22.0667,0.382427,0.289503
22.2667,0.378924,0.289565
22.4667,0.377173,0.288539
22.6667,0.379049,0.289175
22.8667,0.374484,0.289745
23.0667,0.371857,0.289819
23.2667,0.390557,0.297022
23.4667,0.398437,0.299203
23.6667,0.398749,0.299499
23.8667,0.398061,0.299531
24.0667,0.399124,0.301205
24.2667,0.397498,0.300736
24.4667,0.373046,0.302141
