Time, Queue Output, Queue Baseline
0.266667,0.18552,0.113781
0.466667,0.197888,0.114066
0.666667,0.209653,0.125116
0.866667,0.233605,0.138413
1.06667,0.219728,0.14173
1.26667,0.253635,0.14647
1.46667,0.253575,0.147399
1.66667,0.260332,0.150329
1.86667,0.258401,0.151543
2.06667,0.273605,0.16347
2.26667,0.281086,0.16779
2.46667,0.283077,0.174325
2.66667,0.286938,0.179936
2.86667,0.29098,0.183151
3.06667,0.30546,0.185375
3.26667,0.305279,0.187147
3.46667,0.306244,0.189062
3.66667,0.308296,0.191587
3.86667,0.307994,0.196394
4.06667,0.325973,0.202016
4.26667,0.333876,0.201361
4.46667,0.340754,0.206039
4.66667,0.325973,0.20124
4.86667,0.293333,0.203807
5.06667,0.293575,0.202055
5.26667,0.287903,0.211065
5.46667,0.309201,0.217553
5.66667,0.31264,0.221674
5.86667,0.33267,0.238178
6.06667,0.370015,0.252888
6.26667,0.379487,0.267649
6.46667,0.403318,0.269409
6.66667,0.37629,0.282468
6.86667,0.399517,0.28923
7.06667,0.428235,0.283779
7.26667,0.409774,0.277251
7.46667,0.405128,0.279405
7.66667,0.435716,0.289522
7.86667,0.436983,0.295305
8.06667,0.450136,0.306757
8.26667,0.449834,0.309152
8.46667,0.448748,0.307982
8.66667,0.457617,0.315259
8.86667,0.465038,0.319933
9.06667,0.432097,0.322965
9.26667,0.424314,0.332005
9.46667,0.411161,0.337308
9.66667,0.399457,0.337718
9.86667,0.409231,0.336204
10.0667,0.393424,0.333012
10.2667,0.38184,0.32737
10.4667,0.380392,0.322754
10.6667,0.377677,0.318314
10.8667,0.404223,0.314272
11.0667,0.41086,0.311021
11.2667,0.380754,0.309074
11.4667,0.371765,0.307299
11.6667,0.371101,0.303319
11.8667,0.368145,0.299187
12.0667,0.376229,0.299035
12.2667,0.365792,0.295527
12.4667,0.390287,0.293939
12.6667,0.395716,0.294778
12.8667,0.387813,0.294977
13.0667,0.397345,0.292921
13.2667,0.395837,0.292328
13.4667,0.397707,0.28985
13.6667,0.39813,0.28946
13.8667,0.398311,0.288629
14.0667,0.397888,0.287934
14.2667,0.39644,0.289
14.4667,0.394932,0.28644
14.6667,0.369412,0.29248
14.8667,0.371523,0.291189
15.0667,0.370558,0.290947
15.2667,0.370498,0.290943
15.4667,0.370075,0.290771
15.6667,0.371584,0.293003
15.8667,0.37086,0.290974
16.0667,0.367964,0.290077
16.2667,0.368507,0.291704
16.4667,0.366033,0.288883
16.6667,0.368929,0.287872
16.8667,0.369653,0.287817
17.0667,0.369713,0.293214
17.2667,0.368446,0.292983
17.4667,0.368386,0.294049
17.6667,0.368265,0.29406
17.8667,0.367119,0.28985
18.0667,0.369653,0.290026
18.2667,0.371704,0.28779
18.4667,0.37279,0.28644
18.6667,0.37273,0.282273
18.8667,0.391976,0.290673
19.0667,0.393303,0.299273
19.2667,0.402293,0.305426
19.4667,0.400965,0.310026
19.6667,0.4073,0.31472
19.8667,0.416893,0.303963
20.0667,0.401146,0.296085
20.2667,0.390588,0.287966
20.4667,0.371885,0.285687
20.6667,0.384917,0.28699
20.8667,0.389201,0.295083
21.0667,0.389864,0.298902
21.2667,0.385762,0.295738
21.4667,0.375083,0.289651
21.6667,0.374118,0.288968
21.8667,0.37448,0.288613
22.0667,0.373333,0.289503
22.2667,0.371885,0.289565
22.4667,0.3746,0.288539
22.6667,0.372911,0.289175
22.8667,0.371282,0.289745
23.0667,0.367602,0.289819
23.2667,0.385762,0.297022
23.4667,0.392398,0.299203
23.6667,0.394268,0.299499
23.8667,0.396501,0.299531
24.0667,0.393846,0.301205
24.2667,0.394872,0.300736
24.4667,0.392097,0.302141
24.6667,0.386486,0.302609
24.8667,0.387511,0.302539
25.0667,0.380452,0.304185
25.2667,0.376652,0.300576
25.4667,0.385339,0.298516
25.6667,0.380754,0.298746
25.8667,0.380875,0.301708
26.0667,0.381056,0.308017
26.2667,0.37997,0.314791
26.4667,0.39264,0.322668
26.6667,0.377496,0.326211
26.8667,0.378944,0.325782
27.0667,0.380211,0.329863
27.2667,0.398492,0.338373
27.4667,0.439759,0.354839
27.6667,0.452066,0.371328
27.8667,0.49279,0.383189
28.0667,0.472157,0.395991
28.2667,0.488627,0.407775
28.4667,0.505943,0.420378
28.6667,0.505581,0.436266
28.8667,0.516742,0.451631
29.0667,0.558733,0.461866
29.2667,0.556983,0.468331
29.4667,0.559336,0.474632
29.6667,0.55632,0.472994
29.8667,0.564766,0.490197
30.0667,0.564344,0.492366
30.2667,0.566818,0.497064
30.4667,0.566335,0.499253
30.6667,0.5854,0.498164
30.8667,0.580754,0.50351
31.0667,0.587632,0.504883
31.2667,0.579186,0.502655
31.4667,0.568205,0.508496
31.6667,0.570015,0.513299
31.8667,0.581961,0.512968
32.0667,0.591252,0.513108
32.2667,0.588416,0.517486
32.4667,0.593183,0.515758
32.6667,0.577919,0.517533
32.8667,0.584072,0.516159
33.0667,0.574962,0.522913
33.2667,0.575204,0.525005
33.4667,0.571704,0.520112
33.6667,0.583952,0.52799
33.8667,0.611523,0.537491
34.0667,0.608808,0.547432
34.2667,0.626787,0.55341
34.4667,0.655264,0.564409
34.6667,0.673605,0.589229
34.8667,0.694359,0.592701
35.0667,0.700754,0.596634
35.2667,0.704012,0.597313
35.4667,0.698944,0.599291
35.6667,0.706848,0.596322
35.8667,0.692549,0.599268
36.0667,0.670588,0.599011
36.2667,0.688084,0.599697
36.4667,0.652489,0.589389
36.6667,0.663831,0.592284
36.8667,0.651041,0.593856
37.0667,0.648024,0.587524
37.2667,0.645309,0.586099
37.4667,0.650679,0.584504
37.6667,0.659306,0.58361
37.8667,0.650437,0.581526
38.0667,0.658462,0.577843
38.2667,0.657858,0.575389
38.4667,0.656652,0.576099
38.6667,0.668416,0.581952
38.8667,0.655143,0.587746
39.0667,0.664253,0.594481
39.2667,0.689653,0.599795
39.4667,0.696591,0.604024
39.6667,0.707692,0.613412
39.8667,0.715837,0.61722
40.0667,0.731101,0.619663
40.2667,0.750588,0.626444
40.4667,0.754691,0.635379
40.6667,0.760483,0.644252
40.8667,0.761629,0.656851
41.0667,0.760241,0.66181
41.2667,0.761689,0.667788
41.4667,0.761569,0.678592
41.6667,0.761931,0.681741
41.8667,0.76175,0.684995
42.0667,0.764344,0.689696
42.2667,0.764646,0.693021
42.4667,0.765611,0.694125
42.6667,0.765128,0.693114
42.8667,0.765249,0.692908
43.0667,0.759759,0.692978
43.2667,0.760664,0.695596
43.4667,0.756863,0.699997
43.6667,0.761689,0.701702
43.8667,0.765249,0.698444
44.0667,0.76537,0.699888
44.2667,0.758854,0.703829
44.4667,0.761207,0.708105
44.6667,0.764646,0.709596
44.8667,0.765309,0.714157
45.0667,0.766818,0.714368
45.2667,0.767481,0.713911
45.4667,0.767541,0.711164
45.6667,0.765008,0.710969
45.8667,0.765732,0.709065
46.0667,0.766456,0.709018
46.2667,0.769231,0.708628
46.4667,0.770739,0.706045
46.6667,0.769713,0.70855
46.8667,0.769291,0.708952
47.0667,0.768265,0.707852
47.2667,0.767602,0.70658
47.4667,0.764887,0.709206
47.6667,0.763801,0.711383
47.8667,0.762956,0.712522
48.0667,0.748235,0.714317
48.2667,0.748296,0.715507
48.4667,0.749925,0.711999
48.6667,0.757888,0.713349
48.8667,0.756682,0.7158
49.0667,0.748235,0.715983
49.2667,0.747873,0.718449
49.4667,0.748296,0.716818
49.6667,0.767783,0.713771
49.8667,0.749925,0.719518
50.0667,0.750045,0.712959
50.2667,0.752097,0.715363
50.4667,0.746063,0.712417
50.6667,0.762413,0.713736
50.8667,0.746848,0.716584
51.0667,0.747692,0.712101
51.2667,0.746305,0.710466
51.4667,0.769653,0.714372
51.6667,0.772549,0.715047
51.8667,0.772489,0.71381
52.0667,0.771885,0.716818
52.2667,0.780754,0.718679
52.4667,0.76911,0.716006
52.6667,0.771825,0.712467
52.8667,0.753906,0.708765
53.0667,0.7673,0.704976
53.2667,0.746486,0.706236
53.4667,0.766516,0.710181
53.6667,0.744857,0.710813
53.8667,0.746305,0.711473
54.0667,0.746667,0.713954
54.2667,0.742202,0.713786
54.4667,0.743469,0.717895
54.6667,0.782202,0.721524
