Time, Moving Output, Moving Baseline
0.266667,0.091915,0.0931558
0.466667,0.0851142,0.0895584
0.666667,0.0838695,0.0856019
0.866667,0.0806427,0.0849308
1.06667,0.0831165,0.0852195
1.26667,0.067439,0.0701039
1.46667,0.0588823,0.0613599
1.66667,0.0610595,0.0626007
1.86667,0.0626397,0.0644463
2.06667,0.0647623,0.0677082
2.26667,0.0703263,0.0745793
2.46667,0.075902,0.0787776
2.66667,0.0801472,0.0827302
2.86667,0.0788128,0.0811929
3.06667,0.078009,0.0794292
3.26667,0.0815284,0.0832023
3.46667,0.0735063,0.0778607
3.66667,0.0760698,0.0790547
3.86667,0.0805569,0.0856136
4.06667,0.0871041,0.0917239
4.26667,0.0904909,0.0932261
4.46667,0.0713408,0.0718675
4.66667,0.0626007,0.0657261
4.86667,0.057583,0.0588277
5.06667,0.0643995,0.0659173
5.26667,0.0634864,0.0650823
5.46667,0.0602167,0.0633069
5.66667,0.0673609,0.0701663
5.86667,0.0760737,0.0796516
6.06667,0.0979473,0.0986145
6.26667,0.110296,0.113781
6.46667,0.120617,0.123957
6.66667,0.106863,0.109536
6.86667,0.105357,0.109582
7.06667,0.107405,0.111319
7.26667,0.106765,0.112025
7.46667,0.112407,0.113777
7.66667,0.112513,0.114979
7.86667,0.118018,0.121155
8.06667,0.13027,0.133403
8.26667,0.135627,0.142401
8.46667,0.146029,0.1518
8.66667,0.15672,0.162191
8.86667,0.154488,0.16255
9.06667,0.142393,0.147504
9.26667,0.13766,0.143996
9.46667,0.135108,0.141308
9.66667,0.119282,0.12448
9.86667,0.105173,0.1097
10.0667,0.0925315,0.0986886
10.2667,0.0790664,0.083491
10.4667,0.086991,0.0908381
10.6667,0.0749578,0.0778334
10.8667,0.0814153,0.0850479
11.0667,0.0693079,0.0725738
11.2667,0.0596861,0.0644268
11.4667,0.0745754,0.076101
11.6667,0.0654295,0.0683403
11.8667,0.0671619,0.0708413
12.0667,0.0509928,0.0522687
12.2667,0.0452571,0.0440632
12.4667,0.0409027,0.0431151
12.6667,0.0217487,0.0193374
12.8667,0.0266065,0.0256271
13.0667,0.0161184,0.0158492
13.2667,0.0148659,0.0152327
13.4667,0.0159584,0.0168246
13.6667,0.00948921,0.0102579
13.8667,0.00808456,0.00893516
14.0667,0.00664869,0.00574737
14.2667,0.0127667,0.0140621
14.4667,0.00966089,0.0102071
14.6667,0.00698035,0.00820942
14.8667,0.00982867,0.0109563
15.0667,0.00672283,0.00701936
15.2667,0.00720665,0.00728859
15.4667,0.0128721,0.0130087
15.6667,0.0195169,0.0200046
15.8667,0.0230168,0.0232353
16.0667,0.0230285,0.024558
16.2667,0.0178469,0.0182449
16.4667,0.0159779,0.0163837
16.6667,0.0138319,0.0148581
16.8667,0.00813528,0.00830306
17.0667,0.00843963,0.00854107
17.2667,0.00858399,0.00857229
17.4667,0.00755781,0.00674234
17.6667,0.00470559,0.00557179
17.8667,0.00770218,0.00797921
18.0667,0.00997304,0.00956725
18.2667,0.00779583,0.00830696
18.4667,0.0133403,0.0137188
18.6667,0.00900539,0.00909903
18.8667,0.0190252,0.0194818
19.0667,0.0276092,0.0287564
19.2667,0.0377618,0.038308
19.4667,0.0383431,0.0392718
19.6667,0.0374613,0.0370399
19.8667,0.0441568,0.0437393
20.0667,0.0291583,0.0297006
20.2667,0.023048,0.0233797
20.4667,0.0175231,0.0176986
20.6667,0.0232002,0.022494
20.8667,0.0286159,0.029845
21.0667,0.018042,0.0190018
21.2667,0.013711,0.0153927
21.4667,0.0145811,0.013711
21.6667,0.0121112,0.0135354
21.8667,0.00584102,0.00592295
22.0667,0.00749148,0.00749148
22.2667,0.00490068,0.00508016
22.4667,0.00648872,0.006239
22.6667,0.00732371,0.00759293
22.8667,0.0129813,0.0135081
23.0667,0.0183619,0.017527
23.2667,0.0173319,0.0174918
23.4667,0.024878,0.0262436
23.6667,0.0217916,0.0221974
23.8667,0.0228724,0.0243824
24.0667,0.0228646,0.023407
24.2667,0.021023,0.0217409
24.4667,0.0214912,0.022572
24.6667,0.0223613,0.0228763
24.8667,0.0227944,0.0233407
25.0667,0.0240547,0.0249911
25.2667,0.0244917,0.0250262
25.4667,0.0260641,0.0263958
25.6667,0.022135,0.0232821
25.8667,0.0258339,0.0270279
26.0667,0.0347691,0.0360216
26.2667,0.0487181,0.0507821
26.4667,0.0489873,0.04848
26.6667,0.0508172,0.0519683
26.8667,0.0519527,0.0520463
27.0667,0.0488,0.0506104
27.2667,0.0613599,0.0627607
27.4667,0.0826951,0.084884
27.6667,0.0894101,0.091997
27.8667,0.104615,0.107491
28.0667,0.111908,0.114585
28.2667,0.118966,0.122759
28.4667,0.131557,0.135366
28.6667,0.135331,0.137508
28.8667,0.142795,0.147141
29.0667,0.14432,0.147773
29.2667,0.147949,0.151898
29.4667,0.152346,0.155788
29.6667,0.158562,0.164824
29.8667,0.152842,0.154485
30.0667,0.150762,0.155175
30.2667,0.148164,0.154317
30.4667,0.150341,0.153244
30.6667,0.133555,0.140407
30.8667,0.128159,0.1297
31.0667,0.111678,0.109118
31.2667,0.0895076,0.0886765
31.4667,0.0793122,0.0802837
31.6667,0.0595144,0.0619998
31.8667,0.0499198,0.0520385
32.0667,0.0460726,0.0491941
32.2667,0.0360606,0.0358577
32.4667,0.0194818,0.0187365
32.6667,0.00586443,0.00422176
32.8667,0.00678526,0.00513869
33.0667,0.00585272,0.00565373
33.2667,0.0032346,0.00229037
33.4667,0.00219672,0
33.6667,0.0066565,0.0066565
33.8667,0.0169105,0.0169105
34.0667,0.0287642,0.0291661
34.2667,0.0378281,0.0391001
34.4667,0.0506495,0.0514376
34.6667,0.0597407,0.0611141
34.8667,0.0657963,0.0678487
35.0667,0.0693509,0.0721328
35.2667,0.0719573,0.0728976
35.4667,0.0792849,0.0824453
35.6667,0.0805998,0.0829214
35.8667,0.0907835,0.0949858
36.0667,0.0843104,0.0906509
36.2667,0.0909747,0.0929139
36.4667,0.0962149,0.0992544
36.6667,0.0971591,0.0984662
36.8667,0.0945371,0.0962383
37.0667,0.0750475,0.0794917
37.2667,0.0728976,0.0765926
37.4667,0.0754611,0.0771974
37.6667,0.05921,0.0653554
37.8667,0.0576805,0.0619569
38.0667,0.055199,0.0557257
38.2667,0.0305278,0.0285691
38.4667,0.017246,0.0148386
38.6667,0.0232743,0.0239103
38.8667,0.0275039,0.0276327
39.0667,0.0361425,0.0374808
39.2667,0.0299542,0.0323304
39.4667,0.0313823,0.0341955
39.6667,0.0452103,0.0470754
39.8667,0.0383782,0.0386787
40.0667,0.0377384,0.0412929
40.2667,0.0431931,0.0452845
40.4667,0.0397088,0.039541
40.6667,0.0524872,0.0537007
40.8667,0.0604079,0.0623783
41.0667,0.0644385,0.0660343
41.2667,0.0694913,0.0723553
41.4667,0.0740838,0.0772676
41.6667,0.0627178,0.0642161
41.8667,0.0534041,0.059647
42.0667,0.0523272,0.0569275
42.2667,0.0577976,0.0592647
42.4667,0.0513674,0.0561159
42.6667,0.0437471,0.0436886
42.8667,0.0391976,0.0394512
43.0667,0.0354012,0.0363961
43.2667,0.0358733,0.0356782
43.4667,0.0349564,0.0389557
43.6667,0.0364625,0.0384914
43.8667,0.0418782,0.0413631
44.0667,0.0423035,0.0431775
44.2667,0.0446992,0.0459517
44.4667,0.0475319,0.0486907
44.6667,0.0553824,0.0573996
44.8667,0.0537826,0.0557374
45.0667,0.0529905,0.0540245
45.2667,0.0563656,0.0594598
45.4667,0.0553785,0.0601933
45.6667,0.0566583,0.0597329
45.8667,0.0537202,0.0564593
46.0667,0.0422996,0.0462755
46.2667,0.0411602,0.0423542
46.4667,0.03688,0.0397595
46.6667,0.0281516,0.0302547
46.8667,0.0257988,0.0246985
47.0667,0.0229739,0.0224745
47.2667,0.0197627,0.0197627
47.4667,0.0170978,0.0161964
47.6667,0.0136446,0.0127433
47.8667,0.0152054,0.0149986
48.0667,0.00802993,0.00836549
48.2667,0.00689841,0.00689841
48.4667,0.00658626,0.00658626
48.6667,0.00531037,0.00440905
48.8667,0.00723787,0.00612195
49.0667,0.00267274,0.00267274
49.2667,0.00693743,0.00693743
49.4667,0.00917317,0.00917317
49.6667,0.00583321,0.00493189
49.8667,0.00855278,0.00921999
50.0667,0.00525965,0.00525965
50.2667,0.00250106,0.00250106
50.4667,0.00487727,0.00487727
50.6667,0.00206016,0.00206016
50.8667,0.00632874,0.00632874
51.0667,0.00335166,0.00335166
51.2667,0.0017207,0.0017207
51.4667,0.00250887,0.00250887
51.6667,0,0
51.8667,0,0
52.0667,0.00436223,0.00457683
52.2667,0.00826795,0.00913805
52.4667,0.0047251,0.0047251
52.6667,0,0
52.8667,0,0
53.0667,0,0
53.2667,0.00216161,0.00216161
53.4667,0.00969601,0.00879469
53.6667,0.0100979,0.0100979
53.8667,0.0174606,0.0185219
54.0667,0.017843,0.0189082
54.2667,0.0127355,0.0127355
54.4667,0.0125834,0.0125834
54.6667,0.0158219,0.0159545
54.8667,0.0115025,0.012318
55.0667,0.0107573,0.0113699
55.2667,0.0146123,0.0151703
55.4667,0.0147606,0.0150181
55.6667,0.011604,0.0124429
55.8667,0.00196651,0.00196651
56.0667,0.0119825,0.0114635
56.2667,0.00338287,0.00248155
56.4667,0.00274688,0.00274688
56.6667,0.00866593,0.00939947
56.8667,0.000901319,0
57.0667,0.0055913,0.00615706
57.2667,0.0115533,0.0120176
57.4667,0.00712862,0.00671893
57.6667,0.00466657,0.00417104
57.8667,0.0148425,0.0150649
58.0667,0.0075227,0.00825234
58.2667,0,0
58.4667,0.00719885,0.00755391
58.6667,0.0218424,0.0221896
58.8667,0.00442466,0.00442466
59.0667,0.00415933,0.00415933
59.2667,0.00894296,0.00935265
59.4667,0.00933314,0.0109836
59.6667,0.007948,0.00808456
59.8667,0.00895466,0.00918877
60.0667,0.00414763,0.00419445
60.2667,0.00180264,0.00180264
60.4667,0,0
60.6667,0.00956335,0.0115299
60.8667,0.0108627,0.0119435
61.0667,0.0166725,0.0179132
61.2667,0.0160091,0.01693
61.4667,0,0
61.6667,0,0
61.8667,0,0
62.0667,0.00271176,0.00284832
62.2667,0,0
62.4667,0.0102735,0.0117367
62.6667,0.0188302,0.0195793
62.8667,0.0188263,0.0198212
63.0667,0.016333,0.0170314
63.2667,0.00625851,0.00591125
63.4667,0.00247375,0.00230597
63.6667,0.00694913,0.00694913
63.8667,0.0017207,0.0017207
64.0667,0.00188458,0.00188458
64.2667,0,0
64.4667,0,0
64.6667,0.0017207,0.0017207
64.8667,0.010453,0.0114089
65.0667,0.0122283,0.0139217
65.2667,0.0155956,0.0162042
65.4667,0.0188497,0.0203402
65.6667,0.023208,0.0244254
65.8667,0.0121034,0.0121034
66.0667,0.00762024,0.00772169
66.2667,0.00369502,0.00369502
66.4667,0.00484996,0.00484996
66.6667,0.00992231,0.0108236
66.8667,0.00482654,0.00482654
67.0667,0.00712081,0.00712081
67.2667,0,0
67.4667,0.0292909,0.0302625
67.6667,0.0149635,0.0155526
67.8667,0.0142572,0.015857
68.0667,0.0128565,0.0137578
68.2667,0.00420225,0.00393693
68.4667,0.0140309,0.0148425
68.6667,0.00765146,0.00784265
68.8667,0.0129579,0.0137968
69.0667,0.0131374,0.0137266
69.2667,0.0027859,0.00289515
69.4667,0.0173475,0.017843
69.6667,0.0162901,0.0144562
69.8667,0.00853327,0.00856058
70.0667,0.0162706,0.0172148
70.2667,0.00661748,0.00763585
70.4667,0.0161925,0.0171836
70.6667,0.0118459,0.0121581
70.8667,0.00932924,0.0102774
71.0667,0.00981306,0.0108666
71.2667,0.00879079,0.00883371
71.4667,0.0103086,0.0109212
71.6667,0.0109407,0.0115806
71.8667,0.00779583,0.00828745
72.0667,0.0116079,0.0107066
72.2667,0.0115533,0.0122088
72.4667,0.014425,0.0152132
72.6667,0.0108119,0.0112879
72.8667,0.0112684,0.0119083
73.0667,0.011007,0.0104256
73.2667,0.0138046,0.0133403
73.4667,0.0116391,0.0125755
73.6667,0.00612195,0.00612195
