Time, Queue Output, Queue Baseline
0.266667,0.109407,0.113781
0.466667,0.109391,0.114066
0.666667,0.122384,0.125116
0.866667,0.135085,0.138413
1.06667,0.135038,0.14173
1.26667,0.143645,0.14647
1.46667,0.142728,0.147399
1.66667,0.146189,0.150329
1.86667,0.14805,0.151543
2.06667,0.159319,0.16347
2.26667,0.163619,0.16779
2.46667,0.167306,0.174325
2.66667,0.173916,0.179936
2.86667,0.177142,0.183151
3.06667,0.179963,0.185375
3.26667,0.179823,0.187147
3.46667,0.183272,0.189062
3.66667,0.185375,0.191587
3.86667,0.190233,0.196394
4.06667,0.196121,0.202016
4.26667,0.194264,0.201361
4.46667,0.200319,0.206039
4.66667,0.19664,0.20124
4.86667,0.199071,0.203807
5.06667,0.195891,0.202055
5.26667,0.206347,0.211065
5.46667,0.212001,0.217553
5.66667,0.215692,0.221674
5.86667,0.233313,0.238178
6.06667,0.24391,0.252888
6.26667,0.259311,0.267649
6.46667,0.259759,0.269409
6.66667,0.272729,0.282468
6.86667,0.280404,0.28923
7.06667,0.276666,0.283779
7.26667,0.265956,0.277251
7.46667,0.270794,0.279405
7.66667,0.282792,0.289522
7.86667,0.285184,0.295305
8.06667,0.297338,0.306757
8.26667,0.299761,0.309152
8.46667,0.298891,0.307982
8.66667,0.30497,0.315259
8.86667,0.307385,0.319933
9.06667,0.313745,0.322965
9.26667,0.321439,0.332005
9.46667,0.326652,0.337308
9.66667,0.324732,0.337718
9.86667,0.325415,0.336204
10.0667,0.321619,0.333012
10.2667,0.317054,0.32737
10.4667,0.310264,0.322754
10.6667,0.307611,0.318314
10.8667,0.301146,0.314272
11.0667,0.299008,0.311021
11.2667,0.29637,0.309074
11.4667,0.295765,0.307299
11.6667,0.291672,0.303319
11.8667,0.290947,0.299187
12.0667,0.291064,0.299035
12.2667,0.287154,0.295527
12.4667,0.284165,0.293939
12.6667,0.284946,0.294778
12.8667,0.285125,0.294977
13.0667,0.283038,0.292921
13.2667,0.282511,0.292328
13.4667,0.280841,0.28985
13.6667,0.279265,0.28946
13.8667,0.278418,0.288629
14.0667,0.277934,0.287934
14.2667,0.27962,0.289
14.4667,0.277087,0.28644
14.6667,0.281957,0.29248
14.8667,0.280384,0.291189
15.0667,0.280658,0.290947
15.2667,0.280755,0.290943
15.4667,0.279865,0.290771
15.6667,0.282304,0.293003
15.8667,0.280287,0.290974
16.0667,0.280131,0.290077
16.2667,0.281524,0.291704
16.4667,0.276966,0.288883
16.6667,0.276268,0.287872
16.8667,0.275991,0.287817
17.0667,0.281317,0.293214
17.2667,0.28118,0.292983
17.4667,0.282581,0.294049
17.6667,0.283135,0.29406
17.8667,0.279292,0.28985
18.0667,0.28031,0.290026
18.2667,0.278277,0.28779
18.4667,0.275854,0.28644
18.6667,0.271777,0.282273
18.8667,0.280076,0.290673
19.0667,0.287462,0.299273
19.2667,0.29488,0.305426
19.4667,0.299183,0.310026
19.6667,0.302757,0.31472
19.8667,0.292734,0.303963
20.0667,0.286592,0.296085
20.2667,0.277474,0.287966
20.4667,0.276143,0.285687
20.6667,0.277719,0.28699
20.8667,0.284856,0.295083
21.0667,0.288996,0.298902
21.2667,0.285703,0.295738
21.4667,0.280763,0.289651
21.6667,0.279897,0.288968
21.8667,0.27887,0.288613
22.0667,0.280552,0.289503
22.2667,0.280755,0.289565
22.4667,0.279335,0.288539
22.6667,0.279858,0.289175
22.8667,0.2807,0.289745
23.0667,0.280299,0.289819
23.2667,0.286904,0.297022
23.4667,0.289351,0.299203
23.6667,0.289366,0.299499
23.8667,0.288305,0.299531
24.0667,0.290092,0.301205
24.2667,0.288726,0.300736
