Time,Queue Density,Moving Density
0.266667,0.11334,0.0914039
0.466667,0.113391,0.0892501
0.666667,0.124405,0.0853522
0.866667,0.136009,0.0817274
1.06667,0.140774,0.084049
1.26667,0.145741,0.069265
1.46667,0.147375,0.0594559
1.66667,0.148882,0.0619491
1.86667,0.150758,0.0633616
2.06667,0.162686,0.0675248
2.26667,0.166728,0.0739433
2.46667,0.173237,0.0781338
2.66667,0.177735,0.0816845
2.86667,0.18051,0.0795541
3.06667,0.183623,0.0789103
3.26667,0.185867,0.0825936
3.46667,0.185711,0.0773457
3.66667,0.188785,0.0763585
3.86667,0.194853,0.0850362
4.06667,0.20053,0.0913259
4.26667,0.199785,0.0928671
4.46667,0.20456,0.0715008
4.66667,0.199414,0.0662606
4.86667,0.201283,0.0583399
5.06667,0.199593,0.0654451
5.26667,0.208341,0.0644424
5.46667,0.215431,0.061914
5.66667,0.219567,0.0695108
5.86667,0.236505,0.0793512
6.06667,0.250118,0.0980682
6.26667,0.264797,0.113605
6.46667,0.268414,0.124386
6.66667,0.280018,0.108701
6.86667,0.287029,0.107842
7.06667,0.281208,0.11062
7.26667,0.275675,0.110043
7.46667,0.276803,0.111877
7.66667,0.286101,0.113047
7.86667,0.291493,0.118287
8.06667,0.303202,0.131624
8.26667,0.306257,0.142358
8.46667,0.304158,0.15013
8.66667,0.311868,0.159803
8.86667,0.317026,0.160466
9.06667,0.319477,0.144976
9.26667,0.328646,0.141722
9.46667,0.33446,0.139595
9.66667,0.332302,0.120578
9.86667,0.333937,0.106871
10.0667,0.330499,0.100062
10.2667,0.323917,0.0820747
10.4667,0.319223,0.0878611
10.6667,0.31513,0.0770569
10.8667,0.311576,0.0834403
11.0667,0.309246,0.0713642
11.2667,0.307104,0.0640522
11.4667,0.30474,0.07463
11.6667,0.301021,0.0671502
11.8667,0.29644,0.0696825
12.0667,0.296179,0.0493111
12.2667,0.293299,0.0426156
12.4667,0.290779,0.0422293
12.6667,0.292531,0.0192203
12.8667,0.292246,0.0248116
