Time, Moving Output, Moving Baseline
0.266667,0.105325,0.0931558
0.466667,0.0973743,0.0895584
0.666667,0.090559,0.0856019
0.866667,0.0914848,0.0849308
1.06667,0.0994204,0.0852195
1.26667,0.0812152,0.0701039
1.46667,0.0762672,0.0613599
1.66667,0.0789201,0.0626007
1.86667,0.0770218,0.0644463
2.06667,0.0853075,0.0677082
2.26667,0.0848952,0.0745793
2.46667,0.0911969,0.0787776
2.66667,0.0933442,0.0827302
2.86667,0.0912748,0.0811929
3.06667,0.0897499,0.0794292
3.26667,0.0943945,0.0832023
3.46667,0.0842805,0.0778607
3.66667,0.0892442,0.0790547
3.86667,0.0918427,0.0856136
4.06667,0.102097,0.0917239
4.26667,0.0898977,0.0932261
4.46667,0.0633135,0.0718675
4.66667,0.067328,0.0657261
4.86667,0.057992,0.0588277
5.06667,0.0658576,0.0659173
5.26667,0.0637803,0.0650823
5.46667,0.0622943,0.0633069
5.66667,0.0613529,0.0701663
5.86667,0.0687673,0.0796516
6.06667,0.0783833,0.0986145
6.26667,0.109099,0.113781
6.46667,0.115167,0.123957
6.66667,0.1065,0.109536
6.86667,0.118676,0.109582
7.06667,0.110538,0.111319
7.26667,0.120543,0.112025
7.46667,0.110437,0.113777
7.66667,0.124153,0.114979
7.86667,0.128525,0.121155
8.06667,0.141627,0.133403
8.26667,0.158618,0.142401
8.46667,0.152254,0.1518
8.66667,0.159388,0.162191
8.86667,0.159567,0.16255
9.06667,0.143401,0.147504
9.26667,0.128362,0.143996
9.46667,0.134026,0.141308
9.66667,0.115268,0.12448
9.86667,0.107745,0.1097
10.0667,0.102945,0.0986886
10.2667,0.0800405,0.083491
10.4667,0.0920528,0.0908381
10.6667,0.0759871,0.0778334
10.8667,0.0851597,0.0850479
11.0667,0.0676236,0.0725738
11.2667,0.0591823,0.0644268
11.4667,0.0702221,0.076101
11.6667,0.0575407,0.0683403
11.8667,0.0571829,0.0708413
12.0667,0.0358813,0.0522687
12.2667,0.0338585,0.0440632
12.4667,0.0324892,0.0431151
12.6667,0.0183997,0.0193374
12.8667,0.0130782,0.0256271
13.0667,0.00539153,0.0158492
13.2667,0.0105652,0.0152327
13.4667,0.011032,0.0168246
13.6667,0,0.0102579
13.8667,0.0139339,0.00893516
14.0667,0,0.00574737
14.2667,0.00392111,0.0140621
14.4667,0.010184,0.0102071
14.6667,0,0.00820942
14.8667,0.0116155,0.0109563
15.0667,0.00343097,0.00701936
15.2667,0.00555491,0.00728859
15.4667,0.0124558,0.0130087
15.6667,0.00410783,0.0200046
15.8667,0.0165091,0.0232353
16.0667,0.0127825,0.024558
16.2667,0.011421,0.0182449
16.4667,0.0110242,0.0163837
16.6667,0.0101996,0.0148581
16.8667,0.0100906,0.00830306
17.0667,0.00473801,0.00854107
17.2667,0.0114599,0.00857229
17.4667,0.00580387,0.00674234
17.6667,0,0.00557179
17.8667,0.00426343,0.00797921
18.0667,0,0.00956725
18.2667,0,0.00830696
18.4667,0.0115455,0.0137188
18.6667,0.0101062,0.00909903
18.8667,0.013755,0.0194818
19.0667,0.022912,0.0287564
19.2667,0.030762,0.038308
19.4667,0.0361536,0.0392718
19.6667,0.0406893,0.0370399
19.8667,0.0510056,0.0437393
20.0667,0.0308943,0.0297006
20.2667,0.0302019,0.0233797
20.4667,0.0206636,0.0176986
20.6667,0.0174194,0.022494
20.8667,0.0306376,0.029845
21.0667,0.0214261,0.0190018
21.2667,0.0121835,0.0153927
21.4667,0.0143152,0.013711
21.6667,0.0129148,0.0135354
21.8667,0,0.00592295
22.0667,0.00343097,0.00749148
22.2667,0.00624733,0.00508016
22.4667,0.00390555,0.006239
22.6667,0.0071887,0.00759293
22.8667,0.00343097,0.0135081
23.0667,0.00188276,0.017527
23.2667,0.0137161,0.0174918
23.4667,0.0164702,0.0262436
23.6667,0.023091,0.0221974
23.8667,0.0326993,0.0243824
24.0667,0.029914,0.023407
24.2667,0.0295484,0.0217409
24.4667,0.0292994,0.022572
24.6667,0.0293383,0.0228763
24.8667,0.0274089,0.0233407
25.0667,0.0282258,0.0249911
25.2667,0.0292839,0.0250262
25.4667,0.0295795,0.0263958
25.6667,0.0282336,0.0232821
25.8667,0.0316256,0.0270279
26.0667,0.0429299,0.0360216
26.2667,0.0564282,0.0507821
26.4667,0.0566227,0.04848
26.6667,0.0602637,0.0519683
