Time, Queue Output, Queue Baseline
0.266667,0.130867,0.113781
0.466667,0.135753,0.114066
0.666667,0.144326,0.125116
0.866667,0.162532,0.138413
1.06667,0.167309,0.14173
1.26667,0.17382,0.14647
1.46667,0.17519,0.147399
1.66667,0.179243,0.150329
1.86667,0.178885,0.151543
2.06667,0.189769,0.16347
2.26667,0.195246,0.16779
2.46667,0.200389,0.174325
2.66667,0.211826,0.179936
2.86667,0.209881,0.183151
3.06667,0.220205,0.185375
3.26667,0.221753,0.187147
3.46667,0.221006,0.189062
3.66667,0.224499,0.191587
3.86667,0.225293,0.196394
4.06667,0.236146,0.202016
4.26667,0.237235,0.201361
4.46667,0.24002,0.206039
4.66667,0.23133,0.20124
4.86667,0.222126,0.203807
5.06667,0.230964,0.202055
5.26667,0.238332,0.211065
5.46667,0.245886,0.217553
5.66667,0.246345,0.221674
5.86667,0.271101,0.238178
6.06667,0.284732,0.252888
6.26667,0.306843,0.267649
6.46667,0.312203,0.269409
6.66667,0.317766,0.282468
6.86667,0.329801,0.28923
7.06667,0.333909,0.283779
7.26667,0.322457,0.277251
7.46667,0.323795,0.279405
7.66667,0.335667,0.289522
7.86667,0.34249,0.295305
8.06667,0.352472,0.306757
8.26667,0.361085,0.309152
8.46667,0.362314,0.307982
8.66667,0.372646,0.315259
8.86667,0.374801,0.319933
9.06667,0.376536,0.322965
9.26667,0.373245,0.332005
9.46667,0.367659,0.337308
9.66667,0.378605,0.337718
9.86667,0.35998,0.336204
10.0667,0.363948,0.333012
10.2667,0.360205,0.32737
10.4667,0.350831,0.322754
10.6667,0.34603,0.318314
10.8667,0.346201,0.314272
11.0667,0.342584,0.311021
11.2667,0.336368,0.309074
11.4667,0.325444,0.307299
11.6667,0.324861,0.303319
11.8667,0.327973,0.299187
12.0667,0.324472,0.299035
12.2667,0.322869,0.295527
12.4667,0.322978,0.293939
12.6667,0.319438,0.294778
12.8667,0.318653,0.294977
13.0667,0.322589,0.292921
13.2667,0.326674,0.292328
13.4667,0.323079,0.28985
13.6667,0.327794,0.28946
13.8667,0.33005,0.288629
14.0667,0.328541,0.287934
14.2667,0.325234,0.289
14.4667,0.323694,0.28644
14.6667,0.325865,0.29248
14.8667,0.330268,0.291189
15.0667,0.324768,0.290947
15.2667,0.327934,0.290943
15.4667,0.328518,0.290771
15.6667,0.324176,0.293003
15.8667,0.319703,0.290974
16.0667,0.318551,0.290077
16.2667,0.320481,0.291704
16.4667,0.320504,0.288883
16.6667,0.325654,0.287872
16.8667,0.31887,0.287817
17.0667,0.321119,0.293214
17.2667,0.322706,0.292983
17.4667,0.323601,0.294049
17.6667,0.323546,0.29406
17.8667,0.322737,0.28985
18.0667,0.320131,0.290026
18.2667,0.319921,0.28779
18.4667,0.319329,0.28644
18.6667,0.318046,0.282273
18.8667,0.326059,0.290673
19.0667,0.336344,0.299273
19.2667,0.344521,0.305426
19.4667,0.351227,0.310026
19.6667,0.350792,0.31472
19.8667,0.342895,0.303963
20.0667,0.333987,0.296085
20.2667,0.326495,0.287966
20.4667,0.324736,0.285687
20.6667,0.323601,0.28699
20.8667,0.330805,0.295083
21.0667,0.334819,0.298902
21.2667,0.332089,0.295738
21.4667,0.329552,0.289651
21.6667,0.328868,0.288968
21.8667,0.328556,0.288613
22.0667,0.319967,0.289503
22.2667,0.323142,0.289565
22.4667,0.325561,0.288539
22.6667,0.323103,0.289175
22.8667,0.321368,0.289745
23.0667,0.327833,0.289819
23.2667,0.333893,0.297022
23.4667,0.336967,0.299203
23.6667,0.340895,0.299499
23.8667,0.343027,0.299531
24.0667,0.34428,0.301205
24.2667,0.343019,0.300736
24.4667,0.344451,0.302141
24.6667,0.343969,0.302609
24.8667,0.3427,0.302539
25.0667,0.338375,0.304185
25.2667,0.335963,0.300576
25.4667,0.336165,0.298516
25.6667,0.336344,0.298746
25.8667,0.339744,0.301708
26.0667,0.348582,0.308017
26.2667,0.348131,0.314791
26.4667,0.352939,0.322668
26.6667,0.36303,0.326211
26.8667,0.358719,0.325782
27.0667,0.361878,0.329863
27.2667,0.372148,0.338373
27.4667,0.38889,0.354839
27.6667,0.406722,0.371328
27.8667,0.416447,0.383189
28.0667,0.428864,0.395991
28.2667,0.4471,0.407775
28.4667,0.46974,0.420378
28.6667,0.48698,0.436266
28.8667,0.49963,0.451631
29.0667,0.514117,0.461866
29.2667,0.518995,0.468331
29.4667,0.52802,0.474632
29.6667,0.528836,0.472994
29.8667,0.53748,0.490197
30.0667,0.536313,0.492366
30.2667,0.539954,0.497064
30.4667,0.53839,0.499253
30.6667,0.53566,0.498164
30.8667,0.538017,0.50351
31.0667,0.534952,0.504883
31.2667,0.531684,0.502655
31.4667,0.548178,0.508496
31.6667,0.550955,0.513299
31.8667,0.548489,0.512968
32.0667,0.551507,0.513108
32.2667,0.543611,0.517486
32.4667,0.548333,0.515758
32.6667,0.546279,0.517533
32.8667,0.54235,0.516159
33.0667,0.549562,0.522913
33.2667,0.54852,0.525005
33.4667,0.54747,0.520112
33.6667,0.55511,0.52799
33.8667,0.567503,0.537491
34.0667,0.576606,0.547432
34.2667,0.584028,0.55341
34.4667,0.593924,0.564409
34.6667,0.613327,0.589229
34.8667,0.624266,0.592701
35.0667,0.621434,0.596634
35.2667,0.627479,0.597313
35.4667,0.629377,0.599291
35.6667,0.625479,0.596322
35.8667,0.626234,0.599268
36.0667,0.628763,0.599011
36.2667,0.625394,0.599697
36.4667,0.613156,0.589389
36.6667,0.611351,0.592284
36.8667,0.614393,0.593856
37.0667,0.613537,0.587524
37.2667,0.600817,0.586099
37.4667,0.603306,0.584504
37.6667,0.601782,0.58361
37.8667,0.601291,0.581526
38.0667,0.599401,0.577843
38.2667,0.601922,0.575389
38.4667,0.591512,0.576099
38.6667,0.605244,0.581952
38.8667,0.612401,0.587746
39.0667,0.617194,0.594481
39.2667,0.622437,0.599795
39.4667,0.629066,0.604024
39.6667,0.633874,0.613412
39.8667,0.643887,0.61722
40.0667,0.646968,0.619663
40.2667,0.651807,0.626444
40.4667,0.660637,0.635379
40.6667,0.674073,0.644252
40.8667,0.683471,0.656851
41.0667,0.6915,0.66181
41.2667,0.703933,0.667788
41.4667,0.713004,0.678592
41.6667,0.714179,0.681741
41.8667,0.713315,0.684995
42.0667,0.717252,0.689696
42.2667,0.717711,0.693021
42.4667,0.719431,0.694125
42.6667,0.719088,0.693114
42.8667,0.715743,0.692908
43.0667,0.716863,0.692978
43.2667,0.717338,0.695596
43.4667,0.720955,0.699997
43.6667,0.719858,0.701702
43.8667,0.720061,0.698444
44.0667,0.721251,0.699888
44.2667,0.732019,0.703829
44.4667,0.733434,0.708105
44.6667,0.731847,0.709596
44.8667,0.733645,0.714157
45.0667,0.73464,0.714368
45.2667,0.735325,0.713911
45.4667,0.733053,0.711164
45.6667,0.730105,0.710969
45.8667,0.729,0.709065
46.0667,0.7311,0.709018
46.2667,0.731505,0.708628
46.4667,0.728424,0.706045
46.6667,0.729101,0.70855
46.8667,0.732524,0.708952
47.0667,0.735815,0.707852
47.2667,0.732625,0.70658
47.4667,0.730766,0.709206
47.6667,0.732376,0.711383
47.8667,0.73352,0.712522
48.0667,0.728237,0.714317
48.2667,0.731038,0.715507
48.4667,0.73566,0.711999
48.6667,0.735224,0.713349
48.8667,0.735084,0.7158
49.0667,0.735263,0.715983
49.2667,0.737877,0.718449
49.4667,0.738787,0.716818
49.6667,0.737379,0.713771
49.8667,0.739588,0.719518
50.0667,0.737044,0.712959
50.2667,0.732999,0.715363
50.4667,0.728214,0.712417
