Time,Queue Density,Moving Density
0.266667,0.117536,0.10445
0.466667,0.118533,0.101637
0.666667,0.130068,0.0786299
0.866667,0.145491,0.0703998
1.06667,0.153854,0.0757307
1.26667,0.155218,0.0697997
1.46667,0.15825,0.0706804
1.66667,0.16033,0.0693009
1.86667,0.16397,0.0717403
2.06667,0.174468,0.0780064
2.26667,0.180469,0.0848102
2.46667,0.18679,0.088785
2.66667,0.18905,0.0926194
2.86667,0.193562,0.0917855
3.06667,0.195254,0.0909204
3.26667,0.194856,0.0900631
3.46667,0.198332,0.082441
3.66667,0.198356,0.0787624
3.86667,0.206087,0.08195
4.06667,0.213756,0.0688333
4.26667,0.213452,0.0612657
4.46667,0.217957,0.0656691
4.66667,0.214917,0.0546021
4.86667,0.21653,0.0620373
5.06667,0.210342,0.0651469
5.26667,0.222703,0.0694646
5.46667,0.224449,0.066277
5.66667,0.231977,0.0679059
5.86667,0.253698,0.0792612
6.06667,0.271195,0.0814044
6.26667,0.286603,0.105861
6.46667,0.287218,0.11335
6.66667,0.294919,0.114535
6.86667,0.30565,0.117497
7.06667,0.305837,0.118019
7.26667,0.296875,0.12416
7.46667,0.301114,0.128026
7.66667,0.308612,0.122594
7.86667,0.315244,0.132531
8.06667,0.324004,0.140184
8.26667,0.330785,0.152747
8.46667,0.326491,0.157112
8.66667,0.333746,0.174008
8.86667,0.345554,0.174351
9.06667,0.345593,0.155226
9.26667,0.35341,0.146419
9.46667,0.358304,0.133684
9.66667,0.359208,0.109158
9.86667,0.35634,0.099205
10.0667,0.35542,0.0984491
10.2667,0.34931,0.081724
10.4667,0.344673,0.0885122
10.6667,0.333505,0.0774764
10.8667,0.332133,0.0832827
11.0667,0.324877,0.0656457
11.2667,0.323139,0.0592939
11.4667,0.320715,0.0754968
11.6667,0.322157,0.0595745
11.8667,0.316803,0.049396
12.0667,0.316842,0.0270127
12.2667,0.31247,0.0285558
12.4667,0.310646,0.0245265
12.6667,0.309602,0.0108955
12.8667,0.309617,0.0177773
13.0667,0.304357,0.00813654
13.2667,0.304918,0.0109189
13.4667,0.304279,0.0170525
13.6667,0.303523,0.00951602
13.8667,0.303944,0.0104279
14.0667,0.304435,0
14.2667,0.304341,0.00474632
14.4667,0.300187,0.00974982
14.6667,0.306827,0.00427091
14.8667,0.308441,0.00964851
15.0667,0.308238,0
15.2667,0.308635,0.00375653
15.4667,0.308518,0.0150807
15.6667,0.309797,0.0228197
15.8667,0.308815,0.0225625
16.0667,0.3053,0.0227964
16.2667,0.305339,0.0180656
16.4667,0.300764,0.0147611
16.6667,0.304333,0.0148313
16.8667,0.303242,0.0102408
17.0667,0.306344,0.0105136
17.2667,0.306289,0.0104513
17.4667,0.307147,0.0068428
17.6667,0.306835,0
17.8667,0.30445,0.0072169
18.0667,0.306718,0
18.2667,0.306258,0.00674149
18.4667,0.303881,0.0157509
18.6667,0.2988,0.0106305
18.8667,0.308518,0.0199361
19.0667,0.317278,0.0306056
19.2667,0.322142,0.0339101
19.4667,0.330255,0.0430208
19.6667,0.330855,0.0399112
19.8667,0.323061,0.0367469
20.0667,0.310747,0.0277843
20.2667,0.305058,0.0211831
20.4667,0.303725,0.0193905
20.6667,0.303086,0.0166004
20.8667,0.306297,0.0268802
21.0667,0.308511,0.0125633
21.2667,0.305159,0.0136778
21.4667,0.302525,0.010498
21.6667,0.298698,0.00443457
21.8667,0.302361,0.00376432
22.0667,0.304637,0.00360065
22.2667,0.304481,0
22.4667,0.304162,0.0061102
22.6667,0.304551,0.0096563
22.8667,0.304232,0.0134752
23.0667,0.30399,0.0121269
23.2667,0.309711,0.0194373
23.4667,0.313491,0.0296236
23.6667,0.313366,0.0251189
23.8667,0.318525,0.0267633
24.0667,0.319858,0.0238485
24.2667,0.320895,0.0235679
24.4667,0.318744,0.0241369
24.6667,0.315073,0.0242148
24.8667,0.313631,0.0252825
25.0667,0.310381,0.0267867
25.2667,0.308503,0.0274569
25.4667,0.309929,0.0272153
25.6667,0.309165,0.0268101
25.8667,0.312688,0.0293898
26.0667,0.316608,0.0374873
26.2667,0.320178,0.0444704
26.4667,0.325493,0.0439405
26.6667,0.335196,0.0449536
26.8667,0.338859,0.0494194
27.0667,0.344081,0.0513756
27.2667,0.349895,0.0652872
27.4667,0.368755,0.0914114
27.6667,0.382464,0.102697
27.8667,0.393921,0.116413
28.0667,0.406391,0.124799
28.2667,0.418214,0.127176
28.4667,0.43172,0.139802
28.6667,0.451344,0.133661
28.8667,0.461687,0.14797
29.0667,0.47287,0.15281
29.2667,0.4811,0.150955
29.4667,0.486455,0.152638
29.6667,0.498091,0.165311
29.8667,0.509555,0.154345
30.0667,0.507061,0.147487
30.2667,0.514785,0.143605
30.4667,0.51533,0.116421
30.6667,0.5124,0.108098
30.8667,0.512579,0.0947159
31.0667,0.520934,0.077531
31.2667,0.527473,0.0576884
31.4667,0.52522,0.051586
31.6667,0.528914,0.0275894
31.8667,0.532344,0.0136934
32.0667,0.534386,0.00798067
32.2667,0.534962,0.00484763
32.4667,0.534526,0.00188606
32.6667,0.536287,0
32.8667,0.5337,0
33.0667,0.538158,0
33.2667,0.539654,0
33.4667,0.532897,0
33.6667,0.543309,0.00921986
33.8667,0.55196,0.02024
34.0667,0.566877,0.0343465
34.2667,0.573089,0.0407685
34.4667,0.582153,0.0544385
34.6667,0.615455,0.0608682
34.8667,0.624706,0.071148
35.0667,0.627395,0.0749435
35.2667,0.627091,0.0741797
35.4667,0.625906,0.0880602
35.6667,0.623022,0.0900397
35.8667,0.627044,0.0978256
36.0667,0.625548,0.101824
36.2667,0.626272,0.104248
36.4667,0.610132,0.103866
36.6667,0.612205,0.101372
36.8667,0.615556,0.0971709
37.0667,0.609898,0.0774063
37.2667,0.608557,0.0705011
37.4667,0.606048,0.0619827
37.6667,0.604037,0.0358896
37.8667,0.601995,0.0238407
38.0667,0.598683,0.0183774
38.2667,0.597958,0.010085
38.4667,0.593399,0.00343699
38.6667,0.601761,0.0126335
38.8667,0.609002,0.0258047
