Time,Queue Density,Moving Density
0.266667,0.196571,0.0669524
0.466667,0.219429,0.0972381
0.666667,0.192952,0.0951429
0.866667,0.258,0.143714
1.06667,0.255143,0.106
1.26667,0.259333,0.123238
1.46667,0.231238,0.13
1.66667,0.235714,0.072381
1.86667,0.212571,0.080381
2.06667,0.259333,0.155905
2.26667,0.214095,0.022
2.46667,0.213143,0
2.66667,0.265143,0.044
2.86667,0.314571,0
3.06667,0.31219,0
3.26667,0.315619,0
3.46667,0.322,0
3.66667,0.321619,0.0290476
3.86667,0.321429,0
4.06667,0.358571,0.0217143
4.26667,0.355905,0.0398095
4.46667,0.330667,0.026
4.66667,0.32381,0.0240952
4.86667,0.328286,0.0178095
5.06667,0.304762,0.0377143
5.26667,0.333333,0.0419048
5.46667,0.312,0
5.66667,0.334286,0
5.86667,0.376286,0.0325714
6.06667,0.40781,0.072
6.26667,0.379143,0.0689524
6.46667,0.403238,0.0567619
6.66667,0.408571,0.0588571
6.86667,0.413619,0
7.06667,0.381333,0.0819048
7.26667,0.371238,0.022
7.46667,0.363714,0
7.66667,0.400571,0.047619
7.86667,0.405524,0.0518095
8.06667,0.44381,0.0639048
8.26667,0.477333,0.139143
8.46667,0.454667,0.0994286
8.66667,0.488762,0.120286
8.86667,0.474,0.0637143
9.06667,0.468286,0
9.26667,0.424,0
9.46667,0.42219,0
9.66667,0.436762,0
9.86667,0.387333,0
10.0667,0.373333,0
10.2667,0.373048,0.042
10.4667,0.372667,0
10.6667,0.369143,0
10.8667,0.367333,0
11.0667,0.36381,0
11.2667,0.384857,0.044
11.4667,0.381143,0
11.6667,0.377238,0
11.8667,0.397048,0
12.0667,0.374095,0
12.2667,0.399333,0
12.4667,0.370381,0
12.6667,0.370571,0
12.8667,0.37019,0
13.0667,0.386476,0
13.2667,0.38581,0
13.4667,0.385905,0
13.6667,0.363333,0
13.8667,0.38781,0
14.0667,0.387905,0
14.2667,0.39,0
14.4667,0.362952,0
14.6667,0.362571,0
14.8667,0.362952,0
15.0667,0.364381,0
15.2667,0.36619,0
15.4667,0.364095,0
15.6667,0.366952,0
15.8667,0.364286,0
16.0667,0.362,0
16.2667,0.364571,0
16.4667,0.363333,0
16.6667,0.38781,0
16.8667,0.388762,0
17.0667,0.388857,0
17.2667,0.364476,0
17.4667,0.389143,0
17.6667,0.39,0
17.8667,0.363238,0
18.0667,0.357238,0
18.2667,0.357429,0
18.4667,0.360571,0
18.6667,0.359905,0
18.8667,0.36,0.0335238
19.0667,0.400381,0.0213333
19.2667,0.406952,0.024
19.4667,0.402571,0.0428571
19.6667,0.429333,0.046381
19.8667,0.425143,0.0284762
20.0667,0.388,0
20.2667,0.387905,0
20.4667,0.387905,0
20.6667,0.387905,0
20.8667,0.41381,0
21.0667,0.416952,0
21.2667,0.396952,0
21.4667,0.370571,0
21.6667,0.370095,0
21.8667,0.370571,0
22.0667,0.371333,0
22.2667,0.37381,0
22.4667,0.373619,0
22.6667,0.353333,0
22.8667,0.371524,0
23.0667,0.343143,0
23.2667,0.367238,0.0302857
23.4667,0.345143,0
23.6667,0.345143,0
23.8667,0.346667,0
24.0667,0.346571,0
24.2667,0.344571,0
24.4667,0.344476,0
24.6667,0.42381,0
24.8667,0.387524,0
25.0667,0.417048,0
25.2667,0.416286,0
25.4667,0.416571,0
25.6667,0.397238,0
25.8667,0.395238,0
26.0667,0.407143,0.022
26.2667,0.405714,0.0261905
26.4667,0.391714,0
26.6667,0.414762,0.022
26.8667,0.390381,0
27.0667,0.392857,0
27.2667,0.407714,0.0226667
27.4667,0.417714,0
27.6667,0.456762,0.0281905
27.8667,0.449238,0.0178095
28.0667,0.466,0
28.2667,0.510286,0
28.4667,0.565238,0
28.6667,0.533429,0
28.8667,0.550667,0
29.0667,0.586286,0
29.2667,0.582095,0
29.4667,0.551524,0
29.6667,0.598571,0
29.8667,0.522476,0
30.0667,0.56019,0.0282857
30.2667,0.64581,0
30.4667,0.607143,0.0188571
30.6667,0.600857,0
30.8667,0.63381,0
31.0667,0.601333,0.022
31.2667,0.630476,0
31.4667,0.634952,0
31.6667,0.644286,0
31.8667,0.603714,0
32.0667,0.591429,0
32.2667,0.601143,0.0293333
32.4667,0.633905,0.0240952
32.6667,0.588381,0
32.8667,0.581333,0
33.0667,0.650762,0
33.2667,0.584,0
33.4667,0.591619,0
33.6667,0.630095,0
33.8667,0.674095,0.0519048
34.0667,0.68,0.0533333
34.2667,0.730286,0.0669524
34.4667,0.737619,0.05
34.6667,0.740571,0.075619
34.8667,0.700952,0
35.0667,0.705524,0.0846667
35.2667,0.748571,0.044
35.4667,0.706857,0.042
35.6667,0.74219,0.056
35.8667,0.735524,0
36.0667,0.698571,0
36.2667,0.710952,0.042
36.4667,0.718952,0
36.6667,0.719238,0.07
36.8667,0.716952,0
37.0667,0.707429,0
37.2667,0.714,0
37.4667,0.717714,0
