Time, Queue Output, Queue Baseline
0.266667,0.196571,0.113781
0.466667,0.219429,0.114066
0.666667,0.192952,0.125116
0.866667,0.258,0.138413
1.06667,0.255143,0.14173
1.26667,0.259333,0.14647
1.46667,0.231238,0.147399
1.66667,0.235714,0.150329
1.86667,0.212571,0.151543
2.06667,0.259333,0.16347
2.26667,0.214095,0.16779
2.46667,0.213143,0.174325
2.66667,0.265143,0.179936
2.86667,0.314571,0.183151
3.06667,0.31219,0.185375
3.26667,0.315619,0.187147
3.46667,0.322,0.189062
3.66667,0.321619,0.191587
3.86667,0.321429,0.196394
4.06667,0.358571,0.202016
4.26667,0.355905,0.201361
4.46667,0.330667,0.206039
4.66667,0.32381,0.20124
4.86667,0.328286,0.203807
5.06667,0.304762,0.202055
5.26667,0.333333,0.211065
5.46667,0.312,0.217553
5.66667,0.334286,0.221674
5.86667,0.376286,0.238178
6.06667,0.40781,0.252888
6.26667,0.379143,0.267649
6.46667,0.403238,0.269409
6.66667,0.408571,0.282468
6.86667,0.413619,0.28923
7.06667,0.381333,0.283779
7.26667,0.371238,0.277251
7.46667,0.363714,0.279405
7.66667,0.400571,0.289522
7.86667,0.405524,0.295305
8.06667,0.44381,0.306757
8.26667,0.477333,0.309152
8.46667,0.454667,0.307982
8.66667,0.488762,0.315259
8.86667,0.474,0.319933
9.06667,0.468286,0.322965
9.26667,0.424,0.332005
9.46667,0.42219,0.337308
9.66667,0.436762,0.337718
9.86667,0.387333,0.336204
10.0667,0.373333,0.333012
10.2667,0.373048,0.32737
10.4667,0.372667,0.322754
10.6667,0.369143,0.318314
10.8667,0.367333,0.314272
11.0667,0.36381,0.311021
11.2667,0.384857,0.309074
11.4667,0.381143,0.307299
11.6667,0.377238,0.303319
11.8667,0.397048,0.299187
12.0667,0.374095,0.299035
12.2667,0.399333,0.295527
12.4667,0.370381,0.293939
12.6667,0.370571,0.294778
12.8667,0.37019,0.294977
13.0667,0.386476,0.292921
13.2667,0.38581,0.292328
13.4667,0.385905,0.28985
13.6667,0.363333,0.28946
13.8667,0.38781,0.288629
14.0667,0.387905,0.287934
14.2667,0.39,0.289
14.4667,0.362952,0.28644
14.6667,0.362571,0.29248
14.8667,0.362952,0.291189
15.0667,0.364381,0.290947
15.2667,0.36619,0.290943
15.4667,0.364095,0.290771
15.6667,0.366952,0.293003
15.8667,0.364286,0.290974
16.0667,0.362,0.290077
16.2667,0.364571,0.291704
16.4667,0.363333,0.288883
16.6667,0.38781,0.287872
16.8667,0.388762,0.287817
17.0667,0.388857,0.293214
17.2667,0.364476,0.292983
17.4667,0.389143,0.294049
17.6667,0.39,0.29406
17.8667,0.363238,0.28985
18.0667,0.357238,0.290026
18.2667,0.357429,0.28779
