Time, Moving Output, Moving Baseline
0.266667,0.11413,0.0931558
0.466667,0.10763,0.0895584
0.666667,0.09323,0.0856019
0.866667,0.07719,0.0849308
1.06667,0.08604,0.0852195
1.26667,0.0737,0.0701039
1.46667,0.07708,0.0613599
1.66667,0.08004,0.0626007
1.86667,0.07874,0.0644463
2.06667,0.08897,0.0677082
2.26667,0.08969,0.0745793
2.46667,0.09557,0.0787776
2.66667,0.09839,0.0827302
2.86667,0.09718,0.0811929
3.06667,0.09609,0.0794292
3.26667,0.09259,0.0832023
3.46667,0.08773,0.0778607
3.66667,0.09855,0.0790547
3.86667,0.08945,0.0856136
4.06667,0.0895,0.0917239
4.26667,0.07334,0.0932261
4.46667,0.06535,0.0718675
4.66667,0.05935,0.0657261
4.86667,0.06552,0.0588277
5.06667,0.06694,0.0659173
5.26667,0.07054,0.0650823
5.46667,0.05921,0.0633069
5.66667,0.07375,0.0701663
5.86667,0.06863,0.0796516
6.06667,0.08318,0.0986145
6.26667,0.10365,0.113781
6.46667,0.12264,0.123957
6.66667,0.1082,0.109536
6.86667,0.12182,0.109582
7.06667,0.115,0.111319
7.26667,0.12826,0.112025
7.46667,0.12595,0.113777
7.66667,0.13073,0.114979
7.86667,0.13596,0.121155
8.06667,0.14017,0.133403
8.26667,0.14808,0.142401
8.46667,0.15661,0.1518
8.66667,0.17654,0.162191
8.86667,0.16561,0.16255
9.06667,0.16064,0.147504
9.26667,0.1402,0.143996
9.46667,0.13361,0.141308
9.66667,0.10363,0.12448
9.86667,0.10678,0.1097
10.0667,0.09923,0.0986886
10.2667,0.07771,0.083491
10.4667,0.08929,0.0908381
10.6667,0.08149,0.0778334
10.8667,0.08455,0.0850479
11.0667,0.06087,0.0725738
11.2667,0.06335,0.0644268
11.4667,0.07598,0.076101
11.6667,0.04857,0.0683403
11.8667,0.04181,0.0708413
12.0667,0.03033,0.0522687
12.2667,0.02678,0.0440632
12.4667,0.01198,0.0431151
12.6667,0.00821,0.0193374
12.8667,0.01251,0.0256271
13.0667,0.00576,0.0158492
13.2667,0.00441,0.0152327
13.4667,0.00503,0.0168246
13.6667,0,0.0102579
13.8667,0.01391,0.00893516
14.0667,0,0.00574737
14.2667,0,0.0140621
14.4667,0.00644,0.0102071
14.6667,0,0.00820942
14.8667,0.00819,0.0109563
15.0667,0,0.00701936
15.2667,0.00441,0.00728859
15.4667,0.01238,0.0130087
15.6667,0.01386,0.0200046
15.8667,0.0136,0.0232353
16.0667,0.02259,0.024558
16.2667,0.0134,0.0182449
16.4667,0.01188,0.0163837
16.6667,0.01316,0.0148581
16.8667,0.01139,0.00830306
17.0667,0.00968,0.00854107
17.2667,0.01291,0.00857229
17.4667,0.00636,0.00674234
17.6667,0,0.00557179
17.8667,0.00524,0.00797921
18.0667,0,0.00956725
18.2667,0,0.00830696
18.4667,0.01508,0.0137188
18.6667,0.0119,0.00909903
18.8667,0.01055,0.0194818
19.0667,0.02029,0.0287564
19.2667,0.03215,0.038308
19.4667,0.03976,0.0392718
19.6667,0.04245,0.0370399
19.8667,0.04901,0.0437393
20.0667,0.02781,0.0297006
20.2667,0.02383,0.0233797
20.4667,0.0219,0.0176986
20.6667,0.01908,0.022494
20.8667,0.02821,0.029845
21.0667,0.02124,0.0190018
21.2667,0.01193,0.0153927
21.4667,0.01567,0.013711
21.6667,0,0.0135354
21.8667,0,0.00592295
22.0667,0.00462,0.00749148
22.2667,0.00441,0.00508016
22.4667,0,0.006239
22.6667,0.00928,0.00759293
22.8667,0.01062,0.0135081
23.0667,0.00504,0.017527
23.2667,0.01401,0.0174918
23.4667,0.02214,0.0262436
23.6667,0.02166,0.0221974
23.8667,0.03181,0.0243824
24.0667,0.02926,0.023407
24.2667,0.02949,0.0217409
24.4667,0.02905,0.022572
24.6667,0.02919,0.0228763
24.8667,0.02887,0.0233407
25.0667,0.02944,0.0249911
25.2667,0.02968,0.0250262
25.4667,0.03058,0.0263958
25.6667,0.02866,0.0232821
25.8667,0.03282,0.0270279
26.0667,0.04225,0.0360216
26.2667,0.05251,0.0507821
26.4667,0.05649,0.04848
26.6667,0.05183,0.0519683
26.8667,0.05797,0.0520463
27.0667,0.05604,0.0506104
27.2667,0.0699,0.0627607
27.4667,0.08987,0.084884
27.6667,0.10294,0.091997
27.8667,0.10609,0.107491
28.0667,0.12295,0.114585
28.2667,0.14065,0.122759
28.4667,0.14761,0.135366
28.6667,0.14422,0.137508
28.8667,0.15273,0.147141
29.0667,0.15921,0.147773
29.2667,0.13439,0.151898
29.4667,0.13808,0.155788
29.6667,0.14475,0.164824
29.8667,0.13795,0.154485
30.0667,0.12192,0.155175
30.2667,0.12273,0.154317
30.4667,0.10964,0.153244
30.6667,0.09727,0.140407
30.8667,0.09111,0.1297
31.0667,0.07486,0.109118
31.2667,0.05878,0.0886765
31.4667,0.06391,0.0802837
31.6667,0.0386,0.0619998
31.8667,0.02467,0.0520385
32.0667,0.01329,0.0491941
32.2667,0.00833,0.0358577
32.4667,0.00819,0.0187365
32.6667,0,0.00422176
32.8667,0,0.00513869
33.0667,0,0.00565373
33.2667,0,0.00229037
33.4667,0,0
33.6667,0.00928,0.0066565
33.8667,0.0206,0.0169105
34.0667,0.03194,0.0291661
34.2667,0.04443,0.0391001
34.4667,0.05924,0.0514376
34.6667,0.06737,0.0611141
34.8667,0.0761,0.0678487
35.0667,0.08229,0.0721328
35.2667,0.07736,0.0728976
35.4667,0.07975,0.0824453
35.6667,0.09766,0.0829214
35.8667,0.10387,0.0949858
36.0667,0.10336,0.0906509
