Time,Queue Density,Moving Density
0.266667,0.111249,0.091915
0.466667,0.110675,0.0851142
0.666667,0.122439,0.0838695
0.866667,0.135233,0.0806427
1.06667,0.137293,0.0831165
1.26667,0.141172,0.067439
1.46667,0.142627,0.0588823
1.66667,0.147652,0.0610595
1.86667,0.145393,0.0626397
2.06667,0.160536,0.0647623
2.26667,0.162546,0.0703263
2.46667,0.169058,0.075902
2.66667,0.174727,0.0801472
2.86667,0.178387,0.0788128
3.06667,0.181001,0.078009
3.26667,0.181087,0.0815284
3.46667,0.184614,0.0735063
3.66667,0.185687,0.0760698
3.86667,0.188711,0.0805569
4.06667,0.196874,0.0871041
4.26667,0.196827,0.0904909
4.46667,0.199574,0.0713408
4.66667,0.195255,0.0626007
4.86667,0.199824,0.057583
5.06667,0.196179,0.0643995
5.26667,0.207108,0.0634864
5.46667,0.211334,0.0602167
5.66667,0.215236,0.0673609
5.86667,0.233879,0.0760737
6.06667,0.247453,0.0979473
6.26667,0.262077,0.110296
6.46667,0.261808,0.120617
6.66667,0.275156,0.106863
6.86667,0.279631,0.105357
7.06667,0.275593,0.107405
7.26667,0.271305,0.106765
7.46667,0.272429,0.112407
7.66667,0.284559,0.112513
7.86667,0.287942,0.118018
8.06667,0.297275,0.13027
8.26667,0.299203,0.135627
8.46667,0.299051,0.146029
8.66667,0.306316,0.15672
8.86667,0.310869,0.154488
9.06667,0.311591,0.142393
9.26667,0.323975,0.13766
9.46667,0.326344,0.135108
9.66667,0.327616,0.119282
9.86667,0.325841,0.105173
10.0667,0.328209,0.0925315
10.2667,0.320643,0.0790664
10.4667,0.314884,0.086991
10.6667,0.31236,0.0749578
10.8667,0.305184,0.0814153
11.0667,0.305418,0.0693079
11.2667,0.302367,0.0596861
11.4667,0.300397,0.0745754
11.6667,0.297962,0.0654295
11.8667,0.292055,0.0671619
12.0667,0.290322,0.0509928
12.2667,0.289819,0.0452571
12.4667,0.289152,0.0409027
12.6667,0.288945,0.0217487
12.8667,0.288598,0.0266065
13.0667,0.284567,0.0161184
13.2667,0.284111,0.0148659
13.4667,0.281633,0.0159584
13.6667,0.281773,0.00948921
13.8667,0.281606,0.00808456
14.0667,0.280353,0.00664869
14.2667,0.280693,0.0127667
14.4667,0.279436,0.00966089
14.6667,0.284836,0.00698035
14.8667,0.284887,0.00982867
15.0667,0.284536,0.00672283
15.2667,0.284267,0.00720665
15.4667,0.283951,0.0128721
15.6667,0.284953,0.0195169
15.8667,0.283159,0.0230168
16.0667,0.281485,0.0230285
16.2667,0.283518,0.0178469
16.4667,0.281305,0.0159779
16.6667,0.279951,0.0138319
16.8667,0.279417,0.00813528
17.0667,0.285605,0.00843963
17.2667,0.286026,0.00858399
17.4667,0.287209,0.00755781
17.6667,0.28619,0.00470559
17.8667,0.281891,0.00770218
18.0667,0.281773,0.00997304
18.2667,0.280135,0.00779583
18.4667,0.279538,0.0133403
18.6667,0.275456,0.00900539
18.8667,0.283709,0.0190252
19.0667,0.292031,0.0276092
19.2667,0.298664,0.0377618
19.4667,0.302387,0.0383431
19.6667,0.307061,0.0374613
19.8667,0.295797,0.0441568
20.0667,0.288161,0.0291583
20.2667,0.280224,0.023048
20.4667,0.278781,0.0175231
20.6667,0.280416,0.0232002
20.8667,0.28818,0.0286159
