Time, Queue Output, Queue Baseline
0.266667,0.112965,0.113781
0.466667,0.113317,0.114066
0.666667,0.123695,0.125116
0.866667,0.136567,0.138413
1.06667,0.138987,0.14173
1.26667,0.143665,0.14647
1.46667,0.142639,0.147399
1.66667,0.147524,0.150329
1.86667,0.14816,0.151543
2.06667,0.158699,0.16347
2.26667,0.16244,0.16779
2.46667,0.170767,0.174325
2.66667,0.1763,0.179936
2.86667,0.180233,0.183151
3.06667,0.181337,0.185375
3.26667,0.182968,0.187147
3.46667,0.185434,0.189062
3.66667,0.187045,0.191587
3.86667,0.191649,0.196394
4.06667,0.197557,0.202016
4.26667,0.196944,0.201361
4.46667,0.201689,0.206039
4.66667,0.19598,0.20124
4.86667,0.198438,0.203807
5.06667,0.195403,0.202055
5.26667,0.203932,0.211065
5.46667,0.211966,0.217553
5.66667,0.215154,0.221674
5.86667,0.23105,0.238178
6.06667,0.247406,0.252888
6.26667,0.262081,0.267649
6.46667,0.263353,0.269409
6.66667,0.275765,0.282468
6.86667,0.282015,0.28923
7.06667,0.277618,0.283779
7.26667,0.269783,0.277251
7.46667,0.27246,0.279405
7.66667,0.282308,0.289522
7.86667,0.287735,0.295305
8.06667,0.298645,0.306757
8.26667,0.300611,0.309152
8.46667,0.300366,0.307982
8.66667,0.308353,0.315259
8.86667,0.310471,0.319933
9.06667,0.318532,0.322965
9.26667,0.324619,0.332005
9.46667,0.330538,0.337308
9.66667,0.331483,0.337718
9.86667,0.331354,0.336204
10.0667,0.328026,0.333012
10.2667,0.321787,0.32737
10.4667,0.317775,0.322754
10.6667,0.313374,0.318314
10.8667,0.309422,0.314272
11.0667,0.305454,0.311021
11.2667,0.304014,0.309074
11.4667,0.300846,0.307299
11.6667,0.298013,0.303319
11.8667,0.293651,0.299187
12.0667,0.291247,0.299035
12.2667,0.288695,0.295527
12.4667,0.287895,0.293939
12.6667,0.28992,0.294778
12.8667,0.290194,0.294977
13.0667,0.287693,0.292921
13.2667,0.287072,0.292328
13.4667,0.284411,0.28985
13.6667,0.284122,0.28946
13.8667,0.283244,0.288629
14.0667,0.283408,0.287934
14.2667,0.28436,0.289
14.4667,0.281637,0.28644
14.6667,0.286452,0.29248
14.8667,0.285894,0.291189
15.0667,0.285589,0.290947
15.2667,0.285461,0.290943
15.4667,0.286081,0.290771
15.6667,0.288508,0.293003
15.8667,0.286491,0.290974
16.0667,0.285519,0.290077
16.2667,0.287119,0.291704
16.4667,0.283518,0.288883
16.6667,0.282866,0.287872
16.8667,0.283139,0.287817
17.0667,0.288754,0.293214
17.2667,0.287774,0.292983
17.4667,0.289413,0.294049
17.6667,0.289019,0.29406
17.8667,0.285008,0.28985
18.0667,0.284731,0.290026
18.2667,0.28285,0.28779
18.4667,0.281512,0.28644
18.6667,0.277243,0.282273
18.8667,0.285714,0.290673
19.0667,0.294064,0.299273
19.2667,0.300912,0.305426
19.4667,0.305606,0.310026
19.6667,0.310038,0.31472
19.8667,0.29957,0.303963
20.0667,0.291571,0.296085
20.2667,0.283537,0.287966
20.4667,0.281477,0.285687
20.6667,0.28221,0.28699
20.8667,0.290736,0.295083
21.0667,0.293807,0.298902
21.2667,0.291173,0.295738
21.4667,0.285164,0.289651
21.6667,0.283939,0.288968
21.8667,0.283845,0.288613
22.0667,0.285133,0.289503
22.2667,0.284317,0.289565
22.4667,0.283326,0.288539
22.6667,0.284275,0.289175
22.8667,0.285121,0.289745
23.0667,0.285172,0.289819
23.2667,0.292628,0.297022
23.4667,0.295008,0.299203
23.6667,0.295129,0.299499
23.8667,0.295215,0.299531
24.0667,0.29717,0.301205
24.2667,0.296698,0.300736
24.4667,0.298025,0.302141
24.6667,0.298528,0.302609
24.8667,0.297623,0.302539
25.0667,0.299574,0.304185
25.2667,0.295715,0.300576
25.4667,0.293947,0.298516
25.6667,0.293986,0.298746
25.8667,0.296593,0.301708
26.0667,0.30298,0.308017
26.2667,0.309211,0.314791
26.4667,0.316644,0.322668
26.6667,0.320366,0.326211
26.8667,0.31943,0.325782
27.0667,0.323281,0.329863
27.2667,0.331358,0.338373
27.4667,0.348151,0.354839
27.6667,0.363665,0.371328
27.8667,0.375308,0.383189
28.0667,0.386834,0.395991
28.2667,0.398851,0.407775
28.4667,0.41122,0.420378
28.6667,0.429172,0.436266
28.8667,0.444764,0.451631
29.0667,0.454573,0.461866
29.2667,0.460145,0.468331
29.4667,0.46718,0.474632
29.6667,0.465779,0.472994
29.8667,0.480782,0.490197
30.0667,0.483985,0.492366
30.2667,0.489405,0.497064
30.4667,0.490774,0.499253
30.6667,0.490029,0.498164
30.8667,0.495136,0.50351
31.0667,0.495761,0.504883
31.2667,0.493747,0.502655
31.4667,0.499752,0.508496
31.6667,0.504587,0.513299
31.8667,0.505726,0.512968
32.0667,0.506276,0.513108
32.2667,0.510798,0.517486
32.4667,0.507041,0.515758
32.6667,0.509452,0.517533
32.8667,0.508828,0.516159
33.0667,0.516331,0.522913
33.2667,0.518021,0.525005
33.4667,0.512773,0.520112
33.6667,0.52113,0.52799
33.8667,0.531611,0.537491
34.0667,0.541123,0.547432
34.2667,0.544389,0.55341
34.4667,0.557757,0.564409
34.6667,0.579501,0.589229
34.8667,0.584117,0.592701
35.0667,0.587652,0.596634
35.2667,0.589638,0.597313
35.4667,0.591613,0.599291
35.6667,0.588,0.596322
35.8667,0.590641,0.599268
36.0667,0.590282,0.599011
36.2667,0.590048,0.599697
36.4667,0.581784,0.589389
36.6667,0.583942,0.592284
36.8667,0.584761,0.593856
37.0667,0.578272,0.587524
37.2667,0.577632,0.586099
37.4667,0.575327,0.584504
37.6667,0.572693,0.58361
37.8667,0.572279,0.581526
38.0667,0.568935,0.577843
38.2667,0.566434,0.575389
38.4667,0.567484,0.576099
38.6667,0.571628,0.581952
38.8667,0.578647,0.587746
39.0667,0.585225,0.594481
39.2667,0.591203,0.599795
39.4667,0.595632,0.604024
39.6667,0.604551,0.613412
39.8667,0.60642,0.61722
40.0667,0.611005,0.619663
40.2667,0.616319,0.626444
40.4667,0.626132,0.635379
40.6667,0.634736,0.644252
40.8667,0.646698,0.656851
41.0667,0.652458,0.66181
41.2667,0.657713,0.667788
41.4667,0.66629,0.678592
41.6667,0.670788,0.681741
41.8667,0.674831,0.684995
42.0667,0.679283,0.689696
42.2667,0.683372,0.693021
42.4667,0.684,0.694125
42.6667,0.683454,0.693114
42.8667,0.682974,0.692908
43.0667,0.683376,0.692978
43.2667,0.686489,0.695596
43.4667,0.69061,0.699997
43.6667,0.692432,0.701702
43.8667,0.689517,0.698444
44.0667,0.68986,0.699888
44.2667,0.694562,0.703829
44.4667,0.698971,0.708105
44.6667,0.698846,0.709596
44.8667,0.703692,0.714157
45.0667,0.704281,0.714368
45.2667,0.703934,0.713911
45.4667,0.700707,0.711164
45.6667,0.699677,0.710969
45.8667,0.698331,0.709065
46.0667,0.69903,0.709018
46.2667,0.69869,0.708628
46.4667,0.695932,0.706045
46.6667,0.698288,0.70855
46.8667,0.698616,0.708952
47.0667,0.69736,0.707852
47.2667,0.695974,0.70658
47.4667,0.698702,0.709206
47.6667,0.701351,0.711383
47.8667,0.702502,0.712522
48.0667,0.703813,0.714317
48.2667,0.706037,0.715507
48.4667,0.703017,0.711999
48.6667,0.704036,0.713349
48.8667,0.706533,0.7158
49.0667,0.706896,0.715983
49.2667,0.709389,0.718449
49.4667,0.708191,0.716818
49.6667,0.704235,0.713771
49.8667,0.71006,0.719518
50.0667,0.704024,0.712959
