Time,Queue Density,Moving Density
1.06667,0.184599,0.184599
2.06667,0.16347,0.132876
3.06667,0.185375,0.147621
4.06667,0.202016,0.155281
5.06667,0.202055,0.143435
6.06667,0.252888,0.137995
7.06667,0.283779,0.202742
8.06667,0.306757,0.253587
9.06667,0.322965,0.267376
10.0667,0.333012,0.237105
11.0667,0.311021,0.16516
12.0667,0.299035,0.140177
13.0667,0.292921,0.0934172
14.0667,0.287934,0.0351397
15.0667,0.290947,0.0320378
16.0667,0.290077,0.0313589
17.0667,0.293214,0.0181981
18.0667,0.290026,0.0176557
19.0667,0.299273,0.0378008
20.0667,0.296085,0.0645672
21.0667,0.298902,0.0690543
22.0667,0.289503,0.046892
23.0667,0.289819,0.0289632
24.0667,0.301205,0.0409027
25.0667,0.304185,0.0432087
26.0667,0.308017,0.0542235
27.0667,0.329863,0.0861794
28.0667,0.395991,0.169136
29.0667,0.461866,0.258015
30.0667,0.492366,0.26571
31.0667,0.504883,0.237535
32.0667,0.513108,0.22883
33.0667,0.522913,0.183085
34.0667,0.547432,0.061914
35.0667,0.596634,0.108857
36.0667,0.599011,0.162991
37.0667,0.587524,0.183709
38.0667,0.577843,0.239326
39.0667,0.594481,0.0918487
40.0667,0.619663,0.0771233
41.0667,0.66181,0.103164
42.0667,0.689696,0.131573
43.0667,0.692978,0.130637
44.0667,0.699888,0.073319
45.0667,0.714368,0.101865
46.0667,0.709018,0.108545
47.0667,0.707852,0.0971084
48.0667,0.714317,0.10499
49.0667,0.715983,0.0680906
50.0667,0.712959,0.0182137
51.0667,0.712101,0.0112606
52.0667,0.716818,0.00250106
53.0667,0.704976,0.01526
54.0667,0.713954,0.0297084
55.0667,0.723408,0.0476997
56.0667,0.720474,0.0298957
57.0667,0.723385,0.0308087
58.0667,0.718242,0.0306761
59.0667,0.724934,0.038983
60.0667,0.720431,0.0317179
61.0667,0.714656,0.0213312
62.0667,0.712019,0.0327479
63.0667,0.724395,0.0249365
64.0667,0.725784,0.0221974
65.0667,0.730252,0.0274337
66.0667,0.726112,0.0314642
67.0667,0.722967,0.0215302
68.0667,0.720903,0.038905
69.0667,0.714262,0.0250575
70.0667,0.715242,0.0385187
71.0667,0.713478,0.0294236
72.0667,0.710446,0.0244449
73.0667,0.717337,0.0325372
74.0667,0.718933,0.0335829
75.0667,0.714567,0.0405086
76.0667,0.71418,0.0573099
77.0667,0.711508,0.0428614
78.0667,0.708058,0.0405125
79.0667,0.710899,0.0362362
80.0667,0.71116,0.0281633
81.0667,0.71898,0.0187326
82.0667,0.724103,0.0352958
83.0667,0.7277,0.0538489
84.0667,0.728243,0.0417455
85.0667,0.731036,0.0314447
86.0667,0.725285,0.024043
87.0667,0.728477,0.0484879
88.0667,0.720825,0.0374847
89.0667,0.725234,0.0193998
90.0667,0.724009,0.0555033
91.0667,0.733022,0.0726596
92.0667,0.733994,0.0736272
93.0667,0.732761,0.0637361
94.0667,0.72269,0.0631392
95.0667,0.735055,0.117757
96.0667,0.769972,0.297615
97.0667,0.816314,0.451288
98.0667,0.847537,0.595105
99.0667,0.865387,0.73639
100.067,0.855906,0.768014
101.067,0.825729,0.772278
102.067,0.776547,0.776547
103.067,0.770043,0.770043
104.067,0.78025,0.78025
105.067,0.814434,0.814434
106.067,0.858563,0.858563
107.067,0.898217,0.898217
108.067,0.885173,0.885173
