Time, Queue Output, Queue Baseline
0.266667,0,0.113781
0.466667,0.113418,0.114066
0.666667,0.113418,0.125116
0.733333,0.129813,0.138413
1.06667,0.14173,0.14173
1.26667,0.14173,0.14647
1.4,0.146345,0.147399
1.66667,0.146345,0.150329
1.73333,0.151,0.151543
2.06667,0.16347,0.16347
2.26667,0.16347,0.16779
2.4,0.176444,0.174325
2.66667,0.176444,0.179936
2.73333,0.180724,0.183151
3.06667,0.185375,0.185375
3.26667,0.185375,0.187147
3.4,0.188543,0.189062
3.66667,0.188543,0.191587
3.73333,0.193702,0.196394
4.06667,0.202016,0.202016
4.26667,0.202016,0.201361
4.4,0.205161,0.206039
4.66667,0.205161,0.20124
4.73333,0.201072,0.203807
5.06667,0.202055,0.202055
5.26667,0.202055,0.211065
5.4,0.216106,0.217553
5.66667,0.216106,0.221674
5.73333,0.229493,0.238178
6.06667,0.252888,0.252888
6.26667,0.252888,0.267649
6.4,0.267243,0.269409
6.66667,0.267243,0.282468
6.73333,0.285664,0.28923
7.06667,0.283779,0.283779
7.26667,0.283779,0.277251
7.4,0.277247,0.279405
7.66667,0.277247,0.289522
7.73333,0.289991,0.295305
8.06667,0.306757,0.306757
8.26667,0.306757,0.309152
8.4,0.309574,0.307982
8.66667,0.309574,0.315259
8.73333,0.317912,0.319933
9.06667,0.322965,0.322965
9.26667,0.322965,0.332005
9.4,0.334721,0.337308
9.66667,0.334721,0.337718
9.73333,0.33675,0.336204
10.0667,0.333012,0.333012
10.2667,0.333012,0.32737
10.4,0.325802,0.322754
10.6667,0.325802,0.318314
10.7333,0.318064,0.314272
11.0667,0.311021,0.311021
11.2667,0.311021,0.309074
11.4,0.307182,0.307299
11.6667,0.307182,0.303319
11.7333,0.29973,0.299187
12.0667,0.299035,0.299035
12.2667,0.299035,0.295527
12.4,0.295422,0.293939
12.6667,0.295422,0.294778
12.7333,0.293885,0.294977
13.0667,0.292921,0.292921
13.2667,0.292921,0.292328
13.4,0.290135,0.28985
13.6667,0.290135,0.28946
13.7333,0.289409,0.288629
14.0667,0.287934,0.287934
14.2667,0.287934,0.289
14.4,0.287404,0.28644
14.6667,0.287404,0.29248
14.7333,0.292324,0.291189
15.0667,0.290947,0.290947
15.2667,0.290947,0.290943
15.4,0.290908,0.290771
15.6667,0.290908,0.293003
15.7333,0.292898,0.290974
16.0667,0.290077,0.290077
16.2667,0.290077,0.291704
16.4,0.287263,0.288883
16.6667,0.287263,0.287872
16.7333,0.288442,0.287817
17.0667,0.293214,0.293214
17.2667,0.293214,0.292983
17.4,0.293822,0.294049
17.6667,0.293822,0.29406
17.7333,0.291992,0.28985
18.0667,0.290026,0.290026
18.2667,0.290026,0.28779
18.4,0.287575,0.28644
18.6667,0.287575,0.282273
18.7333,0.284594,0.290673
19.0667,0.299273,0.299273
19.2667,0.299273,0.305426
19.4,0.308875,0.310026
19.6667,0.308875,0.31472
19.7333,0.312582,0.303963
20.0667,0.296085,0.296085
20.2667,0.296085,0.287966
20.4,0.284911,0.285687
20.6667,0.284911,0.28699
20.7333,0.289764,0.295083
21.0667,0.298902,0.298902
21.2667,0.298902,0.295738
21.4,0.291676,0.289651
21.6667,0.291676,0.288968
21.7333,0.287318,0.288613
22.0667,0.289503,0.289503
22.2667,0.289503,0.289565
22.4,0.2893,0.288539
22.6667,0.2893,0.289175
22.7333,0.289121,0.289745
23.0667,0.289819,0.289819
23.2667,0.289819,0.297022
23.4,0.299609,0.299203
23.6667,0.299609,0.299499
23.7333,0.299425,0.299531
24.0667,0.301205,0.301205
24.2667,0.301205,0.300736
24.4,0.302118,0.302141
24.6667,0.302118,0.302609
24.7333,0.303288,0.302539
25.0667,0.304185,0.304185
25.2667,0.304185,0.300576
25.4,0.299964,0.298516
25.6667,0.299964,0.298746
25.7333,0.298212,0.301708
26.0667,0.308017,0.308017
26.2667,0.308017,0.314791
26.4,0.318712,0.322668
26.6667,0.318712,0.326211
26.7333,0.326765,0.325782
27.0667,0.329863,0.329863
27.2667,0.329863,0.338373
27.4,0.343871,0.354839
27.6667,0.343871,0.371328
27.7333,0.376818,0.383189
28.0667,0.395991,0.395991
28.2667,0.395991,0.407775
28.4,0.415699,0.420378
28.6667,0.415699,0.436266
28.7333,0.443523,0.451631
29.0667,0.461866,0.461866
29.2667,0.461866,0.468331
29.4,0.473778,0.474632
29.6667,0.473778,0.472994
29.7333,0.47999,0.490197
30.0667,0.492366,0.492366
30.2667,0.492366,0.497064
30.4,0.499526,0.499253
30.6667,0.499526,0.498164
30.7333,0.499027,0.50351
31.0667,0.504883,0.504883
31.2667,0.504883,0.502655
31.4,0.510154,0.508496
31.6667,0.510154,0.513299
31.7333,0.512605,0.512968
32.0667,0.513108,0.513108
32.2667,0.513108,0.517486
32.4,0.515765,0.515758
32.6667,0.515765,0.517533
32.7333,0.517065,0.516159
33.0667,0.522913,0.522913
33.2667,0.522913,0.525005
33.4,0.523378,0.520112
33.6667,0.523378,0.52799
33.7333,0.530436,0.537491
34.0667,0.547432,0.547432
34.2667,0.547432,0.55341
34.4,0.56261,0.564409
34.6667,0.56261,0.589229
34.7333,0.590969,0.592701
35.0667,0.596634,0.596634
35.2667,0.596634,0.597313
35.4,0.598858,0.599291
35.6667,0.598858,0.596322
35.7333,0.59704,0.599268
36.0667,0.599011,0.599011
36.2667,0.599011,0.599697
36.4,0.594785,0.589389
36.6667,0.594785,0.592284
36.7333,0.592783,0.593856
37.0667,0.587524,0.587524
37.2667,0.587524,0.586099
37.4,0.58407,0.584504
37.6667,0.58407,0.58361
37.7333,0.585101,0.581526
38.0667,0.577843,0.577843
38.2667,0.577843,0.575389
38.4,0.576852,0.576099
38.6667,0.576852,0.581952
38.7333,0.584585,0.587746
39.0667,0.594481,0.594481
39.2667,0.594481,0.599795
39.4,0.602058,0.604024
39.6667,0.602058,0.613412
39.7333,0.610197,0.61722
40.0667,0.619663,0.619663
40.2667,0.619663,0.626444
40.4,0.630713,0.635379
40.6667,0.630713,0.644252
40.7333,0.649574,0.656851
41.0667,0.66181,0.66181
41.2667,0.66181,0.667788
41.4,0.67725,0.678592
41.6667,0.67725,0.681741
41.7333,0.683536,0.684995
42.0667,0.689696,0.689696
42.2667,0.689696,0.693021
42.4,0.693161,0.694125
42.6667,0.693161,0.693114
42.7333,0.693134,0.692908
43.0667,0.692978,0.692978
43.2667,0.692978,0.695596
43.4,0.698659,0.699997
43.6667,0.698659,0.701702
43.7333,0.69983,0.698444
44.0667,0.699888,0.699888
44.2667,0.699888,0.703829
44.4,0.707192,0.708105
44.6667,0.707192,0.709596
44.7333,0.709401,0.714157
45.0667,0.714368,0.714368
45.2667,0.714368,0.713911
45.4,0.712588,0.711164
45.6667,0.712588,0.710969
45.7333,0.710224,0.709065
46.0667,0.709018,0.709018
46.2667,0.709018,0.708628
46.4,0.705729,0.706045
46.6667,0.705729,0.70855
46.7333,0.708968,0.708952
47.0667,0.707852,0.707852
47.2667,0.707852,0.70658
47.4,0.708492,0.709206
47.6667,0.708492,0.711383
47.7333,0.711629,0.712522
48.0667,0.714317,0.714317
48.2667,0.714317,0.715507
48.4,0.711781,0.711999
48.6667,0.711781,0.713349
48.7333,0.714805,0.7158
49.0667,0.715983,0.715983
49.2667,0.715983,0.718449
49.4,0.719249,0.716818
49.6667,0.719249,0.713771
49.7333,0.715936,0.719518
50.0667,0.712959,0.712959
50.2667,0.712959,0.715363
50.4,0.715733,0.712417
50.6667,0.715733,0.713736
50.7333,0.716326,0.716584
51.0667,0.712101,0.712101
51.2667,0.712101,0.710466
51.4,0.715593,0.714372
51.6667,0.715593,0.715047
51.7333,0.713338,0.71381
52.0667,0.716818,0.716818
52.2667,0.716818,0.718679
52.4,0.717805,0.716006
52.6667,0.717805,0.712467
52.7333,0.710364,0.708765
53.0667,0.704976,0.704976
53.2667,0.704976,0.706236
53.4,0.708593,0.710181
53.6667,0.708593,0.710813
53.7333,0.713045,0.711473
54.0667,0.713954,0.713954
54.2667,0.713954,0.713786
54.4,0.715601,0.717895
54.6667,0.715601,0.721524
54.7333,0.721789,0.722171
55.0667,0.723408,0.723408
55.2667,0.723408,0.724864
55.4,0.725702,0.725371
55.6667,0.725702,0.720107
55.7333,0.718777,0.718133
56.0667,0.720474,0.720474
56.2667,0.720474,0.721894
56.4,0.726264,0.72612
56.6667,0.726264,0.726623
56.7333,0.724629,0.724348
57.0667,0.723385,0.723385
57.2667,0.723385,0.720938
57.4,0.722682,0.721984
57.6667,0.722682,0.722706
57.7333,0.722636,0.72205
58.0667,0.718242,0.718242
58.2667,0.718242,0.717579
58.4,0.717509,0.717036
58.6667,0.717509,0.721555
58.7333,0.721641,0.723018
59.0667,0.724934,0.724934
59.2667,0.724934,0.724641
59.4,0.724778,0.725262
59.6667,0.724778,0.720747
59.7333,0.720938,0.720969
60.0667,0.720431,0.720431
60.2667,0.720431,0.720236
60.4,0.720349,0.720271
60.6667,0.720349,0.719596
60.7333,0.720852,0.716869
61.0667,0.714656,0.714656
61.2667,0.714656,0.710528
61.4,0.70873,0.708714
61.6667,0.70873,0.709892
61.7333,0.710173,0.714024
62.0667,0.712019,0.712019
62.2667,0.712019,0.715214
62.4,0.718582,0.720548
62.6667,0.718582,0.724228
62.7333,0.721617,0.721812
63.0667,0.724395,0.724395
63.2667,0.724395,0.726272
63.4,0.724957,0.724641
63.6667,0.724957,0.726963
63.7333,0.726869,0.727962
64.0667,0.725784,0.725784
64.2667,0.725784,0.728266
64.4,0.727958,0.727396
64.6667,0.727958,0.726682
64.7333,0.728125,0.730498
65.0667,0.730252,0.730252
65.2667,0.730252,0.727177
65.4,0.729433,0.729362
65.6667,0.729433,0.731965
65.7333,0.730767,0.730076
66.0667,0.726112,0.726112
66.2667,0.726112,0.725265
66.4,0.725929,0.726143
66.6667,0.725929,0.726494
66.7333,0.726397,0.72637
67.0667,0.722967,0.722967
67.2667,0.722967,0.724653
67.4,0.722581,0.724224
67.6667,0.722581,0.724618
67.7333,0.724477,0.723935
68.0667,0.720903,0.720903
68.2667,0.720903,0.722245
68.4,0.721211,0.720525
68.6667,0.721211,0.720673
68.7333,0.720197,0.714715
69.0667,0.714262,0.714262
69.2667,0.714262,0.714426
69.4,0.715948,0.716982
69.6667,0.715948,0.71784
69.7333,0.718074,0.717594
70.0667,0.715242,0.715242
70.2667,0.715242,0.714539
70.4,0.714344,0.714543
70.6667,0.714344,0.714013
70.7333,0.714645,0.7131
71.0667,0.713478,0.713478
71.2667,0.713478,0.712592
71.4,0.712495,0.714309
71.6667,0.712495,0.71436
71.7333,0.713806,0.714309
72.0667,0.710446,0.710446
72.2667,0.710446,0.71045
72.4,0.71125,0.711195
72.6667,0.71125,0.712557
72.7333,0.713408,0.715628
73.0667,0.717337,0.717337
73.2667,0.717337,0.718289
73.4,0.718316,0.718504
73.6667,0.718316,0.720213
73.7333,0.719038,0.719479
74.0667,0.718933,0.718933
74.2667,0.718933,0.716744
74.4,0.716092,0.715987
74.6667,0.716092,0.714953
74.7333,0.715905,0.715039
75.0667,0.714567,0.714567
75.2667,0.714567,0.718445
75.4,0.718149,0.715925
75.6667,0.718149,0.716014
75.7333,0.721988,0.719182
76.0667,0.71418,0.71418
76.2667,0.71418,0.715921
76.4,0.719034,0.716022
76.6667,0.719034,0.714715
76.7333,0.714399,0.712148
77.0667,0.711508,0.711508
77.2667,0.711508,0.712975
77.4,0.714953,0.713053
77.6667,0.714953,0.712717
77.7333,0.711352,0.707469
78.0667,0.708058,0.708058
78.2667,0.708058,0.704847
78.4,0.70823,0.706345
78.6667,0.70823,0.706603
78.7333,0.706833,0.706954
79.0667,0.710899,0.710899
79.2667,0.710899,0.711316
79.4,0.71212,0.711262
79.6667,0.71212,0.710641
79.7333,0.711714,0.710306
80.0667,0.71116,0.71116
80.2667,0.71116,0.711933
80.4,0.713111,0.713572
80.6667,0.713111,0.714695
80.7333,0.720681,0.718109
81.0667,0.71898,0.71898
81.2667,0.71898,0.719155
81.4,0.715593,0.715
81.6667,0.715593,0.718184
81.7333,0.717036,0.720529
82.0667,0.724103,0.724103
82.2667,0.724103,0.722909
82.4,0.721219,0.722105
82.6667,0.721219,0.724442
82.7333,0.725047,0.723876
83.0667,0.7277,0.7277
83.2667,0.7277,0.726947
83.4,0.726237,0.726459
83.6667,0.726237,0.726299
83.7333,0.726584,0.725757
84.0667,0.728243,0.728243
84.2667,0.728243,0.726491
84.4,0.725433,0.725613
84.6667,0.725433,0.729023
84.7333,0.728859,0.729565
85.0667,0.731036,0.731036
85.2667,0.731036,0.730771
85.4,0.728625,0.728129
85.6667,0.728625,0.727439
85.7333,0.725773,0.727142
86.0667,0.725285,0.725285
86.2667,0.725285,0.72873
86.4,0.727435,0.726612
86.6667,0.727435,0.727497
86.7333,0.728098,0.728289
87.0667,0.728477,0.728477
87.2667,0.728477,0.728164
87.4,0.727763,0.727333
87.6667,0.727763,0.724259
87.7333,0.723779,0.724508
88.0667,0.720825,0.720825
88.2667,0.720825,0.722105
88.4,0.719264,0.719729
88.6667,0.719264,0.719623
88.7333,0.717731,0.719772
89.0667,0.725234,0.725234
89.2667,0.725234,0.722706
89.4,0.720427,0.722628
89.6667,0.720427,0.723634
89.7333,0.721032,0.720774
90.0667,0.724009,0.724009
90.2667,0.724009,0.7258
90.4,0.727427,0.726569
90.6667,0.727427,0.72793
90.7333,0.730974,0.732854
91.0667,0.733022,0.733022
91.2667,0.733022,0.734864
91.4,0.734544,0.735375
91.6667,0.734544,0.736011
91.7333,0.737708,0.735231
92.0667,0.733994,0.733994
92.2667,0.733994,0.734482
92.4,0.739429,0.738383
92.6667,0.739429,0.740151
92.7333,0.739488,0.735695
93.0667,0.732761,0.732761
93.2667,0.732761,0.730338
93.4,0.72962,0.728555
93.6667,0.72962,0.728168
93.7333,0.725269,0.727294
94.0667,0.72269,0.72269
94.2667,0.72269,0.72349
94.4,0.725589,0.728851
94.6667,0.725589,0.727368
94.7333,0.729257,0.730845
95.0667,0.735055,0.735055
95.2667,0.735055,0.744049
95.4,0.74756,0.750736
95.6667,0.74756,0.755493
95.7333,0.760526,0.762512
96.0667,0.769972,0.769972
