Time, Moving Output, Moving Baseline
0.266667,0.0811616,0.0931558
0.466667,0.0681257,0.0895584
0.666667,0.0330015,0.0856019
0.866667,0.0435208,0.0849308
1.06667,0.0619686,0.0852195
1.26667,0.0687656,0.0701039
1.46667,0.0713837,0.0613599
1.66667,0.0591983,0.0626007
1.86667,0.0729522,0.0644463
2.06667,0.103769,0.0677082
2.26667,0.114015,0.0745793
2.46667,0.119134,0.0787776
2.66667,0.118592,0.0827302
2.86667,0.115841,0.0811929
3.06667,0.10101,0.0794292
3.26667,0.0994573,0.0832023
3.46667,0.0988135,0.0778607
3.66667,0.0964841,0.0790547
3.86667,0.0846772,0.0856136
4.06667,0.0453742,0.0917239
4.26667,0.0526745,0.0932261
4.46667,0.0656831,0.0718675
4.66667,0.0657261,0.0657261
4.86667,0.0701507,0.0588277
5.06667,0.0784772,0.0659173
5.26667,0.0773496,0.0650823
5.46667,0.0905104,0.0633069
5.66667,0.0889731,0.0701663
5.86667,0.0822932,0.0796516
6.06667,0.0672088,0.0986145
6.26667,0.0812319,0.113781
6.46667,0.106937,0.123957
6.66667,0.101794,0.109536
6.86667,0.109731,0.109582
7.06667,0.127585,0.111319
7.26667,0.123684,0.112025
7.46667,0.12119,0.113777
7.66667,0.122092,0.114979
7.86667,0.135627,0.121155
8.06667,0.152171,0.133403
8.26667,0.16514,0.142401
8.46667,0.162565,0.1518
8.66667,0.176893,0.162191
8.86667,0.175589,0.16255
9.06667,0.19012,0.147504
9.26667,0.129173,0.143996
9.46667,0.186655,0.141308
9.66667,0.183401,0.12448
9.86667,0.15484,0.1097
10.0667,0.151359,0.0986886
10.2667,0.115072,0.083491
10.4667,0.160259,0.0908381
10.6667,0.134039,0.0778334
10.8667,0.151488,0.0850479
11.0667,0.149467,0.0725738
11.2667,0.134168,0.0644268
11.4667,0.165347,0.076101
11.6667,0.116703,0.0683403
11.8667,0.14537,0.0708413
12.0667,0.109641,0.0522687
12.2667,0.100027,0.0440632
12.4667,0.0890394,0.0431151
12.6667,0.0583204,0.0193374
12.8667,0.0371921,0.0256271
13.0667,0.0699869,0.0158492
13.2667,0.0468257,0.0152327
13.4667,0.0279058,0.0168246
13.6667,0.0327479,0.0102579
13.8667,0.0184556,0.00893516
14.0667,0.0495218,0.00574737
14.2667,0.0370985,0.0140621
14.4667,0.0272347,0.0102071
14.6667,0.119895,0.00820942
14.8667,0.0346208,0.0109563
15.0667,0.0571655,0.00701936
15.2667,0.0435833,0.00728859
15.4667,0.0308516,0.0130087
15.6667,0.0448592,0.0200046
15.8667,0.020824,0.0232353
16.0667,0.023407,0.024558
16.2667,0.0142143,0.0182449
16.4667,0.0289281,0.0163837
16.6667,0.0227359,0.0148581
16.8667,0.0161418,0.00830306
17.0667,0.013629,0.00854107
17.2667,0.0123492,0.00857229
17.4667,0.0422098,0.00674234
17.6667,0.0371921,0.00557179
17.8667,0.0224159,0.00797921
18.0667,0.104537,0.00956725
18.2667,0.0238128,0.00830696
18.4667,0.0294392,0.0137188
18.6667,0.0179874,0.00909903
18.8667,0.0132076,0.0194818
19.0667,0.0196769,0.0287564
19.2667,0.00435052,0.038308
19.4667,0.0281087,0.0392718
19.6667,0.0012876,0.0370399
19.8667,0.0540206,0.0437393
20.0667,0.0224159,0.0297006
20.2667,0.0128175,0.0233797
20.4667,0.0109758,0.0176986
20.6667,0.0462989,0.022494
20.8667,0.012993,0.029845
21.0667,0.0499783,0.0190018
21.2667,0.0117132,0.0153927
21.4667,0.0898042,0.013711
21.6667,0.0664986,0.0135354
21.8667,0.0940493,0.00592295
22.0667,0.0648755,0.00749148
22.2667,0.0476685,0.00508016
22.4667,0.0288305,0.006239
22.6667,0.014745,0.00759293
22.8667,0.0313589,0.0135081
23.0667,0.0956842,0.017527
23.2667,0.0122361,0.0174918
23.4667,0.0236138,0.0262436
23.6667,0.0247141,0.0221974
23.8667,0.029088,0.0243824
24.0667,0.0310584,0.023407
24.2667,0.0312106,0.0217409
24.4667,0.0322407,0.022572
24.6667,0.0451323,0.0228763
24.8667,0.0327557,0.0233407
25.0667,0.0306527,0.0249911
25.2667,0.0301142,0.0250262
25.4667,0.0303015,0.0263958
25.6667,0.0293651,0.0232821
25.8667,0.0316242,0.0270279
26.0667,0.0346403,0.0360216
26.2667,0.0316866,0.0507821
26.4667,0.0324007,0.04848
26.6667,0.0416402,0.0519683
26.8667,0.0416246,0.0520463
27.0667,0.0451557,0.0506104
27.2667,0.0536148,0.0627607
27.4667,0.0767019,0.084884
27.6667,0.0764092,0.091997
27.8667,0.102544,0.107491
28.0667,0.135444,0.114585
28.2667,0.155491,0.122759
28.4667,0.172386,0.135366
28.6667,0.189023,0.137508
28.8667,0.203843,0.147141
29.0667,0.215536,0.147773
29.2667,0.218904,0.151898
29.4667,0.235225,0.155788
29.6667,0.260025,0.164824
29.8667,0.261527,0.154485
30.0667,0.266186,0.155175
30.2667,0.28404,0.154317
30.4667,0.28031,0.153244
30.6667,0.296881,0.140407
30.8667,0.301411,0.1297
31.0667,0.291267,0.109118
31.2667,0.293424,0.0886765
31.4667,0.326153,0.0802837
31.6667,0.310296,0.0619998
31.8667,0.312215,0.0520385
32.0667,0.273248,0.0491941
32.2667,0.286097,0.0358577
32.4667,0.268312,0.0187365
32.6667,0.276619,0.00422176
32.8667,0.267977,0.00513869
33.0667,0.15118,0.00565373
33.2667,0.28763,0.00229037
33.4667,0.186214,0
33.6667,0.0262748,0.0066565
33.8667,0.0196495,0.0169105
34.0667,0.0334893,0.0291661
34.2667,0.0424634,0.0391001
34.4667,0.0543913,0.0514376
34.6667,0.0775369,0.0611141
34.8667,0.0688904,0.0678487
35.0667,0.0735726,0.0721328
35.2667,0.0768775,0.0728976
35.4667,0.0805022,0.0824453
35.6667,0.0796282,0.0829214
35.8667,0.0871041,0.0949858
36.0667,0.0837447,0.0906509
36.2667,0.105907,0.0929139
36.4667,0.148039,0.0992544
36.6667,0.118428,0.0984662
36.8667,0.108162,0.0962383
37.0667,0.100417,0.0794917
37.2667,0.118744,0.0765926
37.4667,0.15134,0.0771974
37.6667,0.151106,0.0653554
37.8667,0.204994,0.0619569
38.0667,0.173018,0.0557257
38.2667,0.081981,0.0285691
38.4667,0.0460648,0.0148386
38.6667,0.0430955,0.0239103
38.8667,0.0077334,0.0276327
39.0667,0.0529164,0.0374808
39.2667,0.0466657,0.0323304
39.4667,0.0540674,0.0341955
39.6667,0.0665572,0.0470754
39.8667,0.0486166,0.0386787
40.0667,0.0551443,0.0412929
40.2667,0.065094,0.0452845
40.4667,0.0570211,0.039541
40.6667,0.0687929,0.0537007
40.8667,0.0904675,0.0623783
41.0667,0.0890511,0.0660343
41.2667,0.103133,0.0723553
41.4667,0.152506,0.0772676
41.6667,0.124515,0.0642161
41.8667,0.120605,0.059647
42.0667,0.119891,0.0569275
42.2667,0.117125,0.0592647
42.4667,0.124881,0.0561159
42.6667,0.0796594,0.0436886
42.8667,0.0773457,0.0394512
43.0667,0.162963,0.0363961
