Time, Moving Output, Moving Baseline
0.266667,0.153741,0.0931558
0.466667,0.136818,0.0895584
0.666667,0.0976573,0.0856019
0.866667,0.0912937,0.0849308
1.06667,0.0945105,0.0852195
1.26667,0.107413,0.0701039
1.46667,0.108392,0.0613599
1.66667,0.108706,0.0626007
1.86667,0.109126,0.0644463
2.06667,0.122867,0.0677082
2.26667,0.128846,0.0745793
2.46667,0.13507,0.0787776
2.66667,0.130769,0.0827302
2.86667,0.128671,0.0811929
3.06667,0.133322,0.0794292
3.26667,0.127657,0.0832023
3.46667,0.0933566,0.0778607
3.66667,0.0851748,0.0790547
3.86667,0.076958,0.0856136
4.06667,0.0775175,0.0917239
4.26667,0.0585315,0.0932261
4.46667,0.0699301,0.0718675
4.66667,0.059965,0.0657261
4.86667,0.0659091,0.0588277
5.06667,0.0754895,0.0659173
5.26667,0.0347552,0.0650823
5.46667,0.0344755,0.0633069
5.66667,0.00923077,0.0701663
5.86667,0.0448951,0.0796516
6.06667,0.0573776,0.0986145
6.26667,0.101224,0.113781
6.46667,0.0991608,0.123957
6.66667,0.107168,0.109536
6.86667,0.13,0.109582
7.06667,0.132343,0.111319
7.26667,0.116294,0.112025
7.46667,0.132867,0.113777
7.66667,0.14,0.114979
7.86667,0.151888,0.121155
8.06667,0.176783,0.133403
8.26667,0.189126,0.142401
8.46667,0.191364,0.1518
8.66667,0.190734,0.162191
8.86667,0.188951,0.16255
9.06667,0.162937,0.147504
9.26667,0.113811,0.143996
9.46667,0.122308,0.141308
9.66667,0.111958,0.12448
9.86667,0.113951,0.1097
10.0667,0.110699,0.0986886
10.2667,0.0857692,0.083491
10.4667,0.0781119,0.0908381
10.6667,0.0700699,0.0778334
10.8667,0.0715734,0.0850479
11.0667,0.0705594,0.0725738
11.2667,0.0635315,0.0644268
11.4667,0.0497203,0.076101
11.6667,0.0385664,0.0683403
11.8667,0.0161538,0.0708413
12.0667,0,0.0522687
12.2667,0,0.0440632
12.4667,0,0.0431151
12.6667,0,0.0193374
12.8667,0,0.0256271
13.0667,0,0.0158492
13.2667,0,0.0152327
13.4667,0,0.0168246
13.6667,0,0.0102579
13.8667,0,0.00893516
14.0667,0,0.00574737
14.2667,0,0.0140621
14.4667,0,0.0102071
14.6667,0,0.00820942
14.8667,0,0.0109563
15.0667,0,0.00701936
15.2667,0,0.00728859
15.4667,0,0.0130087
15.6667,0,0.0200046
15.8667,0,0.0232353
16.0667,0,0.024558
16.2667,0,0.0182449
16.4667,0,0.0163837
16.6667,0,0.0148581
16.8667,0,0.00830306
17.0667,0,0.00854107
17.2667,0.0154196,0.00857229
17.4667,0,0.00674234
17.6667,0,0.00557179
17.8667,0,0.00797921
18.0667,0,0.00956725
18.2667,0,0.00830696
18.4667,0.0168531,0.0137188
18.6667,0.0161538,0.00909903
18.8667,0.0167483,0.0194818
19.0667,0.0238462,0.0287564
19.2667,0.0307343,0.038308
19.4667,0.0362937,0.0392718
19.6667,0.043042,0.0370399
19.8667,0.0422378,0.0437393
20.0667,0.0318881,0.0297006
20.2667,0.0281469,0.0233797
20.4667,0.0270629,0.0176986
20.6667,0.0223077,0.022494
20.8667,0.0266434,0.029845
21.0667,0,0.0190018
21.2667,0.00874126,0.0153927
21.4667,0.00923077,0.013711
21.6667,0,0.0135354
21.8667,0,0.00592295
22.0667,0,0.00749148
22.2667,0,0.00508016
22.4667,0,0.006239
22.6667,0,0.00759293
22.8667,0,0.0135081
23.0667,0,0.017527
23.2667,0.0155245,0.0174918
23.4667,0.0240559,0.0262436
23.6667,0.0308392,0.0221974
23.8667,0.0322727,0.0243824
24.0667,0.031958,0.023407
24.2667,0.018951,0.0217409
24.4667,0.0294406,0.022572
24.6667,0.0237413,0.0228763
24.8667,0.0173776,0.0233407
25.0667,0.0164336,0.0249911
25.2667,0.0158392,0.0250262
25.4667,0.0158392,0.0263958
25.6667,0.0158042,0.0232821
25.8667,0.0253846,0.0270279
26.0667,0.0209091,0.0360216
26.2667,0.0433916,0.0507821
26.4667,0.0523077,0.04848
26.6667,0.0646853,0.0519683
26.8667,0.0663287,0.0520463
27.0667,0.0734965,0.0506104
27.2667,0.0920629,0.0627607
27.4667,0.111259,0.084884
27.6667,0.123671,0.091997
27.8667,0.140175,0.107491
28.0667,0.158846,0.114585
28.2667,0.156643,0.122759
28.4667,0.153636,0.135366
28.6667,0.14972,0.137508
28.8667,0.127762,0.147141
29.0667,0.125839,0.147773
29.2667,0.0887063,0.151898
29.4667,0.0706294,0.155788
29.6667,0.0820979,0.164824
29.8667,0.0947552,0.154485
30.0667,0.0840559,0.155175
30.2667,0.0587413,0.154317
30.4667,0.0809441,0.153244
30.6667,0.0215035,0.140407
30.8667,0.0529371,0.1297
31.0667,0.0201399,0.109118
31.2667,0,0.0886765
31.4667,0,0.0802837
31.6667,0.0107692,0.0619998
31.8667,0.01,0.0520385
32.0667,0,0.0491941
32.2667,0.00846154,0.0358577
32.4667,0,0.0187365
32.6667,0,0.00422176
32.8667,0,0.00513869
33.0667,0,0.00565373
33.2667,0,0.00229037
33.4667,0,0
33.6667,0.0174476,0.0066565
33.8667,0.0306993,0.0169105
34.0667,0.0439161,0.0291661
34.2667,0.0575874,0.0391001
