Time, Queue Output, Queue Baseline
0.266667,0.117536,0.113781
0.466667,0.118533,0.114066
0.666667,0.130068,0.125116
0.866667,0.145491,0.138413
1.06667,0.153854,0.14173
1.26667,0.155218,0.14647
1.46667,0.15825,0.147399
1.66667,0.16033,0.150329
1.86667,0.16397,0.151543
2.06667,0.174468,0.16347
2.26667,0.180469,0.16779
2.46667,0.18679,0.174325
2.66667,0.18905,0.179936
2.86667,0.193562,0.183151
3.06667,0.195254,0.185375
3.26667,0.194856,0.187147
3.46667,0.198332,0.189062
3.66667,0.198356,0.191587
3.86667,0.206087,0.196394
4.06667,0.213756,0.202016
4.26667,0.213452,0.201361
4.46667,0.217957,0.206039
4.66667,0.214917,0.20124
4.86667,0.21653,0.203807
5.06667,0.210342,0.202055
5.26667,0.222703,0.211065
5.46667,0.224449,0.217553
5.66667,0.231977,0.221674
5.86667,0.253698,0.238178
6.06667,0.271195,0.252888
6.26667,0.286603,0.267649
6.46667,0.287218,0.269409
6.66667,0.294919,0.282468
6.86667,0.30565,0.28923
7.06667,0.305837,0.283779
7.26667,0.296875,0.277251
7.46667,0.301114,0.279405
7.66667,0.308612,0.289522
7.86667,0.315244,0.295305
8.06667,0.324004,0.306757
8.26667,0.330785,0.309152
8.46667,0.326491,0.307982
8.66667,0.333746,0.315259
8.86667,0.345554,0.319933
9.06667,0.345593,0.322965
9.26667,0.35341,0.332005
9.46667,0.358304,0.337308
9.66667,0.359208,0.337718
9.86667,0.35634,0.336204
10.0667,0.35542,0.333012
10.2667,0.34931,0.32737
10.4667,0.344673,0.322754
10.6667,0.333505,0.318314
10.8667,0.332133,0.314272
11.0667,0.324877,0.311021
11.2667,0.323139,0.309074
11.4667,0.320715,0.307299
11.6667,0.322157,0.303319
11.8667,0.316803,0.299187
12.0667,0.316842,0.299035
12.2667,0.31247,0.295527
12.4667,0.310646,0.293939
12.6667,0.309602,0.294778
12.8667,0.309617,0.294977
13.0667,0.304357,0.292921
13.2667,0.304918,0.292328
13.4667,0.304279,0.28985
13.6667,0.303523,0.28946
13.8667,0.303944,0.288629
14.0667,0.304435,0.287934
14.2667,0.304341,0.289
14.4667,0.300187,0.28644
14.6667,0.306827,0.29248
14.8667,0.308441,0.291189
15.0667,0.308238,0.290947
15.2667,0.308635,0.290943
15.4667,0.308518,0.290771
15.6667,0.309797,0.293003
15.8667,0.308815,0.290974
16.0667,0.3053,0.290077
16.2667,0.305339,0.291704
16.4667,0.300764,0.288883
16.6667,0.304333,0.287872
16.8667,0.303242,0.287817
17.0667,0.306344,0.293214
17.2667,0.306289,0.292983
17.4667,0.307147,0.294049
17.6667,0.306835,0.29406
17.8667,0.30445,0.28985
18.0667,0.306718,0.290026
18.2667,0.306258,0.28779
18.4667,0.303881,0.28644
18.6667,0.2988,0.282273
18.8667,0.308518,0.290673
19.0667,0.317278,0.299273
19.2667,0.322142,0.305426
19.4667,0.330255,0.310026
19.6667,0.330855,0.31472
19.8667,0.323061,0.303963
20.0667,0.310747,0.296085
20.2667,0.305058,0.287966
20.4667,0.303725,0.285687
20.6667,0.303086,0.28699
20.8667,0.306297,0.295083
21.0667,0.308511,0.298902
21.2667,0.305159,0.295738
21.4667,0.302525,0.289651
21.6667,0.298698,0.288968
21.8667,0.302361,0.288613
22.0667,0.304637,0.289503
22.2667,0.304481,0.289565
22.4667,0.304162,0.288539
22.6667,0.304551,0.289175
22.8667,0.304232,0.289745
23.0667,0.30399,0.289819
23.2667,0.309711,0.297022
23.4667,0.313491,0.299203
23.6667,0.313366,0.299499
23.8667,0.318525,0.299531
24.0667,0.319858,0.301205
24.2667,0.320895,0.300736
24.4667,0.318744,0.302141
24.6667,0.315073,0.302609
24.8667,0.313631,0.302539
25.0667,0.310381,0.304185
25.2667,0.308503,0.300576
25.4667,0.309929,0.298516
25.6667,0.309165,0.298746
25.8667,0.312688,0.301708
26.0667,0.316608,0.308017
26.2667,0.320178,0.314791
26.4667,0.325493,0.322668
26.6667,0.335196,0.326211
26.8667,0.338859,0.325782
27.0667,0.344081,0.329863
27.2667,0.349895,0.338373
27.4667,0.368755,0.354839
27.6667,0.382464,0.371328
27.8667,0.393921,0.383189
28.0667,0.406391,0.395991
28.2667,0.418214,0.407775
28.4667,0.43172,0.420378
28.6667,0.451344,0.436266
28.8667,0.461687,0.451631
29.0667,0.47287,0.461866
29.2667,0.4811,0.468331
29.4667,0.486455,0.474632
29.6667,0.498091,0.472994
29.8667,0.509555,0.490197
30.0667,0.507061,0.492366
30.2667,0.514785,0.497064
30.4667,0.51533,0.499253
30.6667,0.5124,0.498164
30.8667,0.512579,0.50351
31.0667,0.520934,0.504883
31.2667,0.527473,0.502655
31.4667,0.52522,0.508496
31.6667,0.528914,0.513299
31.8667,0.532344,0.512968
32.0667,0.534386,0.513108
32.2667,0.534962,0.517486
32.4667,0.534526,0.515758
32.6667,0.536287,0.517533
32.8667,0.5337,0.516159
33.0667,0.538158,0.522913
33.2667,0.539654,0.525005
33.4667,0.532897,0.520112
33.6667,0.543309,0.52799
33.8667,0.55196,0.537491
