Time,Queue Density,Moving Density
0.266667,0.218823,0.121018
0.466667,0.240773,0.0951826
0.666667,0.250971,0.10237
0.866667,0.281566,0.108974
1.06667,0.267774,0.137044
1.26667,0.272727,0.142483
1.46667,0.271465,0.166958
1.66667,0.305458,0.166472
1.86667,0.306333,0.159285
2.06667,0.335761,0.179779
2.26667,0.315462,0.154332
2.46667,0.344308,0.175602
2.66667,0.292541,0.048951
2.86667,0.295843,0.111305
3.06667,0.296329,0.0277778
3.26667,0.318765,0.0309829
3.46667,0.319153,0.0321484
3.66667,0.326437,0.0323427
3.86667,0.324981,0.0321484
4.06667,0.319833,0.0224359
4.26667,0.342657,0.0128205
4.46667,0.320027,0.0345765
4.66667,0.34188,0.048951
4.86667,0.320221,0.0510878
5.06667,0.317793,0.0813908
5.26667,0.318085,0
5.46667,0.316919,0
5.66667,0.315268,0
5.86667,0.336247,0.0491453
6.06667,0.364608,0.0681818
6.26667,0.378205,0.112082
6.46667,0.386655,0.13141
6.66667,0.432887,0.145008
6.86667,0.39695,0.134421
7.06667,0.404915,0.111402
7.26667,0.389472,0.134227
7.46667,0.38277,0.0917832
7.66667,0.4223,0.170746
7.86667,0.418318,0.131993
8.06667,0.465812,0.157925
8.26667,0.465812,0.169969
8.46667,0.456294,0.184538
8.66667,0.475913,0.143162
8.86667,0.431915,0.0533217
9.06667,0.466492,0.0532246
9.26667,0.471542,0.0511849
9.46667,0.477467,0.0510878
9.66667,0.464452,0.0507964
9.86667,0.452409,0.048951
10.0667,0.451146,0.048951
10.2667,0.445513,0.0469114
10.4667,0.44289,0
10.6667,0.438423,0
10.8667,0.434052,0
11.0667,0.424437,0
11.2667,0.425602,0
11.4667,0.424922,0
11.6667,0.421134,0
11.8667,0.415307,0
12.0667,0.414724,0
12.2667,0.414627,0
12.4667,0.411033,0
12.6667,0.412199,0
12.8667,0.408994,0
13.0667,0.39899,0
13.2667,0.41589,0
13.4667,0.408508,0
13.6667,0.415793,0
13.8667,0.392871,0
14.0667,0.408605,0
14.2667,0.408605,0
14.4667,0.408508,0
14.6667,0.383936,0
14.8667,0.407343,0
15.0667,0.407148,0
15.2667,0.407246,0
15.4667,0.407246,0
15.6667,0.408508,0
15.8667,0.40812,0
16.0667,0.406469,0
16.2667,0.406469,0
16.4667,0.40744,0
16.6667,0.407828,0
16.8667,0.408508,0
17.0667,0.408411,0
17.2667,0.408217,0
17.4667,0.405594,0
17.6667,0.405692,0
17.8667,0.405692,0
18.0667,0.418026,0
18.2667,0.419192,0
18.4667,0.418706,0
18.6667,0.409674,0
18.8667,0.432887,0.0266123
19.0667,0.433761,0.0285548
19.2667,0.436772,0.0394328
19.4667,0.443765,0.0305944
19.6667,0.448135,0.0477855
19.8667,0.444347,0.0512821
20.0667,0.441142,0.0457459
20.2667,0.428613,0.0467172
20.4667,0.404235,0.0288462
20.6667,0.420455,0.0173854
20.8667,0.424242,0
21.0667,0.42871,0
21.2667,0.408702,0.0150544
21.4667,0.409771,0
21.6667,0.408605,0
21.8667,0.414918,0
22.0667,0.409674,0
22.2667,0.40676,0
22.4667,0.40676,0
22.6667,0.40676,0
22.8667,0.40608,0
23.0667,0.408314,0
23.2667,0.384713,0.0192308
23.4667,0.406663,0.0192308
23.6667,0.406663,0
23.8667,0.386752,0
24.0667,0.407731,0
24.2667,0.40676,0
24.4667,0.407731,0
24.6667,0.407537,0
24.8667,0.406177,0
25.0667,0.412199,0
25.2667,0.406274,0
25.4667,0.412102,0
25.6667,0.410645,0
25.8667,0.410839,0
26.0667,0.410936,0.0346737
26.2667,0.410354,0.0554584
