Time,Queue Density,Moving Density
0.266667,0.156133,0.0944267
0.466667,0.163333,0.0750667
0.666667,0.17104,0.0751733
0.866667,0.188053,0.0599467
1.06667,0.198133,0.07568
1.26667,0.189173,0.08704
1.46667,0.19992,0.0904267
1.66667,0.208827,0.0893867
1.86667,0.210987,0.0921067
2.06667,0.226347,0.106853
2.26667,0.236453,0.1148
2.46667,0.245227,0.1108
2.66667,0.24808,0.10496
2.86667,0.25248,0.0974667
3.06667,0.25688,0.0624
3.26667,0.256587,0.0509067
3.46667,0.259627,0.0489333
3.66667,0.2616,0.0282133
3.86667,0.26864,0.03952
4.06667,0.273867,0.04616
4.26667,0.27128,0.04824
4.46667,0.26928,0.04648
4.66667,0.27104,0.0487467
4.86667,0.26304,0.05344
5.06667,0.26608,0.04384
5.26667,0.28,0.0535467
5.46667,0.281707,0.0497867
5.66667,0.28592,0.0397067
5.86667,0.301787,0.0690933
6.06667,0.33336,0.0826933
6.26667,0.352267,0.111707
6.46667,0.356267,0.13208
6.66667,0.36712,0.117387
6.86667,0.368853,0.127947
7.06667,0.37704,0.110827
7.26667,0.37424,0.129787
7.46667,0.363653,0.132373
7.66667,0.389467,0.150347
7.86667,0.382,0.123627
8.06667,0.38808,0.124187
8.26667,0.3924,0.14664
8.46667,0.392347,0.144853
8.66667,0.402693,0.11288
8.86667,0.414667,0.114533
9.06667,0.408027,0.05912
9.26667,0.402933,0.0745067
9.46667,0.415467,0.0500533
9.66667,0.405973,0.0407733
9.86667,0.402213,0.0485333
10.0667,0.391733,0.0433867
10.2667,0.398587,0.04072
10.4667,0.37048,0.0265867
10.6667,0.372773,0.01512
10.8667,0.374533,0
11.0667,0.38952,0.0264533
11.2667,0.387093,0
11.4667,0.374587,0
11.6667,0.38024,0
11.8667,0.369093,0
12.0667,0.356133,0
12.2667,0.36328,0.01176
12.4667,0.360373,0
12.6667,0.367227,0
12.8667,0.363813,0.01288
13.0667,0.354427,0
13.2667,0.3524,0
13.4667,0.362373,0
13.6667,0.36272,0
13.8667,0.361147,0
14.0667,0.3636,0
14.2667,0.362613,0
14.4667,0.361573,0
14.6667,0.360133,0
14.8667,0.365787,0
15.0667,0.358853,0
15.2667,0.361813,0
15.4667,0.361253,0
15.6667,0.360587,0
15.8667,0.35888,0
16.0667,0.35728,0.01176
16.2667,0.34896,0.01176
16.4667,0.3552,0.01176
16.6667,0.35392,0.0129067
16.8667,0.353227,0
17.0667,0.35344,0
17.2667,0.352667,0
17.4667,0.352613,0.01176
17.6667,0.35216,0
17.8667,0.361867,0
18.0667,0.36352,0
18.2667,0.357547,0
18.4667,0.3576,0
18.6667,0.356613,0.0134133
18.8667,0.3788,0.0188267
19.0667,0.386427,0.02912
19.2667,0.387493,0.0349333
19.4667,0.381067,0.0365333
19.6667,0.394107,0.0413867
19.8667,0.39336,0.0441333
20.0667,0.379333,0.0333867
20.2667,0.369493,0.02856
20.4667,0.365227,0.0256267
20.6667,0.36232,0.0201867
20.8667,0.3684,0.0262133
21.0667,0.364053,0
21.2667,0.35608,0.00786667
21.4667,0.35016,0.00672
21.6667,0.350667,0
21.8667,0.350213,0
22.0667,0.34952,0
22.2667,0.351707,0
22.4667,0.351253,0
22.6667,0.35208,0
22.8667,0.35136,0.01176
23.0667,0.3528,0
23.2667,0.362453,0.01392
23.4667,0.36576,0.0211467
23.6667,0.370133,0.0244
23.8667,0.371013,0.02936
