Time, Queue Output, Queue Baseline
0.266667,0.110719,0.113781
0.466667,0.111394,0.114066
0.666667,0.121331,0.125116
0.866667,0.134578,0.138413
1.06667,0.138619,0.14173
1.26667,0.142006,0.14647
1.46667,0.142378,0.147399
1.66667,0.147006,0.150329
1.86667,0.148478,0.151543
2.06667,0.15705,0.16347
2.26667,0.161637,0.16779
2.46667,0.170925,0.174325
2.66667,0.174084,0.179936
2.86667,0.175856,0.183151
3.06667,0.1804,0.185375
3.26667,0.181272,0.187147
3.46667,0.184291,0.189062
3.66667,0.186125,0.191587
3.86667,0.192544,0.196394
4.06667,0.198934,0.202016
4.26667,0.196663,0.201361
4.46667,0.199194,0.206039
4.66667,0.193531,0.20124
4.86667,0.197153,0.203807
5.06667,0.197709,0.202055
5.26667,0.205919,0.211065
5.46667,0.211597,0.217553
5.66667,0.219422,0.221674
5.86667,0.233012,0.238178
6.06667,0.247456,0.252888
6.26667,0.259816,0.267649
6.46667,0.260978,0.269409
6.66667,0.273866,0.282468
6.86667,0.277703,0.28923
7.06667,0.273806,0.283779
7.26667,0.267184,0.277251
7.46667,0.271684,0.279405
7.66667,0.279931,0.289522
7.86667,0.287012,0.295305
8.06667,0.294147,0.306757
8.26667,0.298353,0.309152
8.46667,0.300072,0.307982
8.66667,0.3088,0.315259
8.86667,0.313353,0.319933
9.06667,0.317703,0.322965
9.26667,0.323063,0.332005
9.46667,0.328147,0.337308
9.66667,0.328228,0.337718
9.86667,0.329972,0.336204
10.0667,0.325128,0.333012
10.2667,0.319081,0.32737
10.4667,0.312953,0.322754
10.6667,0.310494,0.318314
10.8667,0.304681,0.314272
11.0667,0.303222,0.311021
11.2667,0.301206,0.309074
11.4667,0.298072,0.307299
11.6667,0.293306,0.303319
11.8667,0.291341,0.299187
12.0667,0.291906,0.299035
12.2667,0.290434,0.295527
12.4667,0.290044,0.293939
12.6667,0.288216,0.294778
12.8667,0.287491,0.294977
13.0667,0.28825,0.292921
13.2667,0.2874,0.292328
13.4667,0.285262,0.28985
13.6667,0.285128,0.28946
13.8667,0.284238,0.288629
14.0667,0.28325,0.287934
14.2667,0.283075,0.289
14.4667,0.280991,0.28644
14.6667,0.286597,0.29248
14.8667,0.286862,0.291189
15.0667,0.285491,0.290947
15.2667,0.284491,0.290943
15.4667,0.282909,0.290771
15.6667,0.285597,0.293003
15.8667,0.284375,0.290974
16.0667,0.280822,0.290077
16.2667,0.2839,0.291704
16.4667,0.287759,0.288883
16.6667,0.283372,0.287872
16.8667,0.283866,0.287817
17.0667,0.286306,0.293214
17.2667,0.286616,0.292983
17.4667,0.288956,0.294049
17.6667,0.288975,0.29406
17.8667,0.285791,0.28985
18.0667,0.283431,0.290026
18.2667,0.283291,0.28779
18.4667,0.280919,0.28644
18.6667,0.27625,0.282273
18.8667,0.285047,0.290673
19.0667,0.292784,0.299273
19.2667,0.300569,0.305426
19.4667,0.305541,0.310026
19.6667,0.306094,0.31472
19.8667,0.299009,0.303963
20.0667,0.289044,0.296085
20.2667,0.282341,0.287966
20.4667,0.280869,0.285687
20.6667,0.281538,0.28699
20.8667,0.287962,0.295083
21.0667,0.290619,0.298902
21.2667,0.288169,0.295738
21.4667,0.284981,0.289651
21.6667,0.283491,0.288968
21.8667,0.283703,0.288613
22.0667,0.283769,0.289503
22.2667,0.283284,0.289565
22.4667,0.282519,0.288539
22.6667,0.282541,0.289175
22.8667,0.282737,0.289745
23.0667,0.283863,0.289819
23.2667,0.290328,0.297022
23.4667,0.292391,0.299203
23.6667,0.293122,0.299499
23.8667,0.294609,0.299531
24.0667,0.295331,0.301205
24.2667,0.295906,0.300736
24.4667,0.295534,0.302141
24.6667,0.29605,0.302609
24.8667,0.296809,0.302539
25.0667,0.295231,0.304185
25.2667,0.292441,0.300576
25.4667,0.292431,0.298516
