Time,Queue Density,Moving Density
0.266667,0.110691,0.0902529
0.466667,0.111974,0.0869676
0.666667,0.122064,0.0855668
0.866667,0.134862,0.0825312
1.06667,0.135057,0.0823985
1.26667,0.141948,0.0674117
1.46667,0.142494,0.0619569
1.66667,0.146068,0.0600177
1.86667,0.144703,0.0624603
2.06667,0.155593,0.0632016
2.26667,0.159814,0.0713213
2.46667,0.168995,0.0743413
2.66667,0.173635,0.0799677
2.86667,0.175547,0.0788791
3.06667,0.179167,0.0753753
3.26667,0.1801,0.0782938
3.46667,0.183514,0.0747861
3.66667,0.18518,0.0769477
3.86667,0.189203,0.0805959
4.06667,0.195138,0.0885868
4.26667,0.194104,0.0905806
4.46667,0.198044,0.0713564
4.66667,0.191915,0.0622886
4.86667,0.195422,0.0576571
5.06667,0.1909,0.0637166
5.26667,0.201341,0.0635332
5.46667,0.208548,0.0614068
5.66667,0.210862,0.0668615
5.86667,0.228283,0.076222
6.06667,0.242673,0.0934641
6.26667,0.258331,0.108705
6.46667,0.257282,0.118529
6.66667,0.268819,0.106465
6.86667,0.276307,0.106687
7.06667,0.272912,0.105166
7.26667,0.264945,0.107436
7.46667,0.268406,0.109251
7.66667,0.277333,0.110932
7.86667,0.283623,0.116734
8.06667,0.293241,0.126466
8.26667,0.294969,0.136833
8.46667,0.293463,0.145542
8.66667,0.302843,0.156748
8.86667,0.302738,0.153993
9.06667,0.314026,0.137555
9.26667,0.320386,0.13464
9.46667,0.324432,0.133649
9.66667,0.325915,0.114702
9.86667,0.325255,0.106125
10.0667,0.322563,0.0948219
10.2667,0.316055,0.0815206
10.4667,0.312828,0.0905689
10.6667,0.308044,0.0726206
10.8667,0.304876,0.0832023
11.0667,0.300904,0.0702717
11.2667,0.297943,0.0598031
11.4667,0.296616,0.071134
11.6667,0.293576,0.0653242
11.8667,0.288816,0.0668186
12.0667,0.287193,0.051184
12.2667,0.284864,0.0412851
12.4667,0.283974,0.0449996
12.6667,0.286713,0.0193023
12.8667,0.286311,0.0248077
13.0667,0.284111,0.0159506
13.2667,0.283685,0.0147215
13.4667,0.280782,0.0155604
13.6667,0.280427,0.00912634
13.8667,0.279659,0.00853717
14.0667,0.279768,0.0062273
14.2667,0.280033,0.0135939
14.4667,0.277263,0.00951262
14.6667,0.281805,0.00771779
14.8667,0.280802,0.00972332
15.0667,0.280724,0.00675404
15.2667,0.280736,0.00643409
15.4667,0.281594,0.0123609
15.6667,0.28404,0.0195988
15.8667,0.281836,0.0221311
16.0667,0.281106,0.0234031
16.2667,0.281688,0.0169807
16.4667,0.279998,0.0158648
16.6667,0.279585,0.014585
16.8667,0.279581,0.0081743
17.0667,0.284407,0.00815089
17.2667,0.284251,0.00836159
17.4667,0.285824,0.00658236
17.6667,0.285234,0.00557179
17.8667,0.281399,0.00787386
18.0667,0.279491,0.00971162
18.2667,0.278063,0.00796751
18.4667,0.276764,0.013075
18.6667,0.27315,0.00883761
18.8667,0.281516,0.0191306
19.0667,0.289242,0.0276912
19.2667,0.296401,0.0370789
19.4667,0.301181,0.0385577
19.6667,0.304365,0.0358733
19.8667,0.293627,0.042561
20.0667,0.286939,0.0290958
20.2667,0.279233,0.0229154
20.4667,0.277185,0.0158219
20.6667,0.277957,0.0226969
20.8667,0.286307,0.0295406
21.0667,0.289675,0.0184088
21.2667,0.286951,0.0154356
21.4667,0.280455,0.0154005
21.6667,0.279288,0.0120605
21.8667,0.279694,0.00498652
22.0667,0.280884,0.00766316
22.2667,0.28015,0.00502554
22.4667,0.279218,0.00555618
22.6667,0.280158,0.00732371
22.8667,0.280876,0.0130828
23.0667,0.28065,0.0172343
23.2667,0.287579,0.017367
23.4667,0.289815,0.0246556
23.6667,0.290084,0.0216004
23.8667,0.289893,0.0238674
24.0667,0.292242,0.0234226
24.2667,0.291602,0.0212142
24.4667,0.293065,0.0222755
24.6667,0.293116,0.0222989
24.8667,0.292741,0.02281
25.0667,0.295047,0.0237074
25.2667,0.291333,0.0240235
25.4667,0.288426,0.0258963
25.6667,0.289242,0.0218814
25.8667,0.291641,0.0258573
26.0667,0.297872,0.0350539
26.2667,0.303682,0.0489366
26.4667,0.310565,0.0465447
26.6667,0.315173,0.0511606
26.8667,0.31323,0.0515469
27.0667,0.317194,0.0495726
27.2667,0.324319,0.0614146
27.4667,0.341101,0.0817157
27.6667,0.356751,0.0892462
27.8667,0.367707,0.103691
28.0667,0.379331,0.11142
28.2667,0.392581,0.119193
28.4667,0.403994,0.129763
28.6667,0.422485,0.134488
28.8667,0.437191,0.142319
29.0667,0.447179,0.144051
29.2667,0.45325,0.145858
29.4667,0.461292,0.15077
29.6667,0.458931,0.157856
29.8667,0.473228,0.145877
30.0667,0.476907,0.149256
30.2667,0.483197,0.148487
30.4667,0.483969,0.14695
30.6667,0.48285,0.141823
30.8667,0.488706,0.123609
31.0667,0.487321,0.107807
31.2667,0.486732,0.0837485
31.4667,0.49331,0.0803228
31.6667,0.495476,0.05969
31.8667,0.497641,0.0530101
32.0667,0.498016,0.047766
32.2667,0.501781,0.0340824
32.4667,0.498289,0.0239845
32.6667,0.500938,0.00591125
32.8667,0.500599,0.00681257
33.0667,0.507716,0.005166
33.2667,0.509733,0.00377305
33.4667,0.50413,0
33.6667,0.513022,0.0066565
33.8667,0.523842,0.0169105
34.0667,0.533,0.0281789
34.2667,0.53561,0.0360723
34.4667,0.549336,0.0504544
34.6667,0.569985,0.0607278
34.8667,0.576314,0.0661865
35.0667,0.579299,0.0680516
35.2667,0.582108,0.0687578
35.4667,0.583154,0.0810485
35.6667,0.579892,0.0816221
35.8667,0.582447,0.0906587
36.0667,0.582026,0.0874436
36.2667,0.58265,0.0898003
36.4667,0.574035,0.0943537
