Time, Moving Output, Moving Baseline
0.266667,0.0889848,0.0931558
0.466667,0.0887507,0.0895584
0.666667,0.0840919,0.0856019
0.866667,0.0820239,0.0849308
1.06667,0.0843884,0.0852195
1.26667,0.0686446,0.0701039
1.46667,0.0591086,0.0613599
1.66667,0.0612975,0.0626007
1.86667,0.0633304,0.0644463
2.06667,0.066128,0.0677082
2.26667,0.0734478,0.0745793
2.46667,0.0769828,0.0787776
2.66667,0.0810095,0.0827302
2.86667,0.0800691,0.0811929
3.06667,0.0767877,0.0794292
3.26667,0.0817313,0.0832023
3.46667,0.074829,0.0778607
3.66667,0.0769321,0.0790547
3.86667,0.0835105,0.0856136
4.06667,0.0892501,0.0917239
4.26667,0.0888092,0.0932261
4.46667,0.0710403,0.0718675
4.66667,0.0637361,0.0657261
4.86667,0.0590228,0.0588277
5.06667,0.0651408,0.0659173
5.26667,0.0641536,0.0650823
5.46667,0.061754,0.0633069
5.66667,0.0688709,0.0701663
5.86667,0.0771116,0.0796516
6.06667,0.0968001,0.0986145
6.26667,0.112017,0.113781
6.46667,0.124839,0.123957
6.66667,0.107987,0.109536
6.86667,0.106434,0.109582
7.06667,0.108541,0.111319
7.26667,0.108431,0.112025
7.46667,0.111744,0.113777
7.66667,0.11151,0.114979
7.86667,0.118342,0.121155
8.06667,0.130512,0.133403
8.26667,0.139989,0.142401
8.46667,0.147095,0.1518
8.66667,0.157231,0.162191
8.86667,0.159249,0.16255
9.06667,0.143462,0.147504
9.26667,0.13812,0.143996
9.46667,0.134894,0.141308
9.66667,0.12313,0.12448
9.86667,0.108307,0.1097
10.0667,0.0951887,0.0986886
10.2667,0.0802135,0.083491
10.4667,0.0866827,0.0908381
10.6667,0.0743803,0.0778334
10.8667,0.0814894,0.0850479
11.0667,0.0711262,0.0725738
11.2667,0.0634357,0.0644268
11.4667,0.0729405,0.076101
11.6667,0.0621559,0.0683403
11.8667,0.0686485,0.0708413
12.0667,0.0513089,0.0522687
12.2667,0.0437979,0.0440632
12.4667,0.042959,0.0431151
12.6667,0.0213312,0.0193374
12.8667,0.0254984,0.0256271
13.0667,0.0150376,0.0158492
13.2667,0.013871,0.0152327
13.4667,0.0162862,0.0168246
13.6667,0.00915756,0.0102579
13.8667,0.00808456,0.00893516
14.0667,0.00664869,0.00574737
14.2667,0.0134964,0.0140621
14.4667,0.00993012,0.0102071
14.6667,0.00788167,0.00820942
14.8667,0.00998474,0.0109563
15.0667,0.00769828,0.00701936
15.2667,0.00655115,0.00728859
15.4667,0.0119708,0.0130087
15.6667,0.0183346,0.0200046
15.8667,0.0220101,0.0232353
16.0667,0.0236996,0.024558
16.2667,0.0179835,0.0182449
16.4667,0.0162159,0.0163837
16.6667,0.0138983,0.0148581
16.8667,0.00830306,0.00830306
17.0667,0.00833428,0.00854107
17.2667,0.00836159,0.00857229
17.4667,0.00586833,0.00674234
17.6667,0.00524404,0.00557179
17.8667,0.00787386,0.00797921
18.0667,0.00936826,0.00956725
18.2667,0.00815869,0.00830696
18.4667,0.0134691,0.0137188
18.6667,0.00895857,0.00909903
18.8667,0.0190682,0.0194818
19.0667,0.0279994,0.0287564
19.2667,0.0376096,0.038308
19.4667,0.0389167,0.0392718
19.6667,0.036638,0.0370399
19.8667,0.0437159,0.0437393
20.0667,0.0303912,0.0297006
20.2667,0.0221818,0.0233797
20.4667,0.0175113,0.0176986
20.6667,0.0220375,0.022494
20.8667,0.0291309,0.029845
21.0667,0.0188692,0.0190018
21.2667,0.0153927,0.0153927
21.4667,0.013711,0.013711
21.6667,0.0133364,0.0135354
21.8667,0.00587613,0.00592295
22.0667,0.00661748,0.00749148
22.2667,0.00485776,0.00508016
22.4667,0.00590735,0.006239
22.6667,0.00733931,0.00759293
22.8667,0.0133013,0.0135081
23.0667,0.0158102,0.017527
23.2667,0.0172226,0.0174918
23.4667,0.0261148,0.0262436
23.6667,0.0218307,0.0221974
23.8667,0.0241561,0.0243824
24.0667,0.0232197,0.023407
24.2667,0.0214093,0.0217409
24.4667,0.0220804,0.022572
24.6667,0.0216746,0.0228763
24.8667,0.0229388,0.0233407
25.0667,0.0244605,0.0249911
25.2667,0.0245853,0.0250262
25.4667,0.0257208,0.0263958
25.6667,0.022533,0.0232821
25.8667,0.0256193,0.0270279
26.0667,0.0356548,0.0360216
26.2667,0.0499471,0.0507821
26.4667,0.0480899,0.04848
26.6667,0.0485971,0.0519683
26.8667,0.0532754,0.0520463
27.0667,0.0487376,0.0506104
27.2667,0.0605054,0.0627607
27.4667,0.0832764,0.084884
27.6667,0.0887702,0.091997
27.8667,0.105731,0.107491
28.0667,0.11103,0.114585
28.2667,0.11993,0.122759
28.4667,0.133095,0.135366
28.6667,0.137211,0.137508
28.8667,0.144188,0.147141
29.0667,0.145171,0.147773
29.2667,0.149049,0.151898
29.4667,0.152803,0.155788
29.6667,0.159299,0.164824
29.8667,0.150711,0.154485
30.0667,0.151788,0.155175
30.2667,0.153782,0.154317
30.4667,0.151578,0.153244
30.6667,0.13567,0.140407
30.8667,0.127425,0.1297
31.0667,0.110156,0.109118
31.2667,0.0868115,0.0886765
31.4667,0.0773886,0.0802837
31.6667,0.0616955,0.0619998
31.8667,0.0512855,0.0520385
32.0667,0.0466618,0.0491941
32.2667,0.0362127,0.0358577
32.4667,0.0198446,0.0187365
32.6667,0.00664869,0.00422176
32.8667,0.00621949,0.00513869
33.0667,0.0092356,0.00565373
33.2667,0.00319168,0.00229037
33.4667,0.00083889,0
33.6667,0.00764365,0.0066565
33.8667,0.0169105,0.0169105
34.0667,0.0288734,0.0291661
34.2667,0.0387216,0.0391001
34.4667,0.0508953,0.0514376
34.6667,0.0589213,0.0611141
34.8667,0.0667796,0.0678487
