Time,Queue Density,Moving Density
0.666667,0.153396,0.153396
1.26667,0.14647,0.129673
1.86667,0.151543,0.101342
2.46667,0.174325,0.112162
3.06667,0.185375,0.127418
3.66667,0.191587,0.115439
4.26667,0.201361,0.135463
4.86667,0.203807,0.124417
5.46667,0.217553,0.0882825
6.06667,0.252888,0.124628
6.66667,0.282468,0.177142
7.26667,0.277251,0.178282
7.86667,0.295305,0.190959
8.46667,0.307982,0.201361
9.06667,0.322965,0.235752
9.66667,0.337718,0.21323
10.2667,0.32737,0.173541
10.8667,0.314272,0.125677
11.4667,0.307299,0.119025
12.0667,0.299035,0.108915
12.6667,0.294778,0.0829058
13.2667,0.292328,0.0539816
13.8667,0.288629,0.0262709
14.4667,0.28644,0.0311833
15.0667,0.290947,0.0174099
15.6667,0.293003,0.0287486
16.2667,0.291704,0.0449996
16.8667,0.287817,0.0174918
17.4667,0.294049,0.0120293
18.0667,0.290026,0.0192516
18.6667,0.282273,0.015619
19.2667,0.305426,0.0447109
19.8667,0.303963,0.0597758
20.4667,0.285687,0.049198
21.0667,0.298902,0.0455693
21.6667,0.288968,0.0403175
22.2667,0.289565,0.0176869
22.8667,0.289745,0.0166373
23.4667,0.299203,0.0321314
24.0667,0.301205,0.0318973
24.6667,0.302609,0.0363727
25.2667,0.300576,0.0329352
25.8667,0.301708,0.0389752
26.4667,0.322668,0.0698503
27.0667,0.329863,0.0872875
27.6667,0.371328,0.131331
28.2667,0.407775,0.182761
28.8667,0.451631,0.2068
29.4667,0.474632,0.21348
30.0667,0.492366,0.20664
30.6667,0.498164,0.208474
31.2667,0.502655,0.213652
31.8667,0.512968,0.196413
32.4667,0.515758,0.146451
33.0667,0.522913,0.112509
33.6667,0.52799,0.0267625
34.2667,0.55341,0.0491121
34.8667,0.592701,0.0880913
35.4667,0.599291,0.121643
36.0667,0.599011,0.145261
36.6667,0.592284,0.149014
37.2667,0.586099,0.132712
37.8667,0.581526,0.167388
38.4667,0.576099,0.116664
39.0667,0.594481,0.0622417
39.6667,0.613412,0.0658509
40.2667,0.626444,0.0707165
40.8667,0.656851,0.08552
41.4667,0.678592,0.103207
42.0667,0.689696,0.113051
42.6667,0.693114,0.108213
43.2667,0.695596,0.0734556
43.8667,0.698444,0.060521
44.4667,0.708105,0.0735492
45.0667,0.714368,0.0901553
45.6667,0.710969,0.0937372
46.2667,0.708628,0.0831711
46.8667,0.708952,0.0808105
47.4667,0.709206,0.0787737
48.0667,0.714317,0.072008
48.6667,0.713349,0.0515157
49.2667,0.718449,0.0256856
49.8667,0.719518,0.0159584
50.4667,0.712417,0.0120527
51.0667,0.712101,0.012002
51.6667,0.715047,0.0107456
52.2667,0.718679,0.0221038
52.8667,0.708765,0.00937606
53.4667,0.710181,0.0153302
54.0667,0.713954,0.0268055
54.6667,0.721524,0.0403682
55.2667,0.724864,0.0335946
55.8667,0.718133,0.0237738
56.4667,0.72612,0.0200943
57.0667,0.723385,0.0235201
57.6667,0.722706,0.0217955
58.2667,0.717579,0.0222052
58.8667,0.723018,0.0307814
59.4667,0.725262,0.0139763
60.0667,0.720431,0.0206913
60.6667,0.719596,0.0137695
61.2667,0.710528,0.0213078
61.8667,0.714024,0.00763195
62.4667,0.720548,0.0102462
63.0667,0.724395,0.0258534
63.6667,0.726963,0.0202426
64.2667,0.728266,0.00797531
64.8667,0.730498,0.0222325
65.4667,0.729362,0.030122
66.0667,0.726112,0.0303444
66.6667,0.726494,0.0155175
67.2667,0.724653,0.0157438
67.8667,0.723935,0.0371843
68.4667,0.720525,0.0224666
69.0667,0.714262,0.0207733
69.6667,0.71784,0.0309765
70.2667,0.714539,0.0260914
70.8667,0.7131,0.0248468
71.4667,0.714309,0.020504
72.0667,0.710446,0.0197198
72.6667,0.712557,0.0283701
73.2667,0.718289,0.0223769
73.8667,0.719479,0.0260875
74.4667,0.715987,0.0248975
75.0667,0.714567,0.0365249
75.6667,0.716014,0.0524131
76.2667,0.715921,0.0453742
76.8667,0.712148,0.0422567
77.4667,0.713053,0.0481952
78.0667,0.708058,0.0402199
78.6667,0.706603,0.0286315
79.2667,0.711316,0.0249365
79.8667,0.710306,0.0204143
80.4667,0.713572,0.020028
81.0667,0.71898,0.0136329
81.6667,0.718184,0.00874397
82.2667,0.722909,0.0440905
82.8667,0.723876,0.047489
83.4667,0.726459,0.043474
84.0667,0.728243,0.0262826
84.6667,0.729023,0.0149947
85.2667,0.730771,0.0310155
85.8667,0.727142,0.0319988
86.4667,0.726612,0.0334542
87.0667,0.728477,0.044547
87.6667,0.724259,0.0353426
88.2667,0.722105,0.0262982
88.8667,0.719772,0.018678
89.4667,0.722628,0.0343087
90.0667,0.724009,0.051305
90.6667,0.72793,0.0535173
91.2667,0.734864,0.0647779
91.8667,0.735231,0.0617423
92.4667,0.738383,0.0477894
93.0667,0.732761,0.0390572
93.6667,0.728168,0.0349329
94.2667,0.72349,0.0441881
94.8667,0.730845,0.0870768
95.4667,0.750736,0.186636
96.0667,0.769972,0.268109
96.6667,0.800836,0.353735
97.2667,0.829463,0.406577
97.8667,0.848141,0.494184
98.4667,0.85424,0.626097
99.0667,0.865387,0.646765
99.6667,0.874752,0.685112
100.267,0.841465,0.699728
100.867,0.852168,0.70052
101.467,0.781202,0.712936
102.067,0.769196,0.683754
102.667,0.773488,0.679848
103.267,0.753643,0.69679
103.867,0.723287,0.705319
104.467,0.726885,0.724442
105.067,0.76234,0.76234
105.667,0.79073,0.79073
106.267,0.822514,0.822514
106.867,0.847041,0.847041
107.467,0.866328,0.866328
108.067,0.854142,0.854142
108.667,0.815713,0.815713
109.267,0.795603,0.795603
109.867,0.787148,0.787148
110.467,0.76419,0.76419
111.067,0.769176,0.769176
111.667,0.780043,0.780043
112.267,0.795537,0.795537
112.867,0.766398,0.766398
113.467,0.743401,0.731902
114.067,0.7385,0.689778
114.667,0.694866,0.694866
115.267,0.674827,0.674827
115.867,0.683258,0.683258
116.467,0.654955,0.654955
117.067,0.680777,0.680777
117.667,0.635972,0.635972
118.267,0.619717,0.619717
118.867,0.611344,0.611344
119.467,0.59585,0.59585
120.067,0.560917,0.560917
120.667,0.5791,0.5791
121.267,0.597606,0.597606
121.867,0.573852,0.573852
122.467,0.549668,0.549668
123.067,0.506225,0.506225
123.667,0.410268,0.410268
124.267,0.366041,0.366041
124.867,0.351093,0.351093
125.467,0.422699,0.422699
126.067,0.558631,0.558631
126.667,0.618906,0.618906
127.267,0.687539,0.687539
127.867,0.648841,0.648841
128.467,0.601515,0.601515
129.067,0.544311,0.544311
129.667,0.422699,0.422699
130.267,0.352002,0.352002
130.867,0.244815,0.244815
131.467,0.160302,0.160302
132.067,0.0802213,0.0802213
132.667,0.0465135,0.0290919
133.267,0.0500018,0.0347574
133.867,0.135182,0.135182
134.467,0.306164,0.306164
135.067,0.431307,0.431307
135.667,0.505539,0.505539
136.267,0.479584,0.479584
136.867,0.382768,0.382768
137.467,0.329598,0.329598
138.067,0.204923,0.204923
138.667,0.13036,0.13036
139.267,0.06406,0.06406
139.867,0.0504973,0.0325841
140.467,0.0988213,0.0880835
141.067,0.195914,0.172277
141.667,0.297833,0.223578
142.267,0.393748,0.329208
142.867,0.400521,0.384567
143.467,0.394606,0.394606
144.067,0.428076,0.428076
144.667,0.428454,0.428454
145.267,0.395363,0.395363
145.867,0.312933,0.312933
146.467,0.185141,0.185141
147.067,0.110796,0.110796
147.667,0.0610712,0.0610712
148.267,0.0410237,0.0315306
148.867,0.0402667,0.033462
149.467,0.0415972,0.0320144
150.067,0.0448787,0.0417494
150.667,0.0513674,0.0498847
151.267,0.0619491,0.0619491
151.867,0.1429,0.1429
152.467,0.226219,0.226219
153.067,0.25649,0.25649
153.667,0.27802,0.27802
154.267,0.270716,0.270716
154.867,0.226672,0.226672
155.467,0.196651,0.196651
156.067,0.147715,0.147715
156.667,0.105361,0.105361
157.267,0.0844314,0.0844314
157.867,0.0771428,0.0771428
158.467,0.0684651,0.0684651
159.067,0.0725699,0.0725699
159.667,0.154457,0.154457
160.267,0.20094,0.20094
160.867,0.197596,0.197596
161.467,0.15155,0.15155
162.067,0.0844899,0.0844899
162.667,0.0924379,0.0924379
163.267,0.153123,0.153123
163.867,0.159541,0.159541
164.467,0.154098,0.154098
165.067,0.0868349,0.0868349
165.667,0.0682388,0.0682388
166.267,0.0612312,0.0612312
166.867,0.0771623,0.0771623
167.467,0.0815011,0.0815011
168.067,0.153287,0.153287
168.667,0.219329,0.219329
169.267,0.239521,0.239521
169.867,0.26459,0.26459
170.467,0.215357,0.215357
171.067,0.127074,0.127074
171.667,0.0415348,0.0415348
172.267,0.00333605,0.00333605
172.867,0.00155292,0.00155292
173.467,0.00184166,0.00184166
174.067,0.00124078,0.00124078
174.667,0.00246985,0.00246985
175.267,0.0196886,0.0196886
175.867,0.0836939,0.0836939
176.467,0.217979,0.217979
177.067,0.385269,0.385269
177.667,0.456356,0.456356
178.267,0.420382,0.420382
178.867,0.366349,0.366349
179.467,0.312785,0.312785
180.067,0.238194,0.238194
180.667,0.158878,0.158878
181.267,0.0983765,0.0983765
181.867,0.112735,0.112735
182.467,0.148113,0.148113
183.067,0.180748,0.180748
183.667,0.205497,0.205497
184.267,0.232665,0.232665
184.867,0.224034,0.224034
185.467,0.203632,0.203632
186.067,0.193194,0.190518
186.667,0.204077,0.165121
187.267,0.203761,0.130808
187.867,0.201583,0.0733346
188.467,0.20131,0.0371921
189.067,0.203421,0.0429161
189.667,0.206995,0.0476177
190.267,0.215575,0.0503646
190.867,0.212864,0.0518161
191.467,0.211287,0.0506417
192.067,0.207596,0.0383978
192.667,0.230835,0.0698737
193.267,0.230523,0.0908264
193.867,0.233543,0.0826482
194.467,0.230273,0.071251
195.067,0.231448,0.0720119
195.667,0.239103,0.0853327
196.267,0.242584,0.0825351
196.867,0.285117,0.115755
197.467,0.339735,0.142658
198.067,0.382729,0.137695
198.667,0.409663,0.126719
199.267,0.445778,0.187771
199.867,0.484246,0.216492
200.467,0.535415,0.277891
201.067,0.584948,0.347593
201.667,0.63076,0.360524
202.267,0.658665,0.307401
202.867,0.66053,0.313167
203.467,0.667811,0.217097
204.067,0.669079,0.192079
204.667,0.686868,0.196335
205.267,0.711238,0.241729
205.867,0.724704,0.231222
206.467,0.743253,0.207335
207.067,0.74408,0.185102
207.667,0.737185,0.163428
208.267,0.736756,0.156432
208.867,0.734751,0.128818
209.467,0.736233,0.0630533
210.067,0.733689,0.0526901
210.667,0.734189,0.040653
211.267,0.733557,0.0527564
211.867,0.72907,0.0501968
212.467,0.737221,0.0566075
213.067,0.736686,0.0654568
213.667,0.739589,0.0530881
214.267,0.740283,0.0365756
214.867,0.739804,0.0305941
215.467,0.746324,0.0241171
216.067,0.74232,0.024359
216.667,0.741856,0.0267391
217.267,0.734154,0.0371102
217.867,0.73619,0.0252174
218.467,0.742984,0.0304771
219.067,0.735867,0.0309765
219.667,0.735562,0.0181161
220.267,0.733998,0.0261578
220.867,0.736468,0.0378359
221.467,0.72882,0.0492877
222.067,0.72642,0.0605328
222.667,0.725843,0.0683208
223.267,0.72168,0.0694055
223.867,0.721555,0.070299
224.467,0.721426,0.0646336
225.067,0.712179,0.0518707
225.667,0.70965,0.0238908
226.267,0.705245,0.0217565
226.867,0.720884,0.0207342
227.467,0.723061,0.0316086
228.067,0.71921,0.0241015
228.667,0.716732,0.00360918
229.267,0.722952,0.00770999
229.867,0.723673,0.00582541
230.467,0.72637,0.00802213
231.067,0.728878,0.0293143
231.667,0.716053,0.0281984
232.267,0.716225,0.0073198
232.867,0.712097,0.00566543
233.467,0.716198,0.00278199
234.067,0.712862,0.00368722
234.667,0.714859,0.00213039
235.267,0.711387,0
235.867,0.715246,0
236.467,0.718258,0.0128916
237.067,0.720817,0.0220375
237.667,0.719436,0.0195871
238.267,0.72287,0.0202933
238.867,0.725035,0.0162901
239.467,0.72438,0.0133559
240.067,0.721231,0.0249794
240.667,0.719058,0.0177611
241.267,0.72779,0.0226891
241.867,0.739445,0.0351163
242.467,0.737985,0.0292597
243.067,0.741204,0.0291856
243.667,0.738255,0.0358733
244.267,0.735906,0.0137539
244.867,0.729511,0.0229388
245.467,0.728328,0.0372545
246.067,0.726799,0.0254593
246.667,0.72008,0.0250965
247.267,0.718055,0.0475475
247.867,0.716705,0.0422449
248.467,0.71688,0.0441295
249.067,0.715647,0.0475007
249.667,0.717606,0.0498496
250.267,0.713786,0.0390806
250.867,0.709526,0.00920438
251.467,0.715355,0.0339887
252.067,0.718367,0.0486088
252.667,0.717969,0.0271722
253.267,0.723272,0.01995
253.867,0.717989,0.0357952
254.467,0.721172,0.0343282
255.067,0.73294,0.0166139
255.667,0.728274,0.00272347
256.267,0.728625,0.0114986
256.867,0.733869,0.0125131
257.467,0.732371,0.0171875
258.067,0.737306,0.0205118
258.667,0.733982,0.0302664
259.267,0.732191,0.030598
259.867,0.739199,0.0480782
260.467,0.735129,0.0553277
261.067,0.736089,0.0355924
261.667,0.732417,0.0213273
262.267,0.731126,0.023407
262.867,0.73399,0.0233758
263.467,0.72866,0.025233
264.067,0.726643,0.0278707
264.667,0.737548,0.0325723
265.267,0.736058,0.0202153
265.867,0.730264,0.0367785
266.467,0.730677,0.0227632
267.067,0.728281,0.00831087
267.667,0.726596,0.0113114
268.267,0.738571,0.0326816
268.867,0.740182,0.0434233
269.467,0.737443,0.0312769
270.067,0.733982,0.0216122
270.667,0.732702,0.00600099
271.267,0.732148,0.0134769
271.867,0.735258,0.034535
272.467,0.734247,0.0266494
273.067,0.739608,0.0149361
273.667,0.742984,0.0397244
274.267,0.735874,0.0323382
274.867,0.736698,0.0259002
275.467,0.736737,0.0221896
276.067,0.737681,0.0768501
276.667,0.743834,0.161438
277.267,0.757198,0.214128
277.867,0.769531,0.2567
278.467,0.792162,0.302832
279.067,0.822027,0.303986
279.667,0.859277,0.353856
280.267,0.876258,0.450855
280.867,0.882516,0.609701
281.467,0.909189,0.692248
282.067,0.917071,0.730061
282.667,0.87904,0.783477
283.267,0.806056,0.806056
283.867,0.800832,0.800832
284.467,0.80386,0.80386
285.067,0.808074,0.808074
285.667,0.817497,0.817497
286.267,0.821597,0.821597
286.867,0.81599,0.81599
287.467,0.796887,0.796887
288.067,0.810602,0.810602
288.667,0.798491,0.798491
289.267,0.798705,0.798705
289.867,0.785814,0.785814
290.467,0.806115,0.806115
291.067,0.782895,0.782895
291.667,0.793844,0.793844
292.267,0.818979,0.818979
292.867,0.808858,0.808858
293.467,0.790242,0.790242
294.067,0.740248,0.740248
294.667,0.738559,0.738559
295.267,0.771455,0.771455
295.867,0.798194,0.798194
296.467,0.763979,0.763979
297.067,0.742367,0.742367
297.667,0.728754,0.728754
298.267,0.736089,0.736089
298.867,0.729468,0.729468
299.467,0.691932,0.691932
300.067,0.691831,0.691831
