Time, Queue Output, Queue Baseline
0.266667,0.135012,0.113781
0.466667,0.147537,0.114066
0.666667,0.159114,0.125116
0.866667,0.175214,0.138413
1.06667,0.185346,0.14173
1.26667,0.191033,0.14647
1.46667,0.192012,0.147399
1.66667,0.195695,0.150329
1.86667,0.197016,0.151543
2.06667,0.207382,0.16347
2.26667,0.212246,0.16779
2.46667,0.219674,0.174325
2.66667,0.216162,0.179936
2.86667,0.228904,0.183151
3.06667,0.237949,0.185375
3.26667,0.235183,0.187147
3.46667,0.240218,0.189062
3.66667,0.242129,0.191587
3.86667,0.244087,0.196394
4.06667,0.253209,0.202016
4.26667,0.258539,0.201361
4.46667,0.259674,0.206039
4.66667,0.253116,0.20124
4.86667,0.232898,0.203807
5.06667,0.238322,0.202055
5.26667,0.257125,0.211065
5.46667,0.263994,0.217553
5.66667,0.268563,0.221674
5.86667,0.294825,0.238178
6.06667,0.306993,0.252888
6.26667,0.319814,0.267649
6.46667,0.328594,0.269409
6.66667,0.339083,0.282468
6.86667,0.356628,0.28923
7.06667,0.345983,0.283779
7.26667,0.348842,0.277251
7.46667,0.353069,0.279405
7.66667,0.351733,0.289522
7.86667,0.362471,0.295305
8.06667,0.372012,0.306757
8.26667,0.38042,0.309152
8.46667,0.388423,0.307982
8.66667,0.402424,0.315259
8.86667,0.399021,0.319933
9.06667,0.401181,0.322965
9.26667,0.401197,0.332005
9.46667,0.405253,0.337308
9.66667,0.397203,0.337718
9.86667,0.382564,0.336204
10.0667,0.38965,0.333012
10.2667,0.379456,0.32737
10.4667,0.376535,0.322754
10.6667,0.365563,0.318314
10.8667,0.36174,0.314272
11.0667,0.356768,0.311021
11.2667,0.370676,0.309074
11.4667,0.35526,0.307299
11.6667,0.349122,0.303319
11.8667,0.350365,0.299187
12.0667,0.344553,0.299035
12.2667,0.342331,0.295527
12.4667,0.33697,0.293939
12.6667,0.338462,0.294778
12.8667,0.339441,0.294977
13.0667,0.338679,0.292921
13.2667,0.339083,0.292328
13.4667,0.339052,0.28985
13.6667,0.344522,0.28946
13.8667,0.345346,0.288629
14.0667,0.344584,0.287934
14.2667,0.344491,0.289
14.4667,0.345517,0.28644
14.6667,0.350272,0.29248
14.8667,0.351065,0.291189
15.0667,0.352044,0.290947
15.2667,0.351531,0.290943
15.4667,0.349091,0.290771
15.6667,0.348454,0.293003
15.8667,0.34101,0.290974
16.0667,0.338695,0.290077
16.2667,0.336348,0.291704
16.4667,0.33223,0.288883
16.6667,0.337731,0.287872
16.8667,0.33209,0.287817
17.0667,0.33181,0.293214
17.2667,0.336348,0.292983
17.4667,0.337141,0.294049
17.6667,0.337451,0.29406
17.8667,0.344087,0.28985
18.0667,0.344911,0.290026
18.2667,0.343201,0.28779
18.4667,0.34188,0.28644
18.6667,0.339643,0.282273
18.8667,0.341243,0.290673
19.0667,0.357483,0.299273
19.2667,0.36547,0.305426
19.4667,0.369837,0.310026
19.6667,0.376923,0.31472
19.8667,0.364724,0.303963
20.0667,0.355012,0.296085
20.2667,0.347506,0.287966
20.4667,0.336441,0.285687
20.6667,0.336286,0.28699
20.8667,0.343699,0.295083
21.0667,0.34603,0.298902
21.2667,0.343077,0.295738
21.4667,0.334141,0.289651
21.6667,0.33669,0.288968
21.8667,0.337793,0.288613
22.0667,0.331671,0.289503
22.2667,0.335043,0.289565
22.4667,0.327257,0.288539
22.6667,0.334406,0.289175
22.8667,0.333069,0.289745
23.0667,0.341476,0.289819
23.2667,0.346946,0.297022
23.4667,0.351702,0.299203
23.6667,0.350023,0.299499
23.8667,0.352991,0.299531
24.0667,0.353504,0.301205
24.2667,0.366962,0.300736
24.4667,0.360995,0.302141
24.6667,0.36634,0.302609
24.8667,0.356861,0.302539
25.0667,0.360326,0.304185
25.2667,0.349619,0.300576
25.4667,0.354841,0.298516
25.6667,0.345579,0.298746
25.8667,0.351049,0.301708
26.0667,0.358306,0.308017
26.2667,0.353893,0.314791
26.4667,0.363155,0.322668
26.6667,0.374872,0.326211
26.8667,0.371686,0.325782
27.0667,0.379798,0.329863
27.2667,0.385796,0.338373
27.4667,0.398166,0.354839
27.6667,0.415571,0.371328
27.8667,0.428376,0.383189
28.0667,0.439674,0.395991
28.2667,0.455618,0.407775
28.4667,0.476239,0.420378
28.6667,0.502471,0.436266
28.8667,0.512556,0.451631
29.0667,0.534685,0.461866
29.2667,0.538213,0.468331
29.4667,0.538881,0.474632
29.6667,0.544025,0.472994
29.8667,0.560559,0.490197
30.0667,0.553396,0.492366
30.2667,0.55094,0.497064
30.4667,0.544056,0.499253
30.6667,0.554577,0.498164
30.8667,0.552867,0.50351
31.0667,0.556162,0.504883
31.2667,0.559907,0.502655
31.4667,0.572572,0.508496
31.6667,0.577343,0.513299
31.8667,0.56993,0.512968
32.0667,0.570987,0.513108
32.2667,0.57237,0.517486
32.4667,0.568982,0.515758
32.6667,0.576068,0.517533
32.8667,0.566931,0.516159
33.0667,0.57265,0.522913
33.2667,0.571624,0.525005
33.4667,0.572012,0.520112
33.6667,0.577483,0.52799
33.8667,0.598197,0.537491
34.0667,0.603543,0.547432
34.2667,0.604227,0.55341
34.4667,0.612354,0.564409
34.6667,0.631469,0.589229
34.8667,0.644631,0.592701
35.0667,0.652308,0.596634
35.2667,0.656597,0.597313
35.4667,0.651329,0.599291
35.6667,0.651111,0.596322
35.8667,0.642393,0.599268
36.0667,0.641352,0.599011
36.2667,0.644227,0.599697
36.4667,0.628858,0.589389
36.6667,0.632743,0.592284
36.8667,0.642098,0.593856
37.0667,0.630816,0.587524
37.2667,0.626232,0.586099
37.4667,0.629138,0.584504
37.6667,0.627226,0.58361
37.8667,0.62474,0.581526
38.0667,0.618897,0.577843
38.2667,0.61627,0.575389
38.4667,0.607786,0.576099
38.6667,0.630831,0.581952
38.8667,0.634685,0.587746
39.0667,0.635742,0.594481
39.2667,0.640404,0.599795
39.4667,0.645967,0.604024
39.6667,0.66028,0.613412
39.8667,0.657172,0.61722
40.0667,0.667552,0.619663
40.2667,0.67871,0.626444
40.4667,0.682875,0.635379
40.6667,0.689355,0.644252
40.8667,0.699083,0.656851
41.0667,0.706558,0.66181
41.2667,0.717716,0.667788
41.4667,0.732976,0.678592
41.6667,0.738368,0.681741
41.8667,0.739114,0.684995
42.0667,0.741709,0.689696
42.2667,0.744942,0.693021
42.4667,0.745268,0.694125
42.6667,0.739239,0.693114
42.8667,0.733038,0.692908
43.0667,0.743388,0.692978
43.2667,0.745284,0.695596
43.4667,0.751033,0.699997
43.6667,0.75122,0.701702
43.8667,0.751577,0.698444
44.0667,0.75066,0.699888
44.2667,0.751639,0.703829
44.4667,0.75826,0.708105
44.6667,0.76404,0.709596
44.8667,0.7646,0.714157
45.0667,0.769511,0.714368
45.2667,0.768329,0.713911
45.4667,0.767956,0.711164
45.6667,0.768112,0.710969
45.8667,0.766076,0.709065
46.0667,0.766076,0.709018
46.2667,0.764988,0.708628
46.4667,0.758601,0.706045
46.6667,0.756581,0.70855
46.8667,0.763699,0.708952
47.0667,0.762766,0.707852
47.2667,0.76188,0.70658
47.4667,0.763497,0.709206
47.6667,0.764258,0.711383
47.8667,0.760948,0.712522
48.0667,0.765051,0.714317
48.2667,0.761818,0.715507
48.4667,0.764631,0.711999
48.6667,0.76446,0.713349
48.8667,0.758493,0.7158
49.0667,0.763497,0.715983
49.2667,0.758819,0.718449
49.4667,0.768485,0.716818
49.6667,0.769697,0.713771
49.8667,0.759207,0.719518
50.0667,0.760497,0.712959
50.2667,0.763232,0.715363
50.4667,0.750194,0.712417
50.6667,0.752043,0.713736
50.8667,0.747195,0.716584
51.0667,0.750023,0.712101
51.2667,0.749883,0.710466
51.4667,0.74735,0.714372
51.6667,0.748376,0.715047
51.8667,0.748609,0.71381
52.0667,0.752028,0.716818
52.2667,0.750365,0.718679
52.4667,0.748889,0.716006
52.6667,0.744973,0.712467
52.8667,0.74359,0.708765
53.0667,0.737125,0.704976
53.2667,0.737296,0.706236
53.4667,0.740326,0.710181
53.6667,0.744911,0.710813
53.8667,0.745066,0.711473
54.0667,0.745284,0.713954
54.2667,0.74014,0.713786
54.4667,0.740948,0.717895
54.6667,0.746511,0.721524
54.8667,0.750039,0.722171
55.0667,0.752214,0.723408
55.2667,0.753675,0.724864
55.4667,0.755524,0.725371
55.6667,0.754763,0.720107
55.8667,0.75467,0.718133
56.0667,0.756876,0.720474
56.2667,0.757949,0.721894
56.4667,0.761927,0.72612
56.6667,0.761134,0.726623
56.8667,0.757933,0.724348
57.0667,0.759005,0.723385
57.2667,0.758601,0.720938
57.4667,0.759192,0.721984
57.6667,0.758384,0.722706
57.8667,0.756224,0.72205
58.0667,0.756659,0.718242
58.2667,0.756286,0.717579
58.4667,0.756706,0.717036
58.6667,0.758337,0.721555
58.8667,0.756053,0.723018
59.0667,0.755012,0.724934
59.2667,0.75697,0.724641
59.4667,0.756053,0.725262
59.6667,0.756208,0.720747
59.8667,0.755493,0.720969
60.0667,0.755633,0.720431
60.2667,0.75683,0.720236
60.4667,0.756022,0.720271
60.6667,0.753986,0.719596
60.8667,0.755027,0.716869
61.0667,0.753629,0.714656
61.2667,0.746853,0.710528
61.4667,0.747972,0.708714
61.6667,0.754608,0.709892
61.8667,0.747817,0.714024
62.0667,0.756519,0.712019
62.2667,0.757032,0.715214
62.4667,0.760388,0.720548
62.6667,0.768143,0.724228
62.8667,0.763357,0.721812
63.0667,0.765827,0.724395
63.2667,0.765299,0.726272
63.4667,0.765035,0.724641
63.6667,0.770552,0.726963
63.8667,0.771096,0.727962
64.0667,0.770614,0.725784
64.2667,0.769184,0.728266
64.4667,0.769697,0.727396
64.6667,0.769852,0.726682
64.8667,0.770878,0.730498
65.0667,0.771344,0.730252
65.2667,0.765874,0.727177
65.4667,0.76704,0.729362
65.6667,0.766138,0.731965
65.8667,0.767288,0.730076
66.0667,0.765097,0.726112
66.2667,0.764926,0.725265
66.4667,0.766045,0.726143
66.6667,0.765144,0.726494
66.8667,0.763388,0.72637
67.0667,0.762813,0.722967
67.2667,0.762999,0.724653
67.4667,0.752183,0.724224
67.6667,0.753846,0.724618
67.8667,0.751639,0.723935
68.0667,0.748531,0.720903
68.2667,0.752991,0.722245
68.4667,0.75338,0.720525
68.6667,0.7485,0.720673
68.8667,0.750894,0.714715
69.0667,0.750583,0.714262
69.2667,0.75122,0.714426
69.4667,0.762191,0.716982
69.6667,0.762098,0.71784
69.8667,0.760016,0.717594
70.0667,0.759782,0.715242
70.2667,0.759425,0.714539
70.4667,0.760482,0.714543
70.6667,0.758788,0.714013
70.8667,0.754623,0.7131
71.0667,0.753318,0.713478
71.2667,0.751453,0.712592
71.4667,0.751158,0.714309
71.6667,0.752416,0.71436
71.8667,0.750303,0.714309
72.0667,0.750427,0.710446
72.2667,0.752463,0.71045
72.4667,0.748221,0.711195
72.6667,0.748796,0.712557
72.8667,0.749744,0.715628
73.0667,0.750754,0.717337
73.2667,0.753131,0.718289
73.4667,0.752556,0.718504
73.6667,0.752587,0.720213
73.8667,0.753908,0.719479
74.0667,0.752168,0.718933
74.2667,0.750256,0.716744
74.4667,0.750427,0.715987
74.6667,0.749448,0.714953
74.8667,0.74704,0.715039
75.0667,0.760264,0.714567
75.2667,0.749417,0.718445
75.4667,0.747521,0.715925
75.6667,0.747661,0.716014
75.8667,0.748531,0.719182
76.0667,0.755105,0.71418
76.2667,0.757358,0.715921
76.4667,0.749293,0.716022
76.6667,0.754545,0.714715
76.8667,0.752214,0.712148
77.0667,0.751267,0.711508
77.2667,0.752758,0.712975
77.4667,0.750443,0.713053
77.6667,0.7462,0.712717
77.8667,0.74505,0.707469
78.0667,0.74906,0.708058
78.2667,0.75066,0.704847
78.4667,0.749324,0.706345
78.6667,0.750148,0.706603
78.8667,0.748516,0.706954
79.0667,0.748361,0.710899
79.2667,0.750878,0.711316
79.4667,0.750396,0.711262
79.6667,0.75108,0.710641
79.8667,0.752556,0.710306
80.0667,0.752914,0.71116
80.2667,0.7531,0.711933
80.4667,0.753877,0.713572
80.6667,0.75425,0.714695
80.8667,0.751406,0.718109
81.0667,0.751857,0.71898
81.2667,0.754437,0.719155
