Time, Moving Output, Moving Baseline
0.266667,0.0915093,0.0931558
0.466667,0.0871041,0.0895584
0.666667,0.0844236,0.0856019
0.866667,0.0819771,0.0849308
1.06667,0.0836549,0.0852195
1.26667,0.0684417,0.0701039
1.46667,0.0600333,0.0613599
1.66667,0.0618243,0.0626007
1.86667,0.0633694,0.0644463
2.06667,0.0657729,0.0677082
2.26667,0.0734361,0.0745793
2.46667,0.0785123,0.0787776
2.66667,0.081704,0.0827302
2.86667,0.0793668,0.0811929
3.06667,0.0785162,0.0794292
3.26667,0.0822112,0.0832023
3.46667,0.0755157,0.0778607
3.66667,0.0784616,0.0790547
3.86667,0.0845913,0.0856136
4.06667,0.0912049,0.0917239
4.26667,0.0923404,0.0932261
4.46667,0.073834,0.0718675
4.66667,0.0645477,0.0657261
4.86667,0.0588433,0.0588277
5.06667,0.0654139,0.0659173
5.26667,0.0645516,0.0650823
5.46667,0.0624642,0.0633069
5.66667,0.0695655,0.0701663
5.86667,0.0773535,0.0796516
6.06667,0.0975454,0.0986145
6.26667,0.11222,0.113781
6.46667,0.122646,0.123957
6.66667,0.1084,0.109536
6.86667,0.107604,0.109582
7.06667,0.109298,0.111319
7.26667,0.109633,0.112025
7.46667,0.112614,0.113777
7.66667,0.112891,0.114979
7.86667,0.119673,0.121155
8.06667,0.132002,0.133403
8.26667,0.140134,0.142401
8.46667,0.150075,0.1518
8.66667,0.160084,0.162191
8.86667,0.159928,0.16255
9.06667,0.144636,0.147504
9.26667,0.140719,0.143996
9.46667,0.136934,0.141308
9.66667,0.121409,0.12448
9.86667,0.107085,0.1097
10.0667,0.093983,0.0986886
10.2667,0.0818874,0.083491
10.4667,0.0899407,0.0908381
10.6667,0.0755313,0.0778334
10.8667,0.082539,0.0850479
11.0667,0.0706463,0.0725738
11.2667,0.0644073,0.0644268
11.4667,0.0757459,0.076101
11.6667,0.0650432,0.0683403
11.8667,0.0691714,0.0708413
12.0667,0.0517654,0.0522687
12.2667,0.0452415,0.0440632
12.4667,0.0424517,0.0431151
12.6667,0.0206289,0.0193374
12.8667,0.025432,0.0256271
13.0667,0.015498,0.0158492
13.2667,0.0148659,0.0152327
13.4667,0.0166139,0.0168246
13.6667,0.00948921,0.0102579
13.8667,0.00808456,0.00893516
14.0667,0.00664869,0.00574737
14.2667,0.0134964,0.0140621
14.4667,0.0100121,0.0102071
14.6667,0.00779973,0.00820942
14.8667,0.0100004,0.0109563
15.0667,0.00701936,0.00701936
15.2667,0.00728859,0.00728859
15.4667,0.0130087,0.0130087
15.6667,0.0200046,0.0200046
15.8667,0.0232353,0.0232353
16.0667,0.0241054,0.024558
16.2667,0.018081,0.0182449
16.4667,0.0163837,0.0163837
16.6667,0.0139997,0.0148581
16.8667,0.00830306,0.00830306
17.0667,0.00854107,0.00854107
17.2667,0.00857229,0.00857229
17.4667,0.0066565,0.00674234
17.6667,0.00524404,0.00557179
17.8667,0.00797921,0.00797921
18.0667,0.00956725,0.00956725
18.2667,0.00830696,0.00830696
18.4667,0.0136329,0.0137188
18.6667,0.00909903,0.00909903
18.8667,0.019232,0.0194818
19.0667,0.0287564,0.0287564
19.2667,0.038308,0.038308
19.4667,0.0388543,0.0392718
19.6667,0.0368292,0.0370399
19.8667,0.0445197,0.0437393
20.0667,0.0293963,0.0297006
20.2667,0.0231495,0.0233797
20.4667,0.0175231,0.0176986
20.6667,0.0225603,0.022494
20.8667,0.0294977,0.029845
21.0667,0.018795,0.0190018
21.2667,0.0144445,0.0153927
21.4667,0.0135939,0.013711
21.6667,0.0126107,0.0135354
21.8667,0.00592295,0.00592295
22.0667,0.00749148,0.00749148
22.2667,0.00508016,0.00508016
22.4667,0.006239,0.006239
22.6667,0.00759293,0.00759293
22.8667,0.0131491,0.0135081
23.0667,0.0173631,0.017527
23.2667,0.0174918,0.0174918
23.4667,0.0255062,0.0262436
23.6667,0.0221974,0.0221974
23.8667,0.0235631,0.0243824
24.0667,0.0231261,0.023407
24.2667,0.0213819,0.0217409
24.4667,0.0224003,0.022572
24.6667,0.0227827,0.0228763
24.8667,0.0228841,0.0233407
25.0667,0.0245034,0.0249911
25.2667,0.0246439,0.0250262
25.4667,0.0262046,0.0263958
25.6667,0.0227437,0.0232821
25.8667,0.0263451,0.0270279
26.0667,0.0357679,0.0360216
26.2667,0.0500642,0.0507821
26.4667,0.0483981,0.04848
26.6667,0.0513167,0.0519683
26.8667,0.0528696,0.0520463
27.0667,0.0494867,0.0506104
27.2667,0.0614965,0.0627607
27.4667,0.0838812,0.084884
27.6667,0.0906899,0.091997
27.8667,0.105919,0.107491
28.0667,0.113402,0.114585
28.2667,0.120941,0.122759
28.4667,0.134008,0.135366
28.6667,0.136708,0.137508
28.8667,0.145148,0.147141
29.0667,0.145674,0.147773
29.2667,0.14988,0.151898
29.4667,0.153673,0.155788
29.6667,0.161878,0.164824
29.8667,0.154711,0.154485
30.0667,0.152616,0.155175
