Time,Queue Density,Moving Density
0.266667,0.112965,0.0921218
0.466667,0.113317,0.089137
0.666667,0.123695,0.0850986
0.866667,0.136567,0.0837095
1.06667,0.138987,0.0831126
1.26667,0.143665,0.0688085
1.46667,0.142639,0.0626866
1.66667,0.147524,0.0611844
1.86667,0.14816,0.0633069
2.06667,0.158699,0.0674351
2.26667,0.16244,0.0737365
2.46667,0.170767,0.0747315
2.66667,0.1763,0.0810563
2.86667,0.180233,0.080592
3.06667,0.181337,0.0785591
3.26667,0.182968,0.0807012
3.46667,0.185434,0.0758552
3.66667,0.187045,0.0776188
3.86667,0.191649,0.0826599
4.06667,0.197557,0.0899407
4.26667,0.196944,0.0915561
4.46667,0.201689,0.0701976
4.66667,0.19598,0.0650432
4.86667,0.198438,0.058418
5.06667,0.195403,0.0644736
5.26667,0.203932,0.0644736
5.46667,0.211966,0.0622808
5.66667,0.215154,0.0681842
5.86667,0.23105,0.0781143
6.06667,0.247406,0.0971474
6.26667,0.262081,0.112228
6.46667,0.263353,0.122076
6.66667,0.275765,0.10936
6.86667,0.282015,0.109399
7.06667,0.277618,0.109949
7.26667,0.269783,0.109227
7.46667,0.27246,0.111139
7.66667,0.282308,0.114194
7.86667,0.287735,0.119466
8.06667,0.298645,0.130274
8.26667,0.300611,0.139548
8.46667,0.300366,0.148242
8.66667,0.308353,0.160404
8.86667,0.310471,0.156584
9.06667,0.318532,0.142959
9.26667,0.324619,0.140301
9.46667,0.330538,0.138514
9.66667,0.331483,0.119782
9.86667,0.331354,0.107401
10.0667,0.328026,0.0973737
10.2667,0.321787,0.0810953
10.4667,0.317775,0.0903114
10.6667,0.313374,0.0759996
10.8667,0.309422,0.0846811
11.0667,0.305454,0.07042
11.2667,0.304014,0.0615004
11.4667,0.300846,0.0733463
11.6667,0.298013,0.0674585
11.8667,0.293651,0.0692338
12.0667,0.291247,0.0506378
12.2667,0.288695,0.0422723
12.4667,0.287895,0.0434428
12.6667,0.28992,0.0198212
12.8667,0.290194,0.0248819
13.0667,0.287693,0.0156814
13.2667,0.287072,0.0151078
13.4667,0.284411,0.0167037
13.6667,0.284122,0.0102579
13.8667,0.283244,0.00868154
14.0667,0.283408,0.00574737
14.2667,0.28436,0.0140621
14.4667,0.281637,0.00994182
14.6667,0.286452,0.00812748
14.8667,0.285894,0.0107729
15.0667,0.285589,0.00698815
15.2667,0.285461,0.00714812
15.4667,0.286081,0.0128526
15.6667,0.288508,0.0197198
15.8667,0.286491,0.0226188
16.0667,0.285519,0.0236099
16.2667,0.287119,0.0173865
16.4667,0.283518,0.0160248
16.6667,0.282866,0.0146708
16.8667,0.283139,0.0081743
17.0667,0.288754,0.00839671
17.2667,0.287774,0.00847864
17.4667,0.289413,0.00674234
17.6667,0.289019,0.00557179
17.8667,0.285008,0.00797921
18.0667,0.284731,0.00907562
18.2667,0.28285,0.00830696
18.4667,0.281512,0.0132935
18.6667,0.277243,0.00894296
18.8667,0.285714,0.0191306
19.0667,0.294064,0.0281633
19.2667,0.300912,0.038148
19.4667,0.305606,0.0388387
19.6667,0.310038,0.036681
19.8667,0.29957,0.0438096
20.0667,0.291571,0.0297006
20.2667,0.283537,0.0229154
20.4667,0.281477,0.0160013
20.6667,0.28221,0.0227827
20.8667,0.290736,0.0300986
21.0667,0.293807,0.0187872
21.2667,0.291173,0.0158687
21.4667,0.285164,0.0159818
21.6667,0.283939,0.0129852
21.8667,0.283845,0.00498652
