Time, Queue Output, Queue Baseline
0.266667,0.119384,0.113781
0.466667,0.114066,0.114066
0.6,0.119953,0.125116
0.866667,0.138413,0.138413
1,0.140723,0.14173
1.26667,0.14647,0.14647
1.4,0.146345,0.147399
1.66667,0.150329,0.150329
1.8,0.153369,0.151543
2.06667,0.16347,0.16347
2.2,0.166346,0.16779
2.46667,0.174325,0.174325
2.6,0.179679,0.179936
2.86667,0.183151,0.183151
3,0.184973,0.185375
3.26667,0.187147,0.187147
3.4,0.188543,0.189062
3.66667,0.191587,0.191587
3.8,0.196086,0.196394
4.06667,0.202016,0.202016
4.2,0.204623,0.201361
4.46667,0.206039,0.206039
4.6,0.203862,0.20124
4.86667,0.203807,0.203807
5,0.197245,0.202055
5.26667,0.211065,0.211065
5.4,0.216106,0.217553
5.66667,0.221674,0.221674
5.8,0.229224,0.238178
6.06667,0.252888,0.252888
6.2,0.260138,0.267649
6.46667,0.269409,0.269409
6.6,0.278773,0.282468
6.86667,0.28923,0.28923
7,0.28866,0.283779
7.26667,0.277251,0.277251
7.4,0.277247,0.279405
7.66667,0.289522,0.289522
7.8,0.290853,0.295305
8.06667,0.306757,0.306757
8.2,0.308676,0.309152
8.46667,0.307982,0.307982
8.6,0.311778,0.315259
8.86667,0.319933,0.319933
9,0.323878,0.322965
9.26667,0.332005,0.332005
9.4,0.334721,0.337308
9.66667,0.337718,0.337718
9.8,0.338162,0.336204
10.0667,0.333012,0.333012
10.2,0.331237,0.32737
10.4667,0.322754,0.322754
10.6,0.318388,0.318314
10.8667,0.314272,0.314272
11,0.311931,0.311021
11.2667,0.309074,0.309074
11.4,0.307182,0.307299
11.6667,0.303319,0.303319
11.8,0.299293,0.299187
12.0667,0.299035,0.299035
12.2,0.297314,0.295527
12.4667,0.293939,0.293939
12.6,0.295149,0.294778
12.8667,0.294977,0.294977
13,0.293791,0.292921
13.2667,0.292328,0.292328
13.4,0.290135,0.28985
13.6667,0.28946,0.28946
13.8,0.289402,0.288629
14.0667,0.287934,0.287934
14.2,0.289671,0.289
14.4667,0.28644,0.28644
14.6,0.286471,0.29248
14.8667,0.291189,0.291189
15,0.290287,0.290947
15.2667,0.290943,0.290943
15.4,0.290908,0.290771
15.6667,0.293003,0.293003
15.8,0.291473,0.290974
16.0667,0.290077,0.290077
16.2,0.290888,0.291704
16.4667,0.288883,0.288883
16.6,0.289632,0.287872
16.8667,0.287817,0.287817
17,0.290151,0.293214
17.2667,0.292983,0.292983
17.4,0.293822,0.294049
17.6667,0.29406,0.29406
17.8,0.291676,0.28985
18.0667,0.290026,0.290026
18.2,0.288547,0.28779
18.4667,0.28644,0.28644
18.6,0.281625,0.282273
18.8667,0.290673,0.290673
19,0.296226,0.299273
19.2667,0.305426,0.305426
19.4,0.308875,0.310026
19.6667,0.31472,0.31472
19.8,0.307709,0.303963
20.0667,0.296085,0.296085
20.2,0.291329,0.287966
20.4667,0.285687,0.285687
20.6,0.284692,0.28699
20.8667,0.295083,0.295083
21,0.298594,0.298902
21.2667,0.295738,0.295738
21.4,0.291676,0.289651
21.6667,0.288968,0.288968
21.8,0.289277,0.288613
22.0667,0.289503,0.289503
22.2,0.289476,0.289565
22.4667,0.288539,0.288539
22.6,0.28827,0.289175
22.8667,0.289745,0.289745
23,0.290993,0.289819
23.2667,0.297022,0.297022
23.4,0.299609,0.299203
23.6667,0.299499,0.299499
