Time,Queue Density,Moving Density
0.266667,0.130867,0.105325
0.466667,0.135753,0.0973743
0.666667,0.144326,0.090559
0.866667,0.162532,0.0914848
1.06667,0.167309,0.0994204
1.26667,0.17382,0.0812152
1.46667,0.17519,0.0762672
1.66667,0.179243,0.0789201
1.86667,0.178885,0.0770218
2.06667,0.189769,0.0853075
2.26667,0.195246,0.0848952
2.46667,0.200389,0.0911969
2.66667,0.211826,0.0933442
2.86667,0.209881,0.0912748
3.06667,0.220205,0.0897499
3.26667,0.221753,0.0943945
3.46667,0.221006,0.0842805
3.66667,0.224499,0.0892442
3.86667,0.225293,0.0918427
4.06667,0.236146,0.102097
4.26667,0.237235,0.0898977
4.46667,0.24002,0.0633135
4.66667,0.23133,0.067328
4.86667,0.222126,0.057992
5.06667,0.230964,0.0658576
5.26667,0.238332,0.0637803
5.46667,0.245886,0.0622943
5.66667,0.246345,0.0613529
5.86667,0.271101,0.0687673
6.06667,0.284732,0.0783833
6.26667,0.306843,0.109099
6.46667,0.312203,0.115167
6.66667,0.317766,0.1065
6.86667,0.329801,0.118676
7.06667,0.333909,0.110538
7.26667,0.322457,0.120543
7.46667,0.323795,0.110437
7.66667,0.335667,0.124153
7.86667,0.34249,0.128525
8.06667,0.352472,0.141627
8.26667,0.361085,0.158618
8.46667,0.362314,0.152254
8.66667,0.372646,0.159388
8.86667,0.374801,0.159567
9.06667,0.376536,0.143401
9.26667,0.373245,0.128362
9.46667,0.367659,0.134026
9.66667,0.378605,0.115268
9.86667,0.35998,0.107745
10.0667,0.363948,0.102945
10.2667,0.360205,0.0800405
10.4667,0.350831,0.0920528
10.6667,0.34603,0.0759871
10.8667,0.346201,0.0851597
11.0667,0.342584,0.0676236
11.2667,0.336368,0.0591823
11.4667,0.325444,0.0702221
11.6667,0.324861,0.0575407
11.8667,0.327973,0.0571829
12.0667,0.324472,0.0358813
12.2667,0.322869,0.0338585
12.4667,0.322978,0.0324892
12.6667,0.319438,0.0183997
12.8667,0.318653,0.0130782
13.0667,0.322589,0.00539153
13.2667,0.326674,0.0105652
13.4667,0.323079,0.011032
13.6667,0.327794,0
13.8667,0.33005,0.0139339
14.0667,0.328541,0
14.2667,0.325234,0.00392111
14.4667,0.323694,0.010184
14.6667,0.325865,0
14.8667,0.330268,0.0116155
