Time, Queue Output, Queue Baseline
0.266667,0.109345,0.113781
0.466667,0.111089,0.114066
0.666667,0.121727,0.125116
0.866667,0.133636,0.138413
1.06667,0.137323,0.14173
1.26667,0.140624,0.14647
1.46667,0.14253,0.147399
1.66667,0.147217,0.150329
1.86667,0.148958,0.151543
2.06667,0.158067,0.16347
2.26667,0.164763,0.16779
2.46667,0.171543,0.174325
2.66667,0.173928,0.179936
2.86667,0.177505,0.183151
3.06667,0.17894,0.185375
3.26667,0.180976,0.187147
3.46667,0.183061,0.189062
3.66667,0.185809,0.191587
3.86667,0.192695,0.196394
4.06667,0.19668,0.202016
4.26667,0.194872,0.201361
4.46667,0.197631,0.206039
4.66667,0.192527,0.20124
4.86667,0.195781,0.203807
5.06667,0.195884,0.202055
5.26667,0.204576,0.211065
5.46667,0.209775,0.217553
5.66667,0.216536,0.221674
5.86667,0.231084,0.238178
6.06667,0.24495,0.252888
6.26667,0.257592,0.267649
6.46667,0.258461,0.269409
6.66667,0.270014,0.282468
6.86667,0.274799,0.28923
7.06667,0.271016,0.283779
7.26667,0.264902,0.277251
7.46667,0.270504,0.279405
7.66667,0.2813,0.289522
7.86667,0.286025,0.295305
8.06667,0.295501,0.306757
8.26667,0.298409,0.309152
8.46667,0.299457,0.307982
8.66667,0.306196,0.315259
8.86667,0.311252,0.319933
9.06667,0.315754,0.322965
9.26667,0.321776,0.332005
9.46667,0.32799,0.337308
9.66667,0.325266,0.337718
9.86667,0.32959,0.336204
10.0667,0.322968,0.333012
10.2667,0.31889,0.32737
10.4667,0.311417,0.322754
10.6667,0.310055,0.318314
10.8667,0.30328,0.314272
11.0667,0.300215,0.311021
11.2667,0.2991,0.309074
11.4667,0.296243,0.307299
11.6667,0.292146,0.303319
11.8667,0.288548,0.299187
12.0667,0.290305,0.299035
12.2667,0.289106,0.295527
12.4667,0.288459,0.293939
12.6667,0.28763,0.294778
12.8667,0.285978,0.294977
13.0667,0.285283,0.292921
13.2667,0.283888,0.292328
13.4667,0.282515,0.28985
13.6667,0.282334,0.28946
13.8667,0.281262,0.288629
14.0667,0.282158,0.287934
14.2667,0.282158,0.289
14.4667,0.280441,0.28644
14.6667,0.284768,0.29248
14.8667,0.284254,0.291189
15.0667,0.282394,0.290947
15.2667,0.28222,0.290943
15.4667,0.282488,0.290771
15.6667,0.284695,0.293003
15.8667,0.284121,0.290974
16.0667,0.28026,0.290077
16.2667,0.282556,0.291704
16.4667,0.283658,0.288883
16.6667,0.281608,0.287872
16.8667,0.281189,0.287817
17.0667,0.283715,0.293214
17.2667,0.285166,0.292983
17.4667,0.285578,0.294049
17.6667,0.287124,0.29406
17.8667,0.283902,0.28985
18.0667,0.281533,0.290026
18.2667,0.280607,0.28779
18.4667,0.279001,0.28644
18.6667,0.275966,0.282273
18.8667,0.283382,0.290673
19.0667,0.292041,0.299273
