Time, Moving Output, Moving Baseline
0.266667,0.108522,0.0931558
0.466667,0.0950556,0.0895584
0.666667,0.0818444,0.0856019
0.866667,0.0684778,0.0849308
1.06667,0.0702333,0.0852195
1.26667,0.0748,0.0701039
1.46667,0.0761667,0.0613599
1.66667,0.0765889,0.0626007
1.86667,0.0767,0.0644463
2.06667,0.0870222,0.0677082
2.26667,0.0940667,0.0745793
2.46667,0.0981333,0.0787776
2.66667,0.100078,0.0827302
2.86667,0.100244,0.0811929
3.06667,0.0979667,0.0794292
3.26667,0.0918556,0.0832023
3.46667,0.0779222,0.0778607
3.66667,0.0774556,0.0790547
3.86667,0.0672,0.0856136
4.06667,0.0726333,0.0917239
4.26667,0.0708333,0.0932261
4.46667,0.0701444,0.0718675
4.66667,0.0561111,0.0657261
4.86667,0.0627889,0.0588277
5.06667,0.0662667,0.0659173
5.26667,0.0694889,0.0650823
5.46667,0.0679111,0.0633069
5.66667,0.0657556,0.0701663
5.86667,0.0660111,0.0796516
6.06667,0.0742,0.0986145
6.26667,0.101011,0.113781
6.46667,0.107067,0.123957
6.66667,0.119167,0.109536
6.86667,0.123256,0.109582
7.06667,0.122233,0.111319
7.26667,0.1275,0.112025
7.46667,0.130222,0.113777
7.66667,0.131122,0.114979
7.86667,0.136711,0.121155
8.06667,0.149333,0.133403
8.26667,0.157733,0.142401
8.46667,0.1489,0.1518
8.66667,0.178822,0.162191
8.86667,0.183189,0.16255
9.06667,0.1606,0.147504
9.26667,0.135122,0.143996
9.46667,0.141078,0.141308
9.66667,0.0899444,0.12448
9.86667,0.0914778,0.1097
10.0667,0.100456,0.0986886
10.2667,0.0832,0.083491
10.4667,0.0758444,0.0908381
10.6667,0.0603556,0.0778334
10.8667,0.0691889,0.0850479
11.0667,0.0607889,0.0725738
11.2667,0.0582,0.0644268
11.4667,0.0507,0.076101
11.6667,0.0479889,0.0683403
11.8667,0.0302778,0.0708413
12.0667,0.0196,0.0522687
12.2667,0.0191222,0.0440632
12.4667,0.0203889,0.0431151
12.6667,0.0115,0.0193374
12.8667,0.0121778,0.0256271
13.0667,0.00811111,0.0158492
13.2667,0.00794444,0.0152327
13.4667,0.0116667,0.0168246
13.6667,0,0.0102579
13.8667,0.0098,0.00893516
14.0667,0,0.00574737
14.2667,0,0.0140621
14.4667,0.00783333,0.0102071
14.6667,0.00581111,0.00820942
14.8667,0.00731111,0.0109563
15.0667,0,0.00701936
15.2667,0,0.00728859
15.4667,0.0126111,0.0130087
15.6667,0.0232556,0.0200046
15.8667,0.0240444,0.0232353
16.0667,0.0227778,0.024558
16.2667,0.0178667,0.0182449
16.4667,0.0162889,0.0163837
16.6667,0.0171333,0.0148581
16.8667,0.011,0.00830306
17.0667,0.00846667,0.00854107
17.2667,0.00934444,0.00857229
17.4667,0.00662222,0.00674234
17.6667,0,0.00557179
17.8667,0.00583333,0.00797921
18.0667,0,0.00956725
18.2667,0,0.00830696
18.4667,0.0180889,0.0137188
18.6667,0.0112222,0.00909903
18.8667,0.0171667,0.0194818
19.0667,0.0214889,0.0287564
19.2667,0.0363889,0.038308
19.4667,0.0338333,0.0392718
19.6667,0.0377111,0.0370399
19.8667,0.0380778,0.0437393
20.0667,0.0297889,0.0297006
20.2667,0.0226,0.0233797
20.4667,0.0174778,0.0176986
20.6667,0.0195889,0.022494
20.8667,0.0298667,0.029845
21.0667,0.0135556,0.0190018
21.2667,0.0102667,0.0153927
21.4667,0.005,0.013711
21.6667,0.00535556,0.0135354
21.8667,0,0.00592295
22.0667,0.0049,0.00749148
22.2667,0,0.00508016
22.4667,0,0.006239
22.6667,0.00844444,0.00759293
22.8667,0.0113444,0.0135081
23.0667,0.0135778,0.017527
23.2667,0.0217889,0.0174918
23.4667,0.0325667,0.0262436
23.6667,0.0251556,0.0221974
23.8667,0.0292556,0.0243824
24.0667,0.0262889,0.023407
24.2667,0.0264111,0.0217409
24.4667,0.0263778,0.022572
24.6667,0.0266444,0.0228763
24.8667,0.0265,0.0233407
25.0667,0.0262111,0.0249911
25.2667,0.0269667,0.0250262
25.4667,0.0293667,0.0263958
25.6667,0.0269111,0.0232821
25.8667,0.0313222,0.0270279
26.0667,0.0349,0.0360216
