Time, Queue Output, Queue Baseline
0.266667,0.218571,0.113781
0.466667,0.236667,0.114066
0.666667,0.24819,0.125116
0.866667,0.279429,0.138413
1.06667,0.264571,0.14173
1.26667,0.269238,0.14647
1.46667,0.266286,0.147399
1.66667,0.304,0.150329
1.86667,0.294286,0.151543
2.06667,0.305905,0.16347
2.26667,0.285048,0.16779
2.46667,0.284952,0.174325
2.66667,0.326571,0.179936
2.86667,0.295524,0.183151
3.06667,0.324667,0.185375
3.26667,0.319524,0.187147
3.46667,0.315048,0.189062
3.66667,0.31981,0.191587
3.86667,0.321619,0.196394
4.06667,0.341714,0.202016
4.26667,0.34419,0.201361
4.46667,0.337333,0.206039
4.66667,0.360476,0.20124
4.86667,0.315048,0.203807
5.06667,0.315524,0.202055
5.26667,0.31581,0.211065
5.46667,0.339143,0.217553
5.66667,0.335048,0.221674
5.86667,0.36019,0.238178
6.06667,0.386,0.252888
6.26667,0.399238,0.267649
6.46667,0.40981,0.269409
6.66667,0.432095,0.282468
6.86667,0.430667,0.28923
7.06667,0.381714,0.283779
7.26667,0.41219,0.277251
7.46667,0.388286,0.279405
7.66667,0.448762,0.289522
7.86667,0.434857,0.295305
8.06667,0.475905,0.306757
8.26667,0.476952,0.309152
8.46667,0.472571,0.307982
8.66667,0.49181,0.315259
8.86667,0.488857,0.319933
9.06667,0.491524,0.322965
9.26667,0.475429,0.332005
9.46667,0.466,0.337308
9.66667,0.460286,0.337718
9.86667,0.459048,0.336204
10.0667,0.472952,0.333012
10.2667,0.447429,0.32737
10.4667,0.445238,0.322754
10.6667,0.441429,0.318314
10.8667,0.438095,0.314272
11.0667,0.434381,0.311021
11.2667,0.428762,0.309074
11.4667,0.418952,0.307299
11.6667,0.414762,0.303319
11.8667,0.414095,0.299187
12.0667,0.412952,0.299035
12.2667,0.409619,0.295527
12.4667,0.40781,0.293939
12.6667,0.410762,0.294778
12.8667,0.406,0.294977
13.0667,0.410095,0.292921
13.2667,0.409714,0.292328
13.4667,0.410857,0.28985
13.6667,0.409619,0.28946
13.8667,0.409619,0.288629
14.0667,0.411619,0.287934
14.2667,0.405333,0.289
14.4667,0.405333,0.28644
14.6667,0.382857,0.29248
14.8667,0.385524,0.291189
15.0667,0.385524,0.290947
15.2667,0.385714,0.290943
15.4667,0.387048,0.290771
15.6667,0.387524,0.293003
15.8667,0.385524,0.290974
16.0667,0.386762,0.290077
16.2667,0.385714,0.291704
16.4667,0.40581,0.288883
16.6667,0.406476,0.287872
16.8667,0.408286,0.287817
17.0667,0.408381,0.293214
17.2667,0.407333,0.292983
17.4667,0.408286,0.294049
17.6667,0.408381,0.29406
17.8667,0.408381,0.28985
18.0667,0.410952,0.290026
18.2667,0.410952,0.28779
18.4667,0.411714,0.28644
18.6667,0.41181,0.282273
18.8667,0.435143,0.290673
19.0667,0.437429,0.299273
19.2667,0.437143,0.305426
19.4667,0.446286,0.310026
19.6667,0.452095,0.31472
19.8667,0.446857,0.303963
20.0667,0.448476,0.296085
20.2667,0.432952,0.287966
20.4667,0.41219,0.285687
20.6667,0.42819,0.28699
20.8667,0.432762,0.295083
21.0667,0.43419,0.298902
21.2667,0.415143,0.295738
21.4667,0.415333,0.289651
21.6667,0.414286,0.288968
21.8667,0.414095,0.288613
22.0667,0.414381,0.289503
22.2667,0.412571,0.289565
22.4667,0.412571,0.288539
22.6667,0.415333,0.289175
22.8667,0.409714,0.289745
23.0667,0.403429,0.289819
23.2667,0.422095,0.297022
23.4667,0.403429,0.299203
23.6667,0.404286,0.299499
23.8667,0.405714,0.299531
24.0667,0.405619,0.301205
24.2667,0.403619,0.300736
24.4667,0.431429,0.302141
24.6667,0.410476,0.302609
24.8667,0.410476,0.302539
25.0667,0.42419,0.304185
25.2667,0.419905,0.300576
25.4667,0.413524,0.298516
25.6667,0.412762,0.298746
25.8667,0.411429,0.301708
26.0667,0.417429,0.308017
26.2667,0.415143,0.314791
26.4667,0.410476,0.322668
26.6667,0.391048,0.326211
26.8667,0.392381,0.325782
27.0667,0.392286,0.329863
27.2667,0.409238,0.338373
27.4667,0.415238,0.354839
27.6667,0.437048,0.371328
27.8667,0.45219,0.383189
28.0667,0.475238,0.395991
28.2667,0.494952,0.407775
28.4667,0.512381,0.420378
28.6667,0.516857,0.436266
28.8667,0.532762,0.451631
29.0667,0.584762,0.461866
29.2667,0.601619,0.468331
29.4667,0.620762,0.474632
29.6667,0.608667,0.472994
29.8667,0.606381,0.490197
30.0667,0.622571,0.492366
30.2667,0.629905,0.497064
30.4667,0.631143,0.499253
30.6667,0.627714,0.498164
30.8667,0.609905,0.50351
31.0667,0.61219,0.504883
31.2667,0.58819,0.502655
31.4667,0.612286,0.508496
31.6667,0.608857,0.513299
31.8667,0.597048,0.512968
32.0667,0.622476,0.513108
32.2667,0.631429,0.517486
32.4667,0.633238,0.515758
32.6667,0.624286,0.517533
32.8667,0.631619,0.516159
33.0667,0.630952,0.522913
33.2667,0.638381,0.525005
33.4667,0.628381,0.520112
33.6667,0.659333,0.52799
33.8667,0.657905,0.537491
34.0667,0.676286,0.547432
34.2667,0.694191,0.55341
34.4667,0.700762,0.564409
34.6667,0.733048,0.589229
34.8667,0.715238,0.592701
35.0667,0.725429,0.596634
35.2667,0.726762,0.597313
35.4667,0.726667,0.599291
35.6667,0.72781,0.596322
35.8667,0.708,0.599268
36.0667,0.697524,0.599011
36.2667,0.691333,0.599697
36.4667,0.690381,0.589389
36.6667,0.693619,0.592284
36.8667,0.694952,0.593856
37.0667,0.692667,0.587524
37.2667,0.691905,0.586099
37.4667,0.686952,0.584504
37.6667,0.687048,0.58361
37.8667,0.672952,0.581526
38.0667,0.66819,0.577843
38.2667,0.665905,0.575389
38.4667,0.666095,0.576099
38.6667,0.694381,0.581952
38.8667,0.704571,0.587746
39.0667,0.716381,0.594481
39.2667,0.724952,0.599795
39.4667,0.727619,0.604024
39.6667,0.74781,0.613412
39.8667,0.759048,0.61722
40.0667,0.77419,0.619663
40.2667,0.78,0.626444
40.4667,0.765333,0.635379
40.6667,0.781524,0.644252
40.8667,0.78819,0.656851
41.0667,0.788095,0.66181
41.2667,0.790571,0.667788
41.4667,0.790476,0.678592
41.6667,0.792476,0.681741
41.8667,0.791905,0.684995
42.0667,0.791333,0.689696
42.2667,0.793048,0.693021
42.4667,0.79219,0.694125
42.6667,0.792381,0.693114
42.8667,0.792,0.692908
43.0667,0.792095,0.692978
43.2667,0.791905,0.695596
43.4667,0.791429,0.699997
43.6667,0.794286,0.701702
43.8667,0.792667,0.698444
44.0667,0.792381,0.699888
44.2667,0.792381,0.703829
44.4667,0.792762,0.708105
44.6667,0.796571,0.709596
44.8667,0.799048,0.714157
45.0667,0.798,0.714368
45.2667,0.798,0.713911
45.4667,0.796952,0.711164
45.6667,0.799429,0.710969
45.8667,0.800095,0.709065
46.0667,0.800762,0.709018
46.2667,0.790381,0.708628
46.4667,0.801143,0.706045
46.6667,0.791048,0.70855
46.8667,0.800476,0.708952
47.0667,0.790095,0.707852
47.2667,0.799333,0.70658
47.4667,0.800381,0.709206
47.6667,0.789238,0.711383
47.8667,0.788952,0.712522
48.0667,0.772857,0.714317
48.2667,0.773333,0.715507
48.4667,0.773905,0.711999
48.6667,0.793619,0.713349
48.8667,0.774286,0.7158
49.0667,0.778381,0.715983
49.2667,0.778095,0.718449
49.4667,0.776952,0.716818
49.6667,0.769714,0.713771
49.8667,0.769619,0.719518
50.0667,0.769524,0.712959
50.2667,0.769524,0.715363
50.4667,0.76981,0.712417
50.6667,0.791714,0.713736
50.8667,0.769524,0.716584
51.0667,0.769714,0.712101
51.2667,0.774,0.710466
51.4667,0.767333,0.714372
51.6667,0.767048,0.715047
51.8667,0.767048,0.71381
52.0667,0.767714,0.716818
52.2667,0.767714,0.718679
52.4667,0.767905,0.716006
52.6667,0.767905,0.712467
52.8667,0.767905,0.708765
53.0667,0.770952,0.704976
53.2667,0.770667,0.706236
53.4667,0.771714,0.710181
53.6667,0.766476,0.710813
53.8667,0.772857,0.711473
54.0667,0.766571,0.713954
54.2667,0.763143,0.713786
54.4667,0.771524,0.717895
54.6667,0.751429,0.721524
54.8667,0.749524,0.722171
55.0667,0.751714,0.723408
55.2667,0.751429,0.724864
55.4667,0.750571,0.725371
55.6667,0.751048,0.720107
55.8667,0.751238,0.718133
56.0667,0.771429,0.720474
56.2667,0.771619,0.721894
56.4667,0.786762,0.72612
56.6667,0.788571,0.726623
56.8667,0.755333,0.724348
57.0667,0.757143,0.723385
57.2667,0.756952,0.720938
57.4667,0.757619,0.721984
57.6667,0.786571,0.722706
57.8667,0.788762,0.72205
58.0667,0.781048,0.718242
58.2667,0.771333,0.717579
58.4667,0.769714,0.717036
58.6667,0.747905,0.721555
58.8667,0.751143,0.723018
59.0667,0.784286,0.724934
59.2667,0.787524,0.724641
59.4667,0.776286,0.725262
59.6667,0.776381,0.720747
59.8667,0.776476,0.720969
60.0667,0.740476,0.720431
60.2667,0.776,0.720236
60.4667,0.744476,0.720271
60.6667,0.737619,0.719596
60.8667,0.73819,0.716869
61.0667,0.717333,0.714656
