Time, Moving Output, Moving Baseline
0.266667,0.0928359,0.0931558
0.466667,0.0892306,0.0895584
0.666667,0.0855044,0.0856019
0.866667,0.084603,0.0849308
1.06667,0.0852195,0.0852195
1.26667,0.0701039,0.0701039
1.46667,0.0613599,0.0613599
1.66667,0.0626007,0.0626007
1.86667,0.0634981,0.0644463
2.06667,0.0660421,0.0677082
2.26667,0.0736624,0.0745793
2.46667,0.0787776,0.0787776
2.66667,0.0825156,0.0827302
2.86667,0.0810251,0.0811929
3.06667,0.0788518,0.0794292
3.26667,0.0828355,0.0832023
3.46667,0.0773691,0.0778607
3.66667,0.0788245,0.0790547
3.86667,0.0848411,0.0856136
4.06667,0.0911542,0.0917239
4.26667,0.09275,0.0932261
4.46667,0.0744622,0.0718675
4.66667,0.0648443,0.0657261
4.86667,0.0591515,0.0588277
5.06667,0.0655817,0.0659173
5.26667,0.0649028,0.0650823
5.46667,0.0630221,0.0633069
5.66667,0.0699829,0.0701663
5.86667,0.0792537,0.0796516
6.06667,0.0983296,0.0986145
6.26667,0.112782,0.113781
6.46667,0.123582,0.123957
6.66667,0.109536,0.109536
6.86667,0.109582,0.109582
7.06667,0.111319,0.111319
7.26667,0.112025,0.112025
7.46667,0.113777,0.113777
7.66667,0.114979,0.114979
7.86667,0.121155,0.121155
8.06667,0.133181,0.133403
8.26667,0.141792,0.142401
8.46667,0.151621,0.1518
8.66667,0.161695,0.162191
8.86667,0.161918,0.16255
9.06667,0.146739,0.147504
9.26667,0.141585,0.143996
9.46667,0.140844,0.141308
9.66667,0.123625,0.12448
9.86667,0.109364,0.1097
10.0667,0.0972371,0.0986886
10.2667,0.0832881,0.083491
10.4667,0.0915327,0.0908381
10.6667,0.0768111,0.0778334
10.8667,0.0841348,0.0850479
11.0667,0.0721719,0.0725738
11.2667,0.0647545,0.0644268
11.4667,0.0761049,0.076101
11.6667,0.0675716,0.0683403
11.8667,0.0708413,0.0708413
12.0667,0.0522687,0.0522687
12.2667,0.0440632,0.0440632
12.4667,0.0431151,0.0431151
12.6667,0.0193374,0.0193374
12.8667,0.0256271,0.0256271
13.0667,0.0158492,0.0158492
13.2667,0.0152327,0.0152327
13.4667,0.0168246,0.0168246
13.6667,0.0102579,0.0102579
13.8667,0.00893516,0.00893516
14.0667,0.00574737,0.00574737
14.2667,0.0140621,0.0140621
14.4667,0.0102071,0.0102071
14.6667,0.00779973,0.00820942
14.8667,0.0103437,0.0109563
15.0667,0.00701936,0.00701936
15.2667,0.00728859,0.00728859
15.4667,0.0130087,0.0130087
15.6667,0.0200046,0.0200046
15.8667,0.0232353,0.0232353
16.0667,0.0243512,0.024558
16.2667,0.0182449,0.0182449
16.4667,0.0163837,0.0163837
16.6667,0.0148581,0.0148581
16.8667,0.00830306,0.00830306
17.0667,0.00854107,0.00854107
17.2667,0.00857229,0.00857229
17.4667,0.00674234,0.00674234
17.6667,0.00557179,0.00557179
17.8667,0.00797921,0.00797921
18.0667,0.00956725,0.00956725
18.2667,0.00830696,0.00830696
18.4667,0.0137188,0.0137188
18.6667,0.00909903,0.00909903
18.8667,0.0194818,0.0194818
19.0667,0.0287564,0.0287564
19.2667,0.038308,0.038308
19.4667,0.0392718,0.0392718
19.6667,0.0370399,0.0370399
19.8667,0.0437393,0.0437393
20.0667,0.0297006,0.0297006
20.2667,0.0233797,0.0233797
20.4667,0.0176986,0.0176986
20.6667,0.0225603,0.022494
20.8667,0.0294977,0.029845
21.0667,0.018795,0.0190018
21.2667,0.0144445,0.0153927
21.4667,0.0135939,0.013711
21.6667,0.0126107,0.0135354
21.8667,0.00592295,0.00592295
22.0667,0.00749148,0.00749148
22.2667,0.00508016,0.00508016
22.4667,0.006239,0.006239
22.6667,0.00759293,0.00759293
22.8667,0.0131491,0.0135081
23.0667,0.0173631,0.017527
23.2667,0.0174918,0.0174918
23.4667,0.0255062,0.0262436
23.6667,0.0221974,0.0221974
23.8667,0.0243824,0.0243824
24.0667,0.023407,0.023407
24.2667,0.0217409,0.0217409
24.4667,0.022572,0.022572
24.6667,0.0228763,0.0228763
24.8667,0.0233407,0.0233407
25.0667,0.0249911,0.0249911
25.2667,0.0250262,0.0250262
25.4667,0.0263958,0.0263958
25.6667,0.0232821,0.0232821
25.8667,0.0270279,0.0270279
26.0667,0.0360216,0.0360216
26.2667,0.0507821,0.0507821
26.4667,0.04848,0.04848
26.6667,0.0517186,0.0519683
26.8667,0.0515937,0.0520463
27.0667,0.0506104,0.0506104
27.2667,0.0627607,0.0627607
27.4667,0.084802,0.084884
27.6667,0.0919463,0.091997
27.8667,0.107366,0.107491
28.0667,0.114475,0.114585
28.2667,0.122439,0.122759
28.4667,0.135046,0.135366
28.6667,0.137203,0.137508
28.8667,0.146782,0.147141
29.0667,0.146369,0.147773
29.2667,0.151297,0.151898
29.4667,0.155386,0.155788
29.6667,0.163572,0.164824
29.8667,0.15381,0.154485
30.0667,0.154777,0.155175
30.2667,0.153739,0.154317
30.4667,0.153572,0.153244
30.6667,0.140407,0.140407
30.8667,0.1297,0.1297
31.0667,0.110019,0.109118
31.2667,0.0886765,0.0886765
31.4667,0.0802837,0.0802837
31.6667,0.0619998,0.0619998
31.8667,0.0520385,0.0520385
32.0667,0.0491941,0.0491941
32.2667,0.0358577,0.0358577
32.4667,0.0187365,0.0187365
32.6667,0.00422176,0.00422176
32.8667,0.00513869,0.00513869
33.0667,0.00565373,0.00565373
33.2667,0.00229037,0.00229037
33.4667,0,0
33.6667,0.0066565,0.0066565
33.8667,0.0169105,0.0169105
34.0667,0.0291661,0.0291661
34.2667,0.0391001,0.0391001
34.4667,0.0514376,0.0514376
34.6667,0.0611141,0.0611141
34.8667,0.0678487,0.0678487
35.0667,0.0721328,0.0721328
35.2667,0.0728976,0.0728976
