Time,Queue Density,Moving Density
0.266667,0.112774,0.0915093
0.466667,0.111767,0.0871041
0.666667,0.123941,0.0844236
0.866667,0.136997,0.0819771
1.06667,0.140259,0.0836549
1.26667,0.143002,0.0684417
1.46667,0.144375,0.0600333
1.66667,0.148878,0.0618243
1.86667,0.148729,0.0633694
2.06667,0.163482,0.0657729
2.26667,0.165917,0.0734361
2.46667,0.172624,0.0785123
2.66667,0.176932,0.081704
2.86667,0.180635,0.0793668
3.06667,0.183974,0.0785162
3.26667,0.183249,0.0822112
3.46667,0.187412,0.0755157
3.66667,0.189691,0.0784616
3.86667,0.193265,0.0845913
4.06667,0.200565,0.0912049
4.26667,0.199761,0.0923404
4.46667,0.202723,0.073834
4.66667,0.19868,0.0645477
4.86667,0.20204,0.0588433
5.06667,0.199621,0.0654139
5.26667,0.210093,0.0645516
5.46667,0.214931,0.0624642
5.66667,0.218193,0.0695655
5.86667,0.236528,0.0773535
6.06667,0.25132,0.0975454
6.26667,0.265624,0.11222
6.46667,0.26576,0.122646
6.66667,0.278863,0.1084
6.86667,0.285227,0.107604
7.06667,0.279862,0.109298
7.26667,0.27509,0.109633
7.46667,0.27644,0.112614
7.66667,0.288208,0.112891
7.86667,0.293608,0.119673
8.06667,0.30195,0.132002
8.26667,0.304072,0.140134
8.46667,0.304993,0.150075
8.66667,0.311774,0.160084
8.86667,0.315719,0.159928
9.06667,0.317772,0.144636
9.26667,0.329403,0.140719
9.46667,0.330234,0.136934
9.66667,0.332146,0.121409
9.86667,0.329446,0.107085
10.0667,0.329976,0.093983
10.2667,0.323195,0.0818874
10.4667,0.318318,0.0899407
10.6667,0.313565,0.0755313
10.8667,0.307666,0.082539
11.0667,0.307483,0.0706463
11.2667,0.30561,0.0644073
11.4667,0.302597,0.0757459
11.6667,0.299952,0.0650432
11.8667,0.294759,0.0691714
12.0667,0.292636,0.0517654
12.2667,0.291945,0.0452415
12.4667,0.290357,0.0424517
12.6667,0.291668,0.0206289
12.8667,0.291551,0.025432
13.0667,0.288871,0.015498
13.2667,0.288208,0.0148659
13.4667,0.285886,0.0166139
13.6667,0.285995,0.00948921
13.8667,0.285652,0.00808456
14.0667,0.284466,0.00664869
14.2667,0.284731,0.0134964
14.4667,0.28335,0.0100121
14.6667,0.289078,0.00779973
14.8667,0.288898,0.0100004
15.0667,0.288114,0.00701936
15.2667,0.288016,0.00728859
15.4667,0.288087,0.0130087
15.6667,0.289519,0.0200046
15.8667,0.287786,0.0232353
16.0667,0.286101,0.0241054
16.2667,0.287868,0.018081
16.4667,0.284871,0.0163837
16.6667,0.285098,0.0139997
16.8667,0.284228,0.00830306
17.0667,0.289807,0.00854107
17.2667,0.290116,0.00857229
17.4667,0.290947,0.0066565
17.6667,0.290002,0.00524404
17.8667,0.285796,0.00797921
18.0667,0.286136,0.00956725
18.2667,0.283615,0.00830696
18.4667,0.282878,0.0136329
18.6667,0.278652,0.00909903
18.8667,0.287017,0.019232
19.0667,0.296323,0.0287564
19.2667,0.302738,0.038308
19.4667,0.306511,0.0388543
19.6667,0.310315,0.0368292
19.8667,0.299691,0.0445197
20.0667,0.292031,0.0293963
20.2667,0.284196,0.0231495
20.4667,0.281961,0.0175231
20.6667,0.283264,0.0225603
20.8667,0.291259,0.0294977
21.0667,0.295371,0.018795
21.2667,0.292855,0.0144445
21.4667,0.286062,0.0135939
21.6667,0.284056,0.0126107
21.8667,0.284434,0.00592295
22.0667,0.286069,0.00749148
22.2667,0.285199,0.00508016
22.4667,0.285117,0.006239
22.6667,0.28484,0.00759293
22.8667,0.285437,0.0131491
23.0667,0.285535,0.0173631
23.2667,0.292503,0.0174918
23.4667,0.295582,0.0255062
23.6667,0.296218,0.0221974
23.8667,0.295461,0.0235631
24.0667,0.297506,0.0231261
24.2667,0.297256,0.0213819
24.4667,0.298013,0.0224003
24.6667,0.299925,0.0227827
24.8667,0.300198,0.0228841
25.0667,0.30097,0.0245034
25.2667,0.29756,0.0246439
25.4667,0.295598,0.0262046
25.6667,0.295395,0.0227437
25.8667,0.29788,0.0263451
26.0667,0.304342,0.0357679
26.2667,0.310733,0.0500642
26.4667,0.318138,0.0483981
26.6667,0.323203,0.0513167
26.8667,0.321389,0.0528696
27.0667,0.325002,0.0494867
27.2667,0.333164,0.0614965
27.4667,0.348916,0.0838812
27.6667,0.366575,0.0906899
27.8667,0.378613,0.105919
28.0667,0.39143,0.113402
28.2667,0.402862,0.120941
28.4667,0.415305,0.134008
28.6667,0.430983,0.136708
28.8667,0.446637,0.145148
29.0667,0.456696,0.145674
29.2667,0.462677,0.14988
29.4667,0.469981,0.153673
29.6667,0.46748,0.161878
29.8667,0.485417,0.154711
30.0667,0.487715,0.152616
30.2667,0.492951,0.151757
30.4667,0.495203,0.152026
30.6667,0.494138,0.136778
30.8667,0.498808,0.129595
31.0667,0.499526,0.110862
31.2667,0.497805,0.0872485
31.4667,0.503006,0.0791522
31.6667,0.505757,0.0602986
31.8667,0.50651,0.0506143
32.0667,0.506428,0.0480079
32.2667,0.51097,0.037594
32.4667,0.509944,0.0187365
32.6667,0.511664,0.0049553
32.8667,0.511286,0.00612195
33.0667,0.517369,0.00565373
33.2667,0.518996,0.00229037
33.4667,0.514314,0.00103008
33.6667,0.522586,0.0066565
33.8667,0.531731,0.0169105
34.0667,0.542426,0.0288383
34.2667,0.548439,0.0391001
34.4667,0.559095,0.0509616
34.6667,0.583399,0.0600918
34.8667,0.586946,0.0676458
35.0667,0.590348,0.0716763
35.2667,0.591433,0.0721953
35.4667,0.592873,0.0801199
35.6667,0.589896,0.081942
35.8667,0.592155,0.0932885
36.0667,0.59297,0.0876426
36.2667,0.593115,0.0925979
36.4667,0.583048,0.0977678
36.6667,0.585151,0.0979824
36.8667,0.587953,0.0949624
37.0667,0.581168,0.0766238
37.2667,0.580329,0.0751411
37.4667,0.577761,0.0769555
37.6667,0.577133,0.0612741
37.8667,0.575779,0.0593778
38.0667,0.571631,0.0536187
38.2667,0.568358,0.0281594
38.4667,0.569205,0.0145967
38.6667,0.574741,0.0232743
38.8667,0.579927,0.0276327
39.0667,0.587266,0.0363376
39.2667,0.592487,0.0311365
39.4667,0.595632,0.0333098
39.6667,0.606131,0.045702
39.8667,0.61022,0.0385968
40.0667,0.609569,0.0379139
40.2667,0.618746,0.0435989
40.4667,0.626768,0.0401224
40.6667,0.636331,0.0532832
40.8667,0.649356,0.060841
41.0667,0.654233,0.0658899
41.2667,0.660214,0.0714539
41.4667,0.670476,0.0770921
41.6667,0.673824,0.0631119
41.8667,0.67677,0.0569509
42.0667,0.68169,0.0557335
42.2667,0.68528,0.0591983
42.4667,0.686747,0.0560652
42.6667,0.686239,0.0448006
42.8667,0.685978,0.0394512
43.0667,0.686255,0.0363961
43.2667,0.688904,0.0356782
43.4667,0.692986,0.0378008
43.6667,0.694859,0.0371219
43.8667,0.69121,0.0412188
44.0667,0.692588,0.0427951
44.2667,0.696969,0.0452845
44.4667,0.701437,0.0482811
44.6667,0.702139,0.0563071
44.8667,0.706935,0.0556555
45.0667,0.706361,0.0535407
45.2667,0.7042,0.0566348
45.4667,0.703138,0.0579068
45.6667,0.703052,0.0592334
45.8667,0.701031,0.0562173
46.0667,0.700462,0.0463223
46.2667,0.699408,0.0417845
46.4667,0.697937,0.0380856
46.6667,0.701784,0.0325372
46.8667,0.700688,0.0279604
47.0667,0.701078,0.0235162
47.2667,0.699732,0.0197627
47.4667,0.702159,0.0161964
47.6667,0.704508,0.0127433
47.8667,0.705565,0.0149166
48.0667,0.707259,0.00836549
48.2667,0.708706,0.00689841
48.4667,0.705074,0.00658626
